environment,planner,factor,factor_level,trials,success_rate,mean_total_path_cost,mean_path_length,mean_time_to_goal,mean_energy_consumption,mean_obstacle_interactions,mean_pushed_obstacles,mean_unique_pushed_obstacles,mean_secondary_obstacle_movements
chain_reaction,dstar_lite,obstacle_size_scale,0.75,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
chain_reaction,dstar_lite,obstacle_size_scale,1.35,1,1.0,25.2132,25.2132,19.0,25.2132,2.0,0.0,0.0,0.0
chain_reaction,dstar_lite,robot_radius,0.15,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
chain_reaction,dstar_lite,robot_radius,0.45,1,1.0,25.2132,25.2132,19.0,25.2132,2.0,0.0,0.0,0.0
cluttered,beacon_human_like,baseline,baseline,1,1.0,27.4576,27.4576,36.0,27.4576,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,energy_weight,0.5,1,1.0,27.4576,27.4576,36.0,27.4576,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,energy_weight,1.5,1,1.0,27.4576,27.4576,36.0,27.4576,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,friction_scale,0.7,1,1.0,27.4576,27.4576,36.0,27.4576,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,friction_scale,1.3,1,1.0,27.4576,27.4576,36.0,27.4576,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,obstacle_count_scale,0.7,1,1.0,27.1061,27.1061,35.0,27.1061,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,obstacle_count_scale,1.3,1,1.0,28.8032,28.8032,37.0,28.8032,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,obstacle_density_scale,0.7,1,1.0,27.4576,27.4576,36.0,27.4576,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,obstacle_density_scale,1.4,1,1.0,27.4576,27.4576,36.0,27.4576,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,obstacle_size_scale,0.75,1,1.0,27.1061,27.1061,35.0,27.1061,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,obstacle_size_scale,1.35,1,1.0,27.4576,27.4576,36.0,27.4576,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,robot_radius,0.15,1,1.0,25.7002,25.7002,31.0,25.7002,0.0,0.0,0.0,0.0
cluttered,beacon_human_like,robot_radius,0.45,1,1.0,27.4576,27.4576,36.0,27.4576,0.0,0.0,0.0,0.0
cluttered,bug1,baseline,baseline,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,energy_weight,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,energy_weight,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,friction_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,friction_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,obstacle_count_scale,0.7,1,1.0,27.799,27.799,22.0,27.799,0.0,0.0,0.0,0.0
cluttered,bug1,obstacle_count_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,obstacle_density_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,obstacle_density_scale,1.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,obstacle_size_scale,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,obstacle_size_scale,1.35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,robot_radius,0.15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug1,robot_radius,0.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,baseline,baseline,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,energy_weight,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,energy_weight,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,friction_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,friction_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,obstacle_count_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,obstacle_count_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,obstacle_density_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,obstacle_density_scale,1.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,obstacle_size_scale,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,obstacle_size_scale,1.35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,robot_radius,0.15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,bug2,robot_radius,0.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cluttered,dstar_lite,baseline,baseline,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,energy_weight,0.5,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,energy_weight,1.5,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,friction_scale,0.7,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,friction_scale,1.3,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,obstacle_count_scale,0.7,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,obstacle_count_scale,1.3,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,obstacle_density_scale,0.7,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,obstacle_density_scale,1.4,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,obstacle_size_scale,0.75,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,obstacle_size_scale,1.35,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,robot_radius,0.15,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
cluttered,dstar_lite,robot_radius,0.45,1,1.0,26.0416,26.0416,19.0,26.0416,1.0,0.0,0.0,0.0
collision_required,beacon_human_like,baseline,baseline,1,1.0,23.5581,23.5581,35.0,23.5581,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,energy_weight,0.5,1,1.0,23.5581,23.5581,35.0,23.5581,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,energy_weight,1.5,1,1.0,23.5581,23.5581,35.0,23.5581,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,friction_scale,0.7,1,1.0,23.5581,23.5581,35.0,23.5581,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,friction_scale,1.3,1,1.0,23.5581,23.5581,35.0,23.5581,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,obstacle_count_scale,0.7,1,1.0,23.7037,23.7037,34.0,23.7037,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,obstacle_count_scale,1.3,1,1.0,23.5581,23.5581,35.0,23.5581,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,obstacle_density_scale,0.7,1,1.0,23.5581,23.5581,35.0,23.5581,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,obstacle_density_scale,1.4,1,1.0,23.5581,23.5581,35.0,23.5581,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,obstacle_size_scale,0.75,1,1.0,23.7037,23.7037,34.0,23.7037,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,obstacle_size_scale,1.35,1,1.0,23.5581,23.5581,35.0,23.5581,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,robot_radius,0.15,1,1.0,23.7037,23.7037,34.0,23.7037,0.0,0.0,0.0,0.0
collision_required,beacon_human_like,robot_radius,0.45,1,1.0,23.9095,23.9095,36.0,23.9095,0.0,0.0,0.0,0.0
collision_required,bug1,baseline,baseline,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,energy_weight,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,energy_weight,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,friction_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,friction_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,obstacle_count_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,obstacle_count_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,obstacle_density_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,obstacle_density_scale,1.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,obstacle_size_scale,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,obstacle_size_scale,1.35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,robot_radius,0.15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug1,robot_radius,0.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,baseline,baseline,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,energy_weight,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,energy_weight,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,friction_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,friction_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,obstacle_count_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,obstacle_count_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,obstacle_density_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,obstacle_density_scale,1.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,obstacle_size_scale,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,obstacle_size_scale,1.35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,robot_radius,0.15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,bug2,robot_radius,0.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_required,dstar_lite,baseline,baseline,1,1.0,23.3137,23.3137,20.0,23.3137,9.0,0.0,0.0,0.0
collision_required,dstar_lite,energy_weight,0.5,1,1.0,23.3137,23.3137,20.0,23.3137,9.0,0.0,0.0,0.0
collision_required,dstar_lite,energy_weight,1.5,1,1.0,23.3137,23.3137,20.0,23.3137,9.0,0.0,0.0,0.0
collision_required,dstar_lite,friction_scale,0.7,1,1.0,23.3137,23.3137,20.0,23.3137,9.0,0.0,0.0,0.0
collision_required,dstar_lite,friction_scale,1.3,1,1.0,23.3137,23.3137,20.0,23.3137,9.0,0.0,0.0,0.0
collision_required,dstar_lite,obstacle_count_scale,0.7,1,1.0,22.7279,22.7279,19.0,22.7279,2.0,0.0,0.0,0.0
collision_required,dstar_lite,obstacle_count_scale,1.3,1,1.0,23.3137,23.3137,20.0,23.3137,9.0,0.0,0.0,0.0
collision_required,dstar_lite,obstacle_density_scale,0.7,1,1.0,23.3137,23.3137,20.0,23.3137,9.0,0.0,0.0,0.0
collision_required,dstar_lite,obstacle_density_scale,1.4,1,1.0,23.3137,23.3137,20.0,23.3137,9.0,0.0,0.0,0.0
collision_required,dstar_lite,obstacle_size_scale,0.75,1,1.0,23.3137,23.3137,20.0,23.3137,9.0,0.0,0.0,0.0
collision_required,dstar_lite,obstacle_size_scale,1.35,1,1.0,23.3137,23.3137,20.0,23.3137,1.0,0.0,0.0,0.0
collision_required,dstar_lite,robot_radius,0.15,1,1.0,23.3137,23.3137,20.0,23.3137,9.0,0.0,0.0,0.0
collision_required,dstar_lite,robot_radius,0.45,1,1.0,23.3137,23.3137,20.0,23.3137,1.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,baseline,baseline,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,energy_weight,0.5,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,energy_weight,1.5,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,friction_scale,0.7,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,friction_scale,1.3,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,obstacle_count_scale,0.7,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,obstacle_count_scale,1.3,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,obstacle_density_scale,0.7,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,obstacle_density_scale,1.4,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,obstacle_size_scale,0.75,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,obstacle_size_scale,1.35,1,1.0,25.3404,25.3404,33.0,25.3404,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,robot_radius,0.15,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
collision_shortcut,beacon_human_like,robot_radius,0.45,1,1.0,25.3404,25.3404,33.0,25.3404,0.0,0.0,0.0,0.0
collision_shortcut,bug1,baseline,baseline,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,energy_weight,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,energy_weight,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,friction_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,friction_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,obstacle_count_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,obstacle_count_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,obstacle_density_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,obstacle_density_scale,1.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,obstacle_size_scale,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,obstacle_size_scale,1.35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,robot_radius,0.15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug1,robot_radius,0.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,baseline,baseline,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
