environment,seed,planner,factor,factor_level,robot_radius,obstacle_density_scale,obstacle_size_scale,friction_scale,energy_weight,obstacle_count_scale,success,total_path_cost,path_length,time_to_goal,energy_consumption,obstacle_interactions,pushed_obstacles,unique_pushed_obstacles,secondary_obstacle_movements,moved_obstacles,initial_obstacle_count
collision_shortcut,13,beacon_human_like,robot_radius,0.45,0.45,1.0,1.0,1.0,1.0,1.0,True,25.3404,25.3404,33,25.3404,0,0,0,0,0,15
collision_shortcut,13,dstar_lite,obstacle_density_scale,0.7,0.25,0.7,1.0,1.0,1.0,1.0,True,24.6274,24.6274,18,24.6274,1,0,0,0,0,15
collision_shortcut,13,bug1,obstacle_density_scale,0.7,0.25,0.7,1.0,1.0,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,bug2,obstacle_density_scale,0.7,0.25,0.7,1.0,1.0,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,beacon_human_like,obstacle_density_scale,0.7,0.25,0.7,1.0,1.0,1.0,1.0,True,24.9889,24.9889,32,24.9889,0,0,0,0,0,15
collision_shortcut,13,dstar_lite,obstacle_density_scale,1.4,0.25,1.4,1.0,1.0,1.0,1.0,True,24.6274,24.6274,18,24.6274,1,0,0,0,0,15
collision_shortcut,13,bug1,obstacle_density_scale,1.4,0.25,1.4,1.0,1.0,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,bug2,obstacle_density_scale,1.4,0.25,1.4,1.0,1.0,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,beacon_human_like,obstacle_density_scale,1.4,0.25,1.4,1.0,1.0,1.0,1.0,True,24.9889,24.9889,32,24.9889,0,0,0,0,0,15
collision_shortcut,13,dstar_lite,obstacle_size_scale,0.75,0.25,1.0,0.75,1.0,1.0,1.0,True,24.6274,24.6274,18,24.6274,1,0,0,0,0,15
collision_shortcut,13,bug1,obstacle_size_scale,0.75,0.25,1.0,0.75,1.0,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,bug2,obstacle_size_scale,0.75,0.25,1.0,0.75,1.0,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,beacon_human_like,obstacle_size_scale,0.75,0.25,1.0,0.75,1.0,1.0,1.0,True,24.9889,24.9889,32,24.9889,0,0,0,0,0,15
collision_shortcut,13,dstar_lite,obstacle_size_scale,1.35,0.25,1.0,1.35,1.0,1.0,1.0,True,25.2132,25.2132,19,25.2132,1,0,0,0,0,15
collision_shortcut,13,bug1,obstacle_size_scale,1.35,0.25,1.0,1.35,1.0,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,bug2,obstacle_size_scale,1.35,0.25,1.0,1.35,1.0,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,beacon_human_like,obstacle_size_scale,1.35,0.25,1.0,1.35,1.0,1.0,1.0,True,25.3404,25.3404,33,25.3404,0,0,0,0,0,15
collision_shortcut,13,dstar_lite,friction_scale,0.7,0.25,1.0,1.0,0.7,1.0,1.0,True,24.6274,24.6274,18,24.6274,1,0,0,0,0,15
collision_shortcut,13,bug1,friction_scale,0.7,0.25,1.0,1.0,0.7,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,bug2,friction_scale,0.7,0.25,1.0,1.0,0.7,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,beacon_human_like,friction_scale,0.7,0.25,1.0,1.0,0.7,1.0,1.0,True,24.9889,24.9889,32,24.9889,0,0,0,0,0,15
collision_shortcut,13,dstar_lite,friction_scale,1.3,0.25,1.0,1.0,1.3,1.0,1.0,True,24.6274,24.6274,18,24.6274,1,0,0,0,0,15
collision_shortcut,13,bug1,friction_scale,1.3,0.25,1.0,1.0,1.3,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,bug2,friction_scale,1.3,0.25,1.0,1.0,1.3,1.0,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,beacon_human_like,friction_scale,1.3,0.25,1.0,1.0,1.3,1.0,1.0,True,24.9889,24.9889,32,24.9889,0,0,0,0,0,15
collision_shortcut,13,dstar_lite,energy_weight,0.5,0.25,1.0,1.0,1.0,0.5,1.0,True,24.6274,24.6274,18,24.6274,1,0,0,0,0,15
collision_shortcut,13,bug1,energy_weight,0.5,0.25,1.0,1.0,1.0,0.5,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,bug2,energy_weight,0.5,0.25,1.0,1.0,1.0,0.5,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,beacon_human_like,energy_weight,0.5,0.25,1.0,1.0,1.0,0.5,1.0,True,24.9889,24.9889,32,24.9889,0,0,0,0,0,15
collision_shortcut,13,dstar_lite,energy_weight,1.5,0.25,1.0,1.0,1.0,1.5,1.0,True,24.6274,24.6274,18,24.6274,1,0,0,0,0,15
collision_shortcut,13,bug1,energy_weight,1.5,0.25,1.0,1.0,1.0,1.5,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,bug2,energy_weight,1.5,0.25,1.0,1.0,1.0,1.5,1.0,False,0.0,0.0,0,0.0,0,0,0,0,0,15
collision_shortcut,13,beacon_human_like,energy_weight,1.5,0.25,1.0,1.0,1.0,1.5,1.0,True,24.9889,24.9889,32,24.9889,0,0,0,0,0,15
collision_shortcut,13,dstar_lite,obstacle_count_scale,0.7,0.25,1.0,1.0,1.0,1.0,0.7,True,24.6274,24.6274,18,24.6274,1,0,0,0,0,10
collision_shortcut,13,bug1,obstacle_count_scale,0.7,0.25,1.0,1.0,1.0,1.0,0.7,False,0.0,0.0,0,0.0,0,0,0,0,0,10
collision_shortcut,13,bug2,obstacle_count_scale,0.7,0.25,1.0,1.0,1.0,1.0,0.7,False,0.0,0.0,0,0.0,0,0,0,0,0,10
collision_shortcut,13,beacon_human_like,obstacle_count_scale,0.7,0.25,1.0,1.0,1.0,1.0,0.7,True,24.9889,24.9889,32,24.9889,0,0,0,0,0,10
collision_shortcut,13,dstar_lite,obstacle_count_scale,1.3,0.25,1.0,1.0,1.0,1.0,1.3,True,24.6274,24.6274,18,24.6274,1,0,0,0,0,20
collision_shortcut,13,bug1,obstacle_count_scale,1.3,0.25,1.0,1.0,1.0,1.0,1.3,False,0.0,0.0,0,0.0,0,0,0,0,0,20
collision_shortcut,13,bug2,obstacle_count_scale,1.3,0.25,1.0,1.0,1.0,1.0,1.3,False,0.0,0.0,0,0.0,0,0,0,0,0,20
collision_shortcut,13,beacon_human_like,obstacle_count_scale,1.3,0.25,1.0,1.0,1.0,1.0,1.3,True,24.9889,24.9889,32,24.9889,0,0,0,0,0,20
open_room,14,dstar_lite,baseline,baseline,0.25,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,8
open_room,14,bug1,baseline,baseline,0.25,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,8
open_room,14,bug2,baseline,baseline,0.25,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,8
open_room,14,beacon_human_like,baseline,baseline,0.25,1.0,1.0,1.0,1.0,1.0,True,25.3487,25.3487,30,25.3487,0,0,0,0,0,8
open_room,14,dstar_lite,robot_radius,0.15,0.15,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,8
open_room,14,bug1,robot_radius,0.15,0.15,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,8
open_room,14,bug2,robot_radius,0.15,0.15,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,8
