Bug2 Simulation Log
Scene: 092   Date: 2026-04-15 14:27:13
======================================================================

Family: sparse
Result: SUCCESS  (65 steps)
--------------------------------------------------
  step    0 | (5.0819, 3.9633) | start
  step    1 | (5.0256, 3.9217) | goal mode
  step    2 | (4.9693, 3.8800) | goal mode
  step    3 | (4.9130, 3.8384) | goal mode
  step    4 | (4.8568, 3.7968) | goal mode
  step    5 | (4.8568, 3.7968) | sensed [9]
  step    6 | (4.8005, 3.7551) | goal mode
  step    7 | (4.7442, 3.7135) | goal mode
  step    8 | (4.6879, 3.6719) | goal mode
  step    9 | (4.6317, 3.6302) | goal mode
  step   10 | (4.5754, 3.5886) | goal mode
  step   11 | (4.5191, 3.5470) | goal mode
  step   12 | (4.4628, 3.5053) | goal mode
  step   13 | (4.4066, 3.4637) | goal mode
  step   14 | (4.3503, 3.4221) | goal mode
  step   15 | (4.2940, 3.3804) | goal mode
  step   16 | (4.2378, 3.3388) | goal mode
  step   17 | (4.1815, 3.2972) | goal mode
  step   18 | (4.1252, 3.2555) | goal mode
  step   19 | (4.0689, 3.2139) | goal mode
  step   20 | (4.0127, 3.1723) | goal mode
  step   21 | (3.9564, 3.1306) | goal mode
  step   22 | (3.9001, 3.0890) | goal mode
  step   23 | (3.8438, 3.0474) | goal mode
  step   24 | (3.7876, 3.0058) | goal mode
  step   25 | (3.7313, 2.9641) | goal mode
  step   26 | (3.6750, 2.9225) | goal mode
  step   27 | (3.6187, 2.8809) | goal mode
  step   28 | (3.5625, 2.8392) | goal mode
  step   29 | (3.5062, 2.7976) | goal mode
  step   30 | (3.4499, 2.7560) | goal mode
  step   31 | (3.3936, 2.7143) | goal mode
  step   32 | (3.3374, 2.6727) | goal mode
  step   33 | (3.2811, 2.6311) | goal mode
  step   34 | (3.2248, 2.5894) | goal mode
  step   35 | (3.1685, 2.5478) | goal mode
  step   36 | (3.1123, 2.5062) | goal mode
  step   37 | (3.0560, 2.4645) | goal mode
  step   38 | (2.9997, 2.4229) | goal mode
  step   39 | (2.9435, 2.3813) | goal mode
  step   40 | (2.8872, 2.3396) | goal mode
  step   41 | (2.8309, 2.2980) | goal mode
  step   42 | (2.7746, 2.2564) | goal mode
  step   43 | (2.7184, 2.2147) | goal mode
  step   44 | (2.6621, 2.1731) | goal mode
  step   45 | (2.6058, 2.1315) | goal mode
  step   46 | (2.5495, 2.0898) | goal mode
  step   47 | (2.4933, 2.0482) | goal mode
  step   48 | (2.4370, 2.0066) | goal mode
  step   49 | (2.3807, 1.9649) | goal mode
  step   50 | (2.3244, 1.9233) | goal mode
  step   51 | (2.2682, 1.8817) | goal mode
  step   52 | (2.2119, 1.8400) | goal mode
  step   53 | (2.1556, 1.7984) | goal mode
  step   54 | (2.0993, 1.7568) | goal mode
  step   55 | (2.0431, 1.7151) | goal mode
  step   56 | (1.9868, 1.6735) | goal mode
  step   57 | (1.9305, 1.6319) | goal mode
  step   58 | (1.8742, 1.5903) | goal mode
  step   59 | (1.8180, 1.5486) | goal mode
  step   60 | (1.7617, 1.5070) | goal mode
  step   61 | (1.7054, 1.4654) | goal mode
  step   62 | (1.6492, 1.4237) | goal mode
  step   63 | (1.5929, 1.3821) | goal mode
  step   64 | (1.5700, 1.3652) | goal reached

Family: cluttered
Result: SUCCESS  (98 steps)
--------------------------------------------------
  step    0 | (5.0819, 3.9633) | start
  step    1 | (5.0819, 3.9633) | sensed [18, 21, 23]
  step    2 | (5.0256, 3.9217) | goal mode
  step    3 | (4.9693, 3.8800) | goal mode
  step    4 | (4.9130, 3.8384) | goal mode
  step    5 | (4.8568, 3.7968) | goal mode
  step    6 | (4.8568, 3.7968) | sensed [9]
  step    7 | (4.8005, 3.7551) | goal mode
  step    8 | (4.7442, 3.7135) | goal mode
  step    9 | (4.6879, 3.6719) | goal mode
  step   10 | (4.6879, 3.6719) | sensed [27]
  step   11 | (4.6317, 3.6302) | goal mode
  step   12 | (4.5754, 3.5886) | goal mode
  step   13 | (4.5191, 3.5470) | goal mode
  step   14 | (4.4628, 3.5053) | goal mode
  step   15 | (4.4066, 3.4637) | goal mode
  step   16 | (4.3503, 3.4221) | goal mode
  step   17 | (4.2940, 3.3804) | goal mode
  step   18 | (4.2940, 3.3804) | obstacle hit (d=3.39) — boundary mode
  step   19 | (4.3448, 3.3323) | boundary mode
  step   20 | (4.3956, 3.2841) | boundary mode
  step   21 | (4.4372, 3.2278) | boundary mode
  step   22 | (4.4372, 3.2278) | sensed [7]
  step   23 | (4.4788, 3.1715) | boundary mode
  step   24 | (4.4987, 3.1044) | boundary mode
  step   25 | (4.5066, 3.0348) | boundary mode
  step   26 | (4.5023, 2.9650) | boundary mode
  step   27 | (4.4860, 2.8969) | boundary mode
  step   28 | (4.4474, 2.8385) | boundary mode
  step   29 | (4.4087, 2.7802) | boundary mode
  step   30 | (4.3524, 2.7385) | boundary mode
  step   31 | (4.2962, 2.6969) | boundary mode
  step   32 | (4.2290, 2.6770) | boundary mode
  step   33 | (4.1595, 2.6691) | boundary mode
  step   34 | (4.0896, 2.6734) | boundary mode
  step   35 | (4.0896, 2.6734) | sensed [22]
  step   36 | (4.0216, 2.6897) | boundary mode
  step   37 | (3.9574, 2.7177) | boundary mode
  step   38 | (3.8990, 2.7563) | boundary mode
  step   39 | (3.8574, 2.8126) | boundary mode
  step   40 | (3.8574, 2.8126) | sensed [12]
  step   41 | (3.8157, 2.8689) | boundary mode
  step   42 | (3.8157, 2.8689) | m-line crossed (d=2.70 < hit=3.39) — goal mode
  step   43 | (3.7576, 2.8299) | goal mode
  step   44 | (3.6994, 2.7910) | goal mode
  step   45 | (3.6412, 2.7520) | goal mode
  step   46 | (3.5831, 2.7131) | goal mode
  step   47 | (3.5249, 2.6741) | goal mode
  step   48 | (3.5249, 2.6741) | obstacle hit (d=2.35) — boundary mode
  step   49 | (3.5639, 2.6160) | boundary mode
  step   50 | (3.5921, 2.5519) | boundary mode
  step   51 | (3.6088, 2.4839) | boundary mode
  step   52 | (3.6255, 2.4160) | boundary mode
  step   53 | (3.6180, 2.3464) | boundary mode
  step   54 | (3.6104, 2.2768) | boundary mode
  step   55 | (3.5909, 2.2096) | boundary mode
  step   56 | (3.5714, 2.1423) | boundary mode
  step   57 | (3.5300, 2.0858) | boundary mode
  step   58 | (3.4887, 2.0293) | boundary mode
  step   59 | (3.4382, 1.9809) | boundary mode
  step   60 | (3.3877, 1.9324) | boundary mode
  step   61 | (3.3236, 1.9042) | boundary mode
  step   62 | (3.2596, 1.8759) | boundary mode
  step   63 | (3.1916, 1.8592) | boundary mode
  step   64 | (3.1236, 1.8425) | boundary mode
  step   65 | (3.0540, 1.8501) | boundary mode
  step   66 | (3.0540, 1.8501) | sensed [13]
  step   67 | (2.9844, 1.8576) | boundary mode
  step   68 | (2.9172, 1.8772) | boundary mode
  step   69 | (2.8544, 1.9081) | boundary mode
  step   70 | (2.8544, 1.9081) | sensed [26]
  step   71 | (2.7916, 1.9390) | boundary mode
  step   72 | (2.7351, 1.9803) | boundary mode
  step   73 | (2.6866, 2.0308) | boundary mode
  step   74 | (2.6866, 2.0308) | m-line crossed (d=1.30 < hit=2.35) — goal mode
  step   75 | (2.6265, 1.9950) | goal mode
  step   76 | (2.6265, 1.9950) | obstacle hit (d=1.23) — boundary mode
  step   77 | (2.5735, 1.9492) | boundary mode
  step   78 | (2.5505, 1.8831) | boundary mode
  step   79 | (2.5164, 1.8220) | boundary mode
  step   80 | (2.5164, 1.8220) | sensed [15]
  step   81 | (2.4721, 1.7678) | boundary mode
  step   82 | (2.4191, 1.7220) | boundary mode
  step   83 | (2.3661, 1.6763) | boundary mode
  step   84 | (2.3007, 1.6514) | boundary mode
  step   85 | (2.2353, 1.6266) | boundary mode
  step   86 | (2.1665, 1.6135) | boundary mode
  step   87 | (2.0965, 1.6125) | boundary mode
  step   88 | (2.0965, 1.6125) | m-line crossed (d=0.58 < hit=1.23) — goal mode
  step   89 | (2.0331, 1.5827) | goal mode
  step   90 | (1.9698, 1.5530) | goal mode
  step   91 | (1.9064, 1.5232) | goal mode
  step   92 | (1.8431, 1.4934) | goal mode
  step   93 | (1.7797, 1.4637) | goal mode
  step   94 | (1.7164, 1.4339) | goal mode
  step   95 | (1.6530, 1.4041) | goal mode
  step   96 | (1.5896, 1.3744) | goal mode
  step   97 | (1.5700, 1.3652) | goal reached

Family: collision_required
Result: SUCCESS  (87 steps)
--------------------------------------------------
  step    0 | (5.0819, 3.9633) | start
  step    1 | (5.0256, 3.9217) | goal mode
  step    2 | (4.9693, 3.8800) | goal mode
  step    3 | (4.9130, 3.8384) | goal mode
  step    4 | (4.8568, 3.7968) | goal mode
  step    5 | (4.8005, 3.7551) | goal mode
  step    6 | (4.7442, 3.7135) | goal mode
  step    7 | (4.6879, 3.6719) | goal mode
  step    8 | (4.6317, 3.6302) | goal mode
  step    9 | (4.5754, 3.5886) | goal mode
  step   10 | (4.5191, 3.5470) | goal mode
  step   11 | (4.4628, 3.5053) | goal mode
  step   12 | (4.4066, 3.4637) | goal mode
  step   13 | (4.3503, 3.4221) | goal mode
  step   14 | (4.2940, 3.3804) | goal mode
  step   15 | (4.2378, 3.3388) | goal mode
  step   16 | (4.1815, 3.2972) | goal mode
  step   17 | (4.1252, 3.2555) | goal mode
  step   18 | (4.1252, 3.2555) | sensed [1]
  step   19 | (4.0689, 3.2139) | goal mode
  step   20 | (4.0127, 3.1723) | goal mode
  step   21 | (3.9564, 3.1306) | goal mode
  step   22 | (3.9001, 3.0890) | goal mode
  step   23 | (3.8438, 3.0474) | goal mode
  step   24 | (3.7876, 3.0058) | goal mode
  step   25 | (3.7313, 2.9641) | goal mode
  step   26 | (3.6750, 2.9225) | goal mode
  step   27 | (3.6750, 2.9225) | sensed [0]
  step   28 | (3.6750, 2.9225) | obstacle hit (d=2.62) — boundary mode
  step   29 | (3.7392, 2.8946) | boundary mode
  step   30 | (3.7976, 2.8559) | boundary mode
  step   31 | (3.8559, 2.8173) | boundary mode
  step   32 | (3.9067, 2.7691) | boundary mode
  step   33 | (3.9483, 2.7128) | boundary mode
  step   34 | (3.9796, 2.6502) | boundary mode
  step   35 | (3.9994, 2.5831) | boundary mode
  step   36 | (4.0193, 2.5159) | boundary mode
  step   37 | (4.0193, 2.5159) | sensed [2]
  step   38 | (4.0272, 2.4464) | boundary mode
  step   39 | (4.0230, 2.3765) | boundary mode
  step   40 | (4.0187, 2.3066) | boundary mode
  step   41 | (4.0023, 2.2386) | boundary mode
