Bug2 Simulation Log
Scene: 040   Date: 2026-04-15 14:24:00
======================================================================

Family: sparse
Result: SUCCESS  (57 steps)
--------------------------------------------------
  step    0 | (2.7889, 4.9271) | start
  step    1 | (2.7889, 4.9271) | sensed [0]
  step    2 | (2.7481, 4.8702) | goal mode
  step    3 | (2.7073, 4.8133) | goal mode
  step    4 | (2.6666, 4.7564) | goal mode
  step    5 | (2.6258, 4.6995) | goal mode
  step    6 | (2.5850, 4.6426) | goal mode
  step    7 | (2.5442, 4.5858) | goal mode
  step    8 | (2.5034, 4.5289) | goal mode
  step    9 | (2.4627, 4.4720) | goal mode
  step   10 | (2.4219, 4.4151) | goal mode
  step   11 | (2.3811, 4.3582) | goal mode
  step   12 | (2.3403, 4.3013) | goal mode
  step   13 | (2.2996, 4.2444) | goal mode
  step   14 | (2.2588, 4.1875) | goal mode
  step   15 | (2.2180, 4.1306) | goal mode
  step   16 | (2.1772, 4.0737) | goal mode
  step   17 | (2.1364, 4.0168) | goal mode
  step   18 | (2.0957, 3.9599) | goal mode
  step   19 | (2.0549, 3.9030) | goal mode
  step   20 | (2.0141, 3.8461) | goal mode
  step   21 | (1.9733, 3.7892) | goal mode
  step   22 | (1.9326, 3.7323) | goal mode
  step   23 | (1.8918, 3.6754) | goal mode
  step   24 | (1.8510, 3.6185) | goal mode
  step   25 | (1.8102, 3.5616) | goal mode
  step   26 | (1.7694, 3.5047) | goal mode
  step   27 | (1.7287, 3.4478) | goal mode
  step   28 | (1.6879, 3.3909) | goal mode
  step   29 | (1.6471, 3.3340) | goal mode
  step   30 | (1.6063, 3.2771) | goal mode
  step   31 | (1.5656, 3.2202) | goal mode
  step   32 | (1.5656, 3.2202) | sensed [6]
  step   33 | (1.5248, 3.1634) | goal mode
  step   34 | (1.4840, 3.1065) | goal mode
  step   35 | (1.4432, 3.0496) | goal mode
  step   36 | (1.4024, 2.9927) | goal mode
  step   37 | (1.3617, 2.9358) | goal mode
  step   38 | (1.3209, 2.8789) | goal mode
  step   39 | (1.2801, 2.8220) | goal mode
  step   40 | (1.2393, 2.7651) | goal mode
  step   41 | (1.1986, 2.7082) | goal mode
  step   42 | (1.1578, 2.6513) | goal mode
  step   43 | (1.1170, 2.5944) | goal mode
