Bug2 Simulation Log
Scene: 016   Date: 2026-04-15 14:22:05
======================================================================

Family: sparse
Result: SUCCESS  (84 steps)
--------------------------------------------------
  step    0 | (1.9444, 0.6744) | start
  step    1 | (1.9444, 0.6744) | sensed [0]
  step    2 | (1.9902, 0.7274) | goal mode
  step    3 | (2.0359, 0.7804) | goal mode
  step    4 | (2.0817, 0.8334) | goal mode
  step    5 | (2.1274, 0.8864) | goal mode
  step    6 | (2.1731, 0.9394) | goal mode
  step    7 | (2.2189, 0.9923) | goal mode
  step    8 | (2.2646, 1.0453) | goal mode
  step    9 | (2.3104, 1.0983) | goal mode
  step   10 | (2.3561, 1.1513) | goal mode
  step   11 | (2.4019, 1.2043) | goal mode
  step   12 | (2.4476, 1.2572) | goal mode
  step   13 | (2.4934, 1.3102) | goal mode
  step   14 | (2.5391, 1.3632) | goal mode
  step   15 | (2.5849, 1.4162) | goal mode
  step   16 | (2.6306, 1.4692) | goal mode
  step   17 | (2.6764, 1.5222) | goal mode
  step   18 | (2.7221, 1.5751) | goal mode
  step   19 | (2.7679, 1.6281) | goal mode
  step   20 | (2.8136, 1.6811) | goal mode
  step   21 | (2.8593, 1.7341) | goal mode
  step   22 | (2.9051, 1.7871) | goal mode
  step   23 | (2.9508, 1.8401) | goal mode
  step   24 | (2.9966, 1.8930) | goal mode
  step   25 | (3.0423, 1.9460) | goal mode
  step   26 | (3.0423, 1.9460) | sensed [4]
  step   27 | (3.0881, 1.9990) | goal mode
  step   28 | (3.1338, 2.0520) | goal mode
  step   29 | (3.1796, 2.1050) | goal mode
  step   30 | (3.2253, 2.1580) | goal mode
  step   31 | (3.2711, 2.2109) | goal mode
  step   32 | (3.3168, 2.2639) | goal mode
  step   33 | (3.3626, 2.3169) | goal mode
  step   34 | (3.4083, 2.3699) | goal mode
  step   35 | (3.4083, 2.3699) | obstacle hit (d=3.07) — boundary mode
  step   36 | (3.3971, 2.4390) | boundary mode
  step   37 | (3.3981, 2.5090) | boundary mode
  step   38 | (3.4112, 2.5778) | boundary mode
  step   39 | (3.4112, 2.5778) | m-line crossed (d=2.92 < hit=3.07) — goal mode
  step   40 | (3.4112, 2.5778) | obstacle hit (d=2.92) — boundary mode
  step   41 | (3.4391, 2.6420) | boundary mode
  step   42 | (3.4669, 2.7062) | boundary mode
  step   43 | (3.5055, 2.7646) | boundary mode
  step   44 | (3.5617, 2.8063) | boundary mode
  step   45 | (3.6179, 2.8480) | boundary mode
  step   46 | (3.6805, 2.8793) | boundary mode
