Bug2 Simulation Log
Scene: 003   Date: 2026-04-15 14:21:42
======================================================================

Family: sparse
Result: SUCCESS  (108 steps)
--------------------------------------------------
  step    0 | (3.6412, 0.7842) | start
  step    1 | (3.5977, 0.8390) | goal mode
  step    2 | (3.5542, 0.8939) | goal mode
  step    3 | (3.5106, 0.9487) | goal mode
  step    4 | (3.4671, 1.0035) | goal mode
  step    5 | (3.4236, 1.0584) | goal mode
  step    6 | (3.3801, 1.1132) | goal mode
  step    7 | (3.3801, 1.1132) | sensed [8]
  step    8 | (3.3366, 1.1680) | goal mode
  step    9 | (3.2931, 1.2229) | goal mode
  step   10 | (3.2496, 1.2777) | goal mode
  step   11 | (3.2061, 1.3325) | goal mode
  step   12 | (3.1625, 1.3874) | goal mode
  step   13 | (3.1190, 1.4422) | goal mode
  step   14 | (3.0755, 1.4970) | goal mode
  step   15 | (3.0320, 1.5519) | goal mode
  step   16 | (2.9885, 1.6067) | goal mode
  step   17 | (2.9450, 1.6615) | goal mode
  step   18 | (2.9450, 1.6615) | obstacle hit (d=3.91) — boundary mode
  step   19 | (2.9553, 1.5923) | boundary mode
  step   20 | (2.9533, 1.5223) | boundary mode
  step   21 | (2.9514, 1.4523) | boundary mode
  step   22 | (2.9257, 1.3872) | boundary mode
  step   23 | (2.8890, 1.3276) | boundary mode
  step   24 | (2.8524, 1.2680) | boundary mode
  step   25 | (2.8060, 1.2156) | boundary mode
  step   26 | (2.7511, 1.1721) | boundary mode
  step   27 | (2.6896, 1.1387) | boundary mode
  step   28 | (2.6896, 1.1387) | sensed [6]
  step   29 | (2.6232, 1.1166) | boundary mode
  step   30 | (2.5539, 1.1063) | boundary mode
  step   31 | (2.4839, 1.1083) | boundary mode
  step   32 | (2.4140, 1.1102) | boundary mode
  step   33 | (2.3489, 1.1359) | boundary mode
  step   34 | (2.2838, 1.1616) | boundary mode
  step   35 | (2.2241, 1.1983) | boundary mode
  step   36 | (2.1718, 1.2447) | boundary mode
  step   37 | (2.1282, 1.2996) | boundary mode
  step   38 | (2.0949, 1.3611) | boundary mode
  step   39 | (2.0616, 1.4227) | boundary mode
  step   40 | (2.0513, 1.4919) | boundary mode
  step   41 | (2.0411, 1.5612) | boundary mode
  step   42 | (2.0551, 1.6297) | boundary mode
  step   43 | (2.0691, 1.6983) | boundary mode
  step   44 | (2.0949, 1.7634) | boundary mode
  step   45 | (2.1315, 1.8231) | boundary mode
  step   46 | (2.1779, 1.8754) | boundary mode
  step   47 | (2.2244, 1.9278) | boundary mode
