Bug2 Simulation Log
Scene: 009   Date: 2026-04-15 14:21:55
======================================================================

Family: sparse
Result: SUCCESS  (73 steps)
--------------------------------------------------
  step    0 | (0.4828, 3.0142) | start
  step    1 | (0.5461, 2.9843) | goal mode
  step    2 | (0.6094, 2.9543) | goal mode
  step    3 | (0.6726, 2.9244) | goal mode
  step    4 | (0.7359, 2.8944) | goal mode
  step    5 | (0.7992, 2.8645) | goal mode
  step    6 | (0.8625, 2.8346) | goal mode
  step    7 | (0.9257, 2.8046) | goal mode
  step    8 | (0.9890, 2.7747) | goal mode
  step    9 | (1.0523, 2.7448) | goal mode
  step   10 | (1.1156, 2.7148) | goal mode
  step   11 | (1.1788, 2.6849) | goal mode
  step   12 | (1.2421, 2.6549) | goal mode
  step   13 | (1.3054, 2.6250) | goal mode
  step   14 | (1.3687, 2.5951) | goal mode
  step   15 | (1.4319, 2.5651) | goal mode
  step   16 | (1.4952, 2.5352) | goal mode
  step   17 | (1.5585, 2.5053) | goal mode
  step   18 | (1.6218, 2.4753) | goal mode
  step   19 | (1.6850, 2.4454) | goal mode
  step   20 | (1.7483, 2.4154) | goal mode
  step   21 | (1.8116, 2.3855) | goal mode
  step   22 | (1.8749, 2.3556) | goal mode
  step   23 | (1.9381, 2.3256) | goal mode
  step   24 | (2.0014, 2.2957) | goal mode
  step   25 | (2.0647, 2.2658) | goal mode
  step   26 | (2.1280, 2.2358) | goal mode
  step   27 | (2.1912, 2.2059) | goal mode
  step   28 | (2.2545, 2.1759) | goal mode
  step   29 | (2.3178, 2.1460) | goal mode
  step   30 | (2.3811, 2.1161) | goal mode
  step   31 | (2.4443, 2.0861) | goal mode
  step   32 | (2.5076, 2.0562) | goal mode
  step   33 | (2.5709, 2.0263) | goal mode
  step   34 | (2.6342, 1.9963) | goal mode
  step   35 | (2.6975, 1.9664) | goal mode
  step   36 | (2.7607, 1.9364) | goal mode
  step   37 | (2.8240, 1.9065) | goal mode
  step   38 | (2.8873, 1.8766) | goal mode
  step   39 | (2.9506, 1.8466) | goal mode
  step   40 | (3.0138, 1.8167) | goal mode
  step   41 | (3.0771, 1.7868) | goal mode
  step   42 | (3.1404, 1.7568) | goal mode
  step   43 | (3.2037, 1.7269) | goal mode
  step   44 | (3.2669, 1.6969) | goal mode
  step   45 | (3.3302, 1.6670) | goal mode
  step   46 | (3.3935, 1.6371) | goal mode
  step   47 | (3.4568, 1.6071) | goal mode
  step   48 | (3.5200, 1.5772) | goal mode
  step   49 | (3.5833, 1.5473) | goal mode
  step   50 | (3.6466, 1.5173) | goal mode
  step   51 | (3.7099, 1.4874) | goal mode
  step   52 | (3.7731, 1.4574) | goal mode
  step   53 | (3.8364, 1.4275) | goal mode
  step   54 | (3.8997, 1.3976) | goal mode
  step   55 | (3.9630, 1.3676) | goal mode
  step   56 | (4.0262, 1.3377) | goal mode
  step   57 | (4.0895, 1.3078) | goal mode
  step   58 | (4.1528, 1.2778) | goal mode
  step   59 | (4.2161, 1.2479) | goal mode
  step   60 | (4.2793, 1.2179) | goal mode
  step   61 | (4.3426, 1.1880) | goal mode
  step   62 | (4.4059, 1.1581) | goal mode
  step   63 | (4.4692, 1.1281) | goal mode
  step   64 | (4.5324, 1.0982) | goal mode
  step   65 | (4.5957, 1.0683) | goal mode
  step   66 | (4.6590, 1.0383) | goal mode
  step   67 | (4.7223, 1.0084) | goal mode
  step   68 | (4.7855, 0.9784) | goal mode
  step   69 | (4.8488, 0.9485) | goal mode
  step   70 | (4.9121, 0.9186) | goal mode
  step   71 | (4.9754, 0.8886) | goal mode
  step   72 | (5.0313, 0.8622) | goal reached

Family: cluttered
Result: SUCCESS  (181 steps)
--------------------------------------------------
  step    0 | (0.4828, 3.0142) | start
  step    1 | (0.5461, 2.9843) | goal mode
  step    2 | (0.6094, 2.9543) | goal mode
  step    3 | (0.6726, 2.9244) | goal mode
  step    4 | (0.7359, 2.8944) | goal mode
  step    5 | (0.7992, 2.8645) | goal mode
  step    6 | (0.8625, 2.8346) | goal mode
  step    7 | (0.8625, 2.8346) | sensed [15]
  step    8 | (0.9257, 2.8046) | goal mode
  step    9 | (0.9890, 2.7747) | goal mode
  step   10 | (1.0523, 2.7448) | goal mode
  step   11 | (1.1156, 2.7148) | goal mode
  step   12 | (1.1788, 2.6849) | goal mode
  step   13 | (1.2421, 2.6549) | goal mode
  step   14 | (1.3054, 2.6250) | goal mode
  step   15 | (1.3687, 2.5951) | goal mode
  step   16 | (1.4319, 2.5651) | goal mode
  step   17 | (1.4952, 2.5352) | goal mode
  step   18 | (1.5585, 2.5053) | goal mode
  step   19 | (1.6218, 2.4753) | goal mode
  step   20 | (1.6218, 2.4753) | sensed [22]
  step   21 | (1.6850, 2.4454) | goal mode
  step   22 | (1.6850, 2.4454) | sensed [13]
  step   23 | (1.7483, 2.4154) | goal mode
  step   24 | (1.8116, 2.3855) | goal mode
  step   25 | (1.8749, 2.3556) | goal mode
  step   26 | (1.9381, 2.3256) | goal mode
  step   27 | (2.0014, 2.2957) | goal mode
  step   28 | (2.0647, 2.2658) | goal mode
  step   29 | (2.1280, 2.2358) | goal mode
  step   30 | (2.1280, 2.2358) | obstacle hit (d=3.21) — boundary mode
  step   31 | (2.1684, 2.2929) | boundary mode
  step   32 | (2.1869, 2.3604) | boundary mode
  step   33 | (2.2274, 2.4176) | boundary mode
  step   34 | (2.2679, 2.4747) | boundary mode
  step   35 | (2.3177, 2.5239) | boundary mode
  step   36 | (2.3177, 2.5239) | sensed [8]
  step   37 | (2.2544, 2.5538) | boundary mode
  step   38 | (2.1911, 2.5838) | boundary mode
  step   39 | (2.1340, 2.6242) | boundary mode
  step   40 | (2.0848, 2.6740) | boundary mode
  step   41 | (2.0555, 2.7376) | boundary mode
  step   42 | (2.0263, 2.8012) | boundary mode
  step   43 | (2.0206, 2.8710) | boundary mode
  step   44 | (2.0271, 2.9407) | boundary mode
  step   45 | (2.0271, 2.9407) | sensed [24]
  step   46 | (2.0456, 3.0082) | boundary mode
  step   47 | (2.0755, 3.0715) | boundary mode
  step   48 | (2.1253, 3.1207) | boundary mode
  step   49 | (2.1751, 3.1699) | boundary mode
  step   50 | (2.2387, 3.1991) | boundary mode
  step   51 | (2.3064, 3.2169) | boundary mode
  step   52 | (2.3762, 3.2226) | boundary mode
  step   53 | (2.4437, 3.2041) | boundary mode
  step   54 | (2.4380, 3.2739) | boundary mode
  step   55 | (2.4322, 3.3436) | boundary mode
  step   56 | (2.4387, 3.4133) | boundary mode
  step   57 | (2.4452, 3.4830) | boundary mode
  step   58 | (2.4637, 3.5505) | boundary mode
  step   59 | (2.4822, 3.6181) | boundary mode
  step   60 | (2.5227, 3.6752) | boundary mode
  step   61 | (2.5632, 3.7323) | boundary mode
  step   62 | (2.6036, 3.7894) | boundary mode
  step   63 | (2.6612, 3.8292) | boundary mode
  step   64 | (2.7188, 3.8691) | boundary mode
  step   65 | (2.7188, 3.8691) | sensed [16]
  step   66 | (2.7824, 3.8983) | boundary mode
  step   67 | (2.8460, 3.9275) | boundary mode
  step   68 | (2.9137, 3.9453) | boundary mode
  step   69 | (2.9835, 3.9510) | boundary mode
  step   70 | (3.0531, 3.9445) | boundary mode
  step   71 | (3.1228, 3.9380) | boundary mode
  step   72 | (3.1904, 3.9195) | boundary mode
  step   73 | (3.2536, 3.8896) | boundary mode
  step   74 | (3.3169, 3.8596) | boundary mode
  step   75 | (3.3740, 3.8191) | boundary mode
  step   76 | (3.4232, 3.7694) | boundary mode
  step   77 | (3.4631, 3.7118) | boundary mode
  step   78 | (3.5029, 3.6542) | boundary mode
  step   79 | (3.5029, 3.6542) | sensed [18]
  step   80 | (3.5321, 3.5906) | boundary mode
  step   81 | (3.5499, 3.5229) | boundary mode
  step   82 | (3.5676, 3.4552) | boundary mode
  step   83 | (3.5733, 3.3854) | boundary mode
  step   84 | (3.5668, 3.3157) | boundary mode
  step   85 | (3.5603, 3.2460) | boundary mode
  step   86 | (3.5418, 3.1785) | boundary mode
  step   87 | (3.5596, 3.1108) | boundary mode
  step   88 | (3.6271, 3.0923) | boundary mode
  step   89 | (3.6271, 3.0923) | sensed [14]
  step   90 | (3.6904, 3.0624) | boundary mode
  step   91 | (3.7475, 3.0219) | boundary mode
  step   92 | (3.7967, 2.9721) | boundary mode
  step   93 | (3.8459, 2.9224) | boundary mode
  step   94 | (3.8752, 2.8588) | boundary mode
  step   95 | (3.9044, 2.7952) | boundary mode
  step   96 | (3.9221, 2.7274) | boundary mode
  step   97 | (3.9278, 2.6577) | boundary mode
  step   98 | (3.9213, 2.5880) | boundary mode
  step   99 | (3.9028, 2.5205) | boundary mode
  step  100 | (3.8844, 2.4530) | boundary mode
  step  101 | (3.8439, 2.3958) | boundary mode
  step  102 | (3.8034, 2.3387) | boundary mode
  step  103 | (3.7536, 2.2895) | boundary mode
  step  104 | (3.6961, 2.2497) | boundary mode
  step  105 | (3.6325, 2.2204) | boundary mode
  step  106 | (3.5648, 2.2027) | boundary mode
  step  107 | (3.4970, 2.1850) | boundary mode
  step  108 | (3.4273, 2.1915) | boundary mode
  step  109 | (3.3576, 2.1979) | boundary mode
  step  110 | (3.2901, 2.2164) | boundary mode
  step  111 | (3.2269, 2.2464) | boundary mode
  step  112 | (3.1697, 2.2868) | boundary mode
  step  113 | (3.1126, 2.3273) | boundary mode
  step  114 | (3.0728, 2.3849) | boundary mode
  step  115 | (3.0330, 2.4424) | boundary mode
  step  116 | (3.0152, 2.5102) | boundary mode
  step  117 | (2.9975, 2.5779) | boundary mode
  step  118 | (2.9918, 2.6476) | boundary mode
  step  119 | (2.9861, 2.7174) | boundary mode
  step  120 | (3.0046, 2.7849) | boundary mode
  step  121 | (2.9370, 2.8034) | boundary mode
  step  122 | (2.8695, 2.8219) | boundary mode
  step  123 | (2.8020, 2.8404) | boundary mode
  step  124 | (2.7387, 2.8703) | boundary mode
  step  125 | (2.6983, 2.8132) | boundary mode
  step  126 | (2.6798, 2.7457) | boundary mode
  step  127 | (2.6393, 2.6886) | boundary mode
  step  128 | (2.6791, 2.6310) | boundary mode
  step  129 | (2.7488, 2.6245) | boundary mode
  step  130 | (2.8121, 2.5946) | boundary mode
  step  131 | (2.8754, 2.5647) | boundary mode
  step  132 | (2.9246, 2.5149) | boundary mode
  step  133 | (2.9738, 2.4651) | boundary mode
  step  134 | (3.0137, 2.4076) | boundary mode
  step  135 | (3.0429, 2.3440) | boundary mode
  step  136 | (3.0721, 2.2803) | boundary mode
  step  137 | (3.0778, 2.2106) | boundary mode
  step  138 | (3.0835, 2.1408) | boundary mode
  step  139 | (3.0650, 2.0733) | boundary mode
  step  140 | (3.0465, 2.0058) | boundary mode
  step  141 | (3.0166, 1.9425) | boundary mode
  step  142 | (3.0166, 1.9425) | m-line crossed (d=2.29 < hit=3.21) — goal mode
  step  143 | (3.0783, 1.9094) | goal mode
  step  144 | (3.1400, 1.8764) | goal mode
  step  145 | (3.2017, 1.8433) | goal mode
  step  146 | (3.2634, 1.8102) | goal mode
  step  147 | (3.3251, 1.7771) | goal mode
  step  148 | (3.3868, 1.7440) | goal mode
  step  149 | (3.4484, 1.7110) | goal mode
  step  150 | (3.5101, 1.6779) | goal mode
  step  151 | (3.5718, 1.6448) | goal mode
  step  152 | (3.6335, 1.6117) | goal mode
  step  153 | (3.6952, 1.5786) | goal mode
  step  154 | (3.6952, 1.5786) | sensed [20]
  step  155 | (3.7569, 1.5455) | goal mode
  step  156 | (3.8186, 1.5125) | goal mode
  step  157 | (3.8803, 1.4794) | goal mode
  step  158 | (3.9420, 1.4463) | goal mode
  step  159 | (4.0037, 1.4132) | goal mode
  step  160 | (4.0037, 1.4132) | sensed [12]
  step  161 | (4.0653, 1.3801) | goal mode
  step  162 | (4.0653, 1.3801) | sensed [21]
  step  163 | (4.1270, 1.3471) | goal mode
  step  164 | (4.1887, 1.3140) | goal mode
  step  165 | (4.2504, 1.2809) | goal mode
  step  166 | (4.3121, 1.2478) | goal mode
  step  167 | (4.3738, 1.2147) | goal mode
  step  168 | (4.4355, 1.1817) | goal mode
  step  169 | (4.4972, 1.1486) | goal mode
  step  170 | (4.5589, 1.1155) | goal mode
  step  171 | (4.6206, 1.0824) | goal mode
  step  172 | (4.6822, 1.0493) | goal mode
  step  173 | (4.7439, 1.0163) | goal mode
  step  174 | (4.8056, 0.9832) | goal mode
  step  175 | (4.8056, 0.9832) | sensed [23]
  step  176 | (4.8673, 0.9501) | goal mode
  step  177 | (4.8673, 0.9501) | sensed [17]
  step  178 | (4.9290, 0.9170) | goal mode
  step  179 | (4.9907, 0.8839) | goal mode
  step  180 | (5.0313, 0.8622) | goal reached

Family: collision_required
Result: SUCCESS  (102 steps)
--------------------------------------------------
  step    0 | (0.4828, 3.0142) | start
  step    1 | (0.5461, 2.9843) | goal mode
  step    2 | (0.6094, 2.9543) | goal mode
  step    3 | (0.6726, 2.9244) | goal mode
  step    4 | (0.7359, 2.8944) | goal mode
  step    5 | (0.7992, 2.8645) | goal mode
  step    6 | (0.8625, 2.8346) | goal mode
  step    7 | (0.9257, 2.8046) | goal mode
  step    8 | (0.9890, 2.7747) | goal mode
  step    9 | (1.0523, 2.7448) | goal mode
  step   10 | (1.1156, 2.7148) | goal mode
  step   11 | (1.1788, 2.6849) | goal mode
  step   12 | (1.2421, 2.6549) | goal mode
  step   13 | (1.3054, 2.6250) | goal mode
  step   14 | (1.3687, 2.5951) | goal mode
  step   15 | (1.4319, 2.5651) | goal mode
  step   16 | (1.4952, 2.5352) | goal mode
  step   17 | (1.5585, 2.5053) | goal mode
  step   18 | (1.6218, 2.4753) | goal mode
  step   19 | (1.6850, 2.4454) | goal mode
  step   20 | (1.7483, 2.4154) | goal mode
  step   21 | (1.8116, 2.3855) | goal mode
  step   22 | (1.8749, 2.3556) | goal mode
  step   23 | (1.8749, 2.3556) | sensed [1]
  step   24 | (1.9381, 2.3256) | goal mode
  step   25 | (2.0014, 2.2957) | goal mode
  step   26 | (2.0647, 2.2658) | goal mode
  step   27 | (2.1280, 2.2358) | goal mode
  step   28 | (2.1912, 2.2059) | goal mode
  step   29 | (2.2545, 2.1759) | goal mode
  step   30 | (2.3178, 2.1460) | goal mode
  step   31 | (2.3178, 2.1460) | sensed [0]
  step   32 | (2.3178, 2.1460) | obstacle hit (d=3.00) — boundary mode
  step   33 | (2.3583, 2.2031) | boundary mode
  step   34 | (2.3648, 2.2728) | boundary mode
  step   35 | (2.3713, 2.3425) | boundary mode
  step   36 | (2.4012, 2.4058) | boundary mode
  step   37 | (2.4311, 2.4691) | boundary mode
  step   38 | (2.4716, 2.5262) | boundary mode
  step   39 | (2.5121, 2.5833) | boundary mode
  step   40 | (2.5696, 2.6231) | boundary mode
  step   41 | (2.5696, 2.6231) | sensed [2]
  step   42 | (2.6272, 2.6630) | boundary mode
  step   43 | (2.6908, 2.6922) | boundary mode
  step   44 | (2.7544, 2.7214) | boundary mode
  step   45 | (2.8242, 2.7271) | boundary mode
  step   46 | (2.8939, 2.7328) | boundary mode
  step   47 | (2.9636, 2.7263) | boundary mode
  step   48 | (3.0333, 2.7199) | boundary mode
  step   49 | (3.0966, 2.6899) | boundary mode
  step   50 | (3.1599, 2.6600) | boundary mode
  step   51 | (3.2170, 2.6195) | boundary mode
  step   52 | (3.2662, 2.5697) | boundary mode
  step   53 | (3.3154, 2.5200) | boundary mode
  step   54 | (3.3447, 2.4564) | boundary mode
  step   55 | (3.3739, 2.3927) | boundary mode
  step   56 | (3.4031, 2.3291) | boundary mode
  step   57 | (3.4088, 2.2594) | boundary mode
  step   58 | (3.4145, 2.1896) | boundary mode
  step   59 | (3.4081, 2.1199) | boundary mode
  step   60 | (3.3896, 2.0524) | boundary mode
  step   61 | (3.3596, 1.9891) | boundary mode
  step   62 | (3.3297, 1.9258) | boundary mode
  step   63 | (3.3297, 1.9258) | sensed [11]
  step   64 | (3.2892, 1.8687) | boundary mode
  step   65 | (3.2394, 1.8195) | boundary mode
  step   66 | (3.2394, 1.8195) | m-line crossed (d=2.03 < hit=3.00) — goal mode
  step   67 | (3.3012, 1.7865) | goal mode
  step   68 | (3.3629, 1.7535) | goal mode
  step   69 | (3.4247, 1.7206) | goal mode
  step   70 | (3.4864, 1.6876) | goal mode
  step   71 | (3.5481, 1.6546) | goal mode
  step   72 | (3.6099, 1.6216) | goal mode
  step   73 | (3.6716, 1.5886) | goal mode
  step   74 | (3.7334, 1.5556) | goal mode
  step   75 | (3.7334, 1.5556) | obstacle hit (d=1.47) — boundary mode
  step   76 | (3.7928, 1.5926) | boundary mode
  step   77 | (3.8522, 1.6296) | boundary mode
  step   78 | (3.9207, 1.6440) | boundary mode
  step   79 | (3.9892, 1.6584) | boundary mode
  step   80 | (4.0592, 1.6607) | boundary mode
  step   81 | (4.1292, 1.6630) | boundary mode
  step   82 | (4.1957, 1.6412) | boundary mode
  step   83 | (4.2622, 1.6195) | boundary mode
  step   84 | (4.3240, 1.5865) | boundary mode
  step   85 | (4.3857, 1.5535) | boundary mode
  step   86 | (4.4324, 1.5014) | boundary mode
  step   87 | (4.4792, 1.4493) | boundary mode
  step   88 | (4.5162, 1.3898) | boundary mode
  step   89 | (4.5422, 1.3249) | boundary mode
  step   90 | (4.5683, 1.2599) | boundary mode
  step   91 | (4.5706, 1.1900) | boundary mode
  step   92 | (4.5706, 1.1900) | m-line crossed (d=0.57 < hit=1.47) — goal mode
  step   93 | (4.6277, 1.1494) | goal mode
  step   94 | (4.6847, 1.1088) | goal mode
  step   95 | (4.7417, 1.0682) | goal mode
  step   96 | (4.7988, 1.0276) | goal mode
  step   97 | (4.8558, 0.9870) | goal mode
  step   98 | (4.9128, 0.9465) | goal mode
  step   99 | (4.9699, 0.9059) | goal mode
  step  100 | (5.0269, 0.8653) | goal mode
  step  101 | (5.0313, 0.8622) | goal reached

Family: collision_shortcut
Result: SUCCESS  (97 steps)
--------------------------------------------------
  step    0 | (0.4828, 3.0142) | start
  step    1 | (0.4828, 3.0142) | sensed [5]
  step    2 | (0.5461, 2.9843) | goal mode
  step    3 | (0.6094, 2.9543) | goal mode
  step    4 | (0.6726, 2.9244) | goal mode
  step    5 | (0.7359, 2.8944) | goal mode
  step    6 | (0.7359, 2.8944) | sensed [21]
  step    7 | (0.7992, 2.8645) | goal mode
  step    8 | (0.8625, 2.8346) | goal mode
  step    9 | (0.9257, 2.8046) | goal mode
  step   10 | (0.9890, 2.7747) | goal mode
  step   11 | (1.0523, 2.7448) | goal mode
  step   12 | (1.1156, 2.7148) | goal mode
  step   13 | (1.1788, 2.6849) | goal mode
  step   14 | (1.1788, 2.6849) | sensed [0]
  step   15 | (1.2421, 2.6549) | goal mode
  step   16 | (1.2421, 2.6549) | obstacle hit (d=4.19) — boundary mode
  step   17 | (1.2364, 2.7247) | boundary mode
  step   18 | (1.2429, 2.7944) | boundary mode
  step   19 | (1.2494, 2.8641) | boundary mode
  step   20 | (1.2793, 2.9274) | boundary mode
  step   21 | (1.3291, 2.9766) | boundary mode
  step   22 | (1.3789, 3.0258) | boundary mode
  step   23 | (1.4425, 3.0550) | boundary mode
  step   24 | (1.5102, 3.0728) | boundary mode
  step   25 | (1.5799, 3.0663) | boundary mode
  step   26 | (1.6474, 3.0478) | boundary mode
  step   27 | (1.7107, 3.0179) | boundary mode
  step   28 | (1.7678, 2.9774) | boundary mode
  step   29 | (1.8076, 2.9198) | boundary mode
  step   30 | (1.8369, 2.8562) | boundary mode
  step   31 | (1.8426, 2.7865) | boundary mode
  step   32 | (1.8483, 2.7167) | boundary mode
  step   33 | (1.9180, 2.7224) | boundary mode
  step   34 | (1.9858, 2.7401) | boundary mode
  step   35 | (2.0535, 2.7579) | boundary mode
  step   36 | (2.1232, 2.7514) | boundary mode
  step   37 | (2.1232, 2.7514) | sensed [1, 22]
  step   38 | (2.1929, 2.7449) | boundary mode
  step   39 | (2.2561, 2.7150) | boundary mode
  step   40 | (2.3194, 2.6850) | boundary mode
  step   41 | (2.3765, 2.6446) | boundary mode
  step   42 | (2.4337, 2.6041) | boundary mode
  step   43 | (2.4735, 2.5465) | boundary mode
  step   44 | (2.5133, 2.4890) | boundary mode
  step   45 | (2.5425, 2.4253) | boundary mode
  step   46 | (2.6122, 2.4189) | boundary mode
  step   47 | (2.6800, 2.4366) | boundary mode
  step   48 | (2.7497, 2.4423) | boundary mode
  step   49 | (2.8194, 2.4358) | boundary mode
  step   50 | (2.8869, 2.4173) | boundary mode
  step   51 | (2.8869, 2.4173) | sensed [2]
  step   52 | (2.9544, 2.3988) | boundary mode
  step   53 | (3.0177, 2.3689) | boundary mode
  step   54 | (3.0748, 2.3284) | boundary mode
  step   55 | (3.1241, 2.2786) | boundary mode
  step   56 | (3.1639, 2.2211) | boundary mode
  step   57 | (3.2037, 2.1635) | boundary mode
  step   58 | (3.2329, 2.0999) | boundary mode
  step   59 | (3.2507, 2.0322) | boundary mode
  step   60 | (3.3204, 2.0257) | boundary mode
  step   61 | (3.3881, 2.0434) | boundary mode
  step   62 | (3.4579, 2.0492) | boundary mode
  step   63 | (3.5276, 2.0427) | boundary mode
  step   64 | (3.5276, 2.0427) | sensed [11]
  step   65 | (3.5908, 2.0127) | boundary mode
  step   66 | (3.6541, 1.9828) | boundary mode
  step   67 | (3.7112, 1.9423) | boundary mode
  step   68 | (3.7683, 1.9019) | boundary mode
  step   69 | (3.8082, 1.8443) | boundary mode
  step   70 | (3.8374, 1.7807) | boundary mode
  step   71 | (3.8551, 1.7130) | boundary mode
  step   72 | (3.8729, 1.6453) | boundary mode
  step   73 | (3.9426, 1.6510) | boundary mode
  step   74 | (4.0104, 1.6687) | boundary mode
  step   75 | (4.0801, 1.6622) | boundary mode
  step   76 | (4.1498, 1.6557) | boundary mode
  step   77 | (4.2173, 1.6372) | boundary mode
  step   78 | (4.2173, 1.6372) | sensed [8]
  step   79 | (4.2848, 1.6187) | boundary mode
  step   80 | (4.3419, 1.5783) | boundary mode
  step   81 | (4.3990, 1.5378) | boundary mode
  step   82 | (4.4482, 1.4880) | boundary mode
