Bug1 Simulation Log
Scene: 087   Date: 2026-04-15 00:50:46
======================================================================

Family: sparse
Result: SUCCESS  (65 steps)
--------------------------------------------------
  step    0 | (1.1944, 1.4148) | start
  step    1 | (1.1944, 1.4148) | sensed obstacle(s) [6]
  step    2 | (1.2568, 1.4464) | goal mode
  step    3 | (1.3192, 1.4781) | goal mode
  step    4 | (1.3817, 1.5097) | goal mode
  step    5 | (1.4441, 1.5414) | goal mode
  step    6 | (1.5066, 1.5730) | goal mode
  step    7 | (1.5690, 1.6047) | goal mode
  step    8 | (1.5690, 1.6047) | obstacle hit - switching to boundary mode
  step    9 | (1.5849, 1.6729) | boundary mode
  step   10 | (1.5645, 1.7399) | boundary mode
  step   11 | (1.5684, 1.8097) | boundary mode
  step   12 | (1.5722, 1.8796) | boundary mode
  step   13 | (1.6104, 1.9383) | boundary mode
  step   14 | (1.6487, 1.9969) | boundary mode
  step   15 | (1.7046, 2.0389) | boundary mode
  step   16 | (1.7671, 2.0706) | boundary mode
  step   17 | (1.7671, 2.0706) | clear path to goal - resuming goal mode
  step   18 | (1.8324, 2.0956) | goal mode
  step   19 | (1.8978, 2.1207) | goal mode
  step   20 | (1.9632, 2.1458) | goal mode
  step   21 | (2.0285, 2.1708) | goal mode
  step   22 | (2.0939, 2.1959) | goal mode
  step   23 | (2.1592, 2.2210) | goal mode
  step   24 | (2.2246, 2.2460) | goal mode
  step   25 | (2.2899, 2.2711) | goal mode
  step   26 | (2.3553, 2.2962) | goal mode
  step   27 | (2.4207, 2.3212) | goal mode
  step   28 | (2.4860, 2.3463) | goal mode
  step   29 | (2.5514, 2.3714) | goal mode
  step   30 | (2.6167, 2.3964) | goal mode
  step   31 | (2.6821, 2.4215) | goal mode
  step   32 | (2.7474, 2.4466) | goal mode
  step   33 | (2.8128, 2.4717) | goal mode
  step   34 | (2.8782, 2.4967) | goal mode
  step   35 | (2.9435, 2.5218) | goal mode
  step   36 | (3.0089, 2.5469) | goal mode
  step   37 | (3.0089, 2.5469) | sensed obstacle(s) [11]
  step   38 | (3.0742, 2.5719) | goal mode
  step   39 | (3.1396, 2.5970) | goal mode
  step   40 | (3.2049, 2.6221) | goal mode
  step   41 | (3.2703, 2.6471) | goal mode
  step   42 | (3.3357, 2.6722) | goal mode
  step   43 | (3.4010, 2.6973) | goal mode
  step   44 | (3.4664, 2.7223) | goal mode
  step   45 | (3.5317, 2.7474) | goal mode
  step   46 | (3.5971, 2.7725) | goal mode
  step   47 | (3.6624, 2.7975) | goal mode
  step   48 | (3.7278, 2.8226) | goal mode
  step   49 | (3.7932, 2.8477) | goal mode
  step   50 | (3.8585, 2.8727) | goal mode
  step   51 | (3.9239, 2.8978) | goal mode
  step   52 | (3.9892, 2.9229) | goal mode
  step   53 | (4.0546, 2.9479) | goal mode
  step   54 | (4.1200, 2.9730) | goal mode
  step   55 | (4.1853, 2.9981) | goal mode
  step   56 | (4.2507, 3.0231) | goal mode
  step   57 | (4.3160, 3.0482) | goal mode
  step   58 | (4.3814, 3.0733) | goal mode
  step   59 | (4.4467, 3.0984) | goal mode
  step   60 | (4.5121, 3.1234) | goal mode
  step   61 | (4.5775, 3.1485) | goal mode
  step   62 | (4.6428, 3.1736) | goal mode
  step   63 | (4.7082, 3.1986) | goal mode
  step   64 | (4.7294, 3.2068) | goal reached

Family: cluttered
Result: SUCCESS  (74 steps)
--------------------------------------------------
  step    0 | (1.1944, 1.4148) | start
  step    1 | (1.1944, 1.4148) | sensed obstacle(s) [6, 20, 23, 25]
  step    2 | (1.2568, 1.4464) | goal mode
  step    3 | (1.3192, 1.4781) | goal mode
  step    4 | (1.3817, 1.5097) | goal mode
  step    5 | (1.4441, 1.5414) | goal mode
  step    6 | (1.5066, 1.5730) | goal mode
  step    7 | (1.5690, 1.6047) | goal mode
  step    8 | (1.5690, 1.6047) | sensed obstacle(s) [16]
  step    9 | (1.5690, 1.6047) | obstacle hit - switching to boundary mode
  step   10 | (1.5849, 1.6729) | boundary mode
  step   11 | (1.5849, 1.6729) | sensed obstacle(s) [26]
  step   12 | (1.5645, 1.7399) | boundary mode
  step   13 | (1.5684, 1.8097) | boundary mode
  step   14 | (1.5722, 1.8796) | boundary mode
  step   15 | (1.6104, 1.9383) | boundary mode
  step   16 | (1.6487, 1.9969) | boundary mode
  step   17 | (1.7046, 2.0389) | boundary mode
  step   18 | (1.7671, 2.0706) | boundary mode
  step   19 | (1.8341, 2.0909) | boundary mode
  step   20 | (1.9040, 2.0871) | boundary mode
  step   21 | (1.9314, 2.1515) | boundary mode
  step   22 | (1.9231, 2.2210) | boundary mode
  step   23 | (1.9390, 2.2891) | boundary mode
  step   24 | (1.9664, 2.3535) | boundary mode
  step   25 | (1.9664, 2.3535) | sensed obstacle(s) [14]
  step   26 | (2.0047, 2.4121) | boundary mode
  step   27 | (2.0047, 2.4121) | sensed obstacle(s) [29]
  step   28 | (2.0525, 2.4632) | boundary mode
  step   29 | (2.1085, 2.5052) | boundary mode
  step   30 | (2.1755, 2.5256) | boundary mode
  step   31 | (2.2425, 2.5459) | boundary mode
  step   32 | (2.3124, 2.5421) | boundary mode
  step   33 | (2.3806, 2.5262) | boundary mode
  step   34 | (2.4449, 2.4987) | boundary mode
  step   35 | (2.5036, 2.4605) | boundary mode
  step   36 | (2.5547, 2.4126) | boundary mode
  step   37 | (2.5967, 2.3566) | boundary mode
  step   38 | (2.5967, 2.3566) | clear path to goal - resuming goal mode
  step   39 | (2.6617, 2.3825) | goal mode
  step   40 | (2.7267, 2.4085) | goal mode
  step   41 | (2.7917, 2.4344) | goal mode
  step   42 | (2.8568, 2.4603) | goal mode
  step   43 | (2.9218, 2.4862) | goal mode
  step   44 | (2.9868, 2.5121) | goal mode
  step   45 | (2.9868, 2.5121) | sensed obstacle(s) [11]
  step   46 | (3.0518, 2.5381) | goal mode
  step   47 | (3.1169, 2.5640) | goal mode
  step   48 | (3.1819, 2.5899) | goal mode
  step   49 | (3.2469, 2.6158) | goal mode
  step   50 | (3.2469, 2.6158) | sensed obstacle(s) [19]
  step   51 | (3.3119, 2.6417) | goal mode
  step   52 | (3.3770, 2.6677) | goal mode
  step   53 | (3.4420, 2.6936) | goal mode
  step   54 | (3.5070, 2.7195) | goal mode
  step   55 | (3.5720, 2.7454) | goal mode
  step   56 | (3.6371, 2.7713) | goal mode
  step   57 | (3.7021, 2.7973) | goal mode
  step   58 | (3.7671, 2.8232) | goal mode
  step   59 | (3.8321, 2.8491) | goal mode
  step   60 | (3.8972, 2.8750) | goal mode
  step   61 | (3.9622, 2.9009) | goal mode
  step   62 | (4.0272, 2.9269) | goal mode
  step   63 | (4.0922, 2.9528) | goal mode
  step   64 | (4.1573, 2.9787) | goal mode
  step   65 | (4.2223, 3.0046) | goal mode
  step   66 | (4.2873, 3.0305) | goal mode
  step   67 | (4.3523, 3.0565) | goal mode
  step   68 | (4.4174, 3.0824) | goal mode
  step   69 | (4.4824, 3.1083) | goal mode
  step   70 | (4.5474, 3.1342) | goal mode
  step   71 | (4.6124, 3.1601) | goal mode
  step   72 | (4.6774, 3.1861) | goal mode
  step   73 | (4.7294, 3.2068) | goal reached

Family: collision_required
Result: SUCCESS  (97 steps)
--------------------------------------------------
  step    0 | (3.7790, 5.4261) | start
  step    1 | (3.8045, 5.3609) | goal mode
  step    2 | (3.8301, 5.2958) | goal mode
  step    3 | (3.8557, 5.2306) | goal mode
  step    4 | (3.8813, 5.1654) | goal mode
  step    5 | (3.9068, 5.1003) | goal mode
  step    6 | (3.9324, 5.0351) | goal mode
  step    7 | (3.9580, 4.9700) | goal mode
  step    8 | (3.9835, 4.9048) | goal mode
  step    9 | (4.0091, 4.8396) | goal mode
  step   10 | (4.0347, 4.7745) | goal mode
  step   11 | (4.0603, 4.7093) | goal mode
  step   12 | (4.0858, 4.6442) | goal mode
  step   13 | (4.1114, 4.5790) | goal mode
  step   14 | (4.1370, 4.5138) | goal mode
  step   15 | (4.1625, 4.4487) | goal mode
