Bug1 Simulation Log
Scene: 002   Date: 2026-04-15 00:44:31
======================================================================

Family: sparse
Result: SUCCESS  (127 steps)
--------------------------------------------------
  step    0 | (5.3258, 5.2839) | start
  step    1 | (5.2753, 5.2355) | goal mode
  step    2 | (5.2247, 5.1870) | goal mode
  step    3 | (5.1742, 5.1385) | goal mode
  step    4 | (5.1237, 5.0901) | goal mode
  step    5 | (5.1237, 5.0901) | sensed obstacle(s) [7]
  step    6 | (5.0732, 5.0416) | goal mode
  step    7 | (5.0227, 4.9932) | goal mode
  step    8 | (4.9722, 4.9447) | goal mode
  step    9 | (4.9217, 4.8962) | goal mode
  step   10 | (4.8712, 4.8478) | goal mode
  step   11 | (4.8206, 4.7993) | goal mode
  step   12 | (4.7701, 4.7508) | goal mode
  step   13 | (4.7701, 4.7508) | obstacle hit - switching to boundary mode
  step   14 | (4.8186, 4.7003) | boundary mode
  step   15 | (4.8751, 4.6590) | boundary mode
  step   16 | (4.9236, 4.6085) | boundary mode
  step   17 | (4.9720, 4.5580) | boundary mode
  step   18 | (4.9720, 4.5580) | sensed obstacle(s) [6]
  step   19 | (5.0110, 4.4998) | boundary mode
  step   20 | (5.0499, 4.4417) | boundary mode
  step   21 | (5.0666, 4.3737) | boundary mode
  step   22 | (5.0833, 4.3057) | boundary mode
  step   23 | (5.1001, 4.2377) | boundary mode
  step   24 | (5.0925, 4.1681) | boundary mode
  step   25 | (5.0850, 4.0985) | boundary mode
  step   26 | (5.0655, 4.0313) | boundary mode
  step   27 | (5.0655, 4.0313) | sensed obstacle(s) [4]
  step   28 | (5.0459, 3.9641) | boundary mode
  step   29 | (5.0046, 3.9076) | boundary mode
  step   30 | (4.9633, 3.8511) | boundary mode
  step   31 | (4.9220, 3.7946) | boundary mode
  step   32 | (4.9220, 3.7946) | clear path to goal - resuming goal mode
  step   33 | (4.8645, 3.7546) | goal mode
  step   34 | (4.8070, 3.7146) | goal mode
  step   35 | (4.7496, 3.6746) | goal mode
  step   36 | (4.6921, 3.6347) | goal mode
  step   37 | (4.6347, 3.5947) | goal mode
  step   38 | (4.5772, 3.5547) | goal mode
  step   39 | (4.5198, 3.5147) | goal mode
  step   40 | (4.4623, 3.4747) | goal mode
  step   41 | (4.4049, 3.4347) | goal mode
  step   42 | (4.3474, 3.3947) | goal mode
  step   43 | (4.2900, 3.3547) | goal mode
  step   44 | (4.2325, 3.3148) | goal mode
  step   45 | (4.1751, 3.2748) | goal mode
  step   46 | (4.1176, 3.2348) | goal mode
  step   47 | (4.0601, 3.1948) | goal mode
