Bug2 Simulation Log
Scene: 098   Date: 2026-04-15 14:27:29
======================================================================

Family: sparse
Result: SUCCESS  (105 steps)
--------------------------------------------------
  step    0 | (2.2676, 4.6889) | start
  step    1 | (2.2676, 4.6889) | sensed [1, 7, 13]
  step    2 | (2.2673, 4.6189) | goal mode
  step    3 | (2.2669, 4.5489) | goal mode
  step    4 | (2.2665, 4.4789) | goal mode
  step    5 | (2.2662, 4.4089) | goal mode
  step    6 | (2.2658, 4.3389) | goal mode
  step    7 | (2.2658, 4.3389) | obstacle hit (d=3.59) — boundary mode
  step    8 | (2.3348, 4.3507) | boundary mode
  step    9 | (2.4038, 4.3625) | boundary mode
  step   10 | (2.4728, 4.3743) | boundary mode
  step   11 | (2.5417, 4.3618) | boundary mode
  step   12 | (2.6106, 4.3493) | boundary mode
  step   13 | (2.6794, 4.3368) | boundary mode
  step   14 | (2.7399, 4.3015) | boundary mode
  step   15 | (2.8003, 4.2661) | boundary mode
  step   16 | (2.8537, 4.2209) | boundary mode
  step   17 | (2.9071, 4.1756) | boundary mode
  step   18 | (2.9071, 4.1756) | sensed [9]
  step   19 | (2.9418, 4.1148) | boundary mode
  step   20 | (2.9764, 4.0540) | boundary mode
  step   21 | (3.0111, 3.9932) | boundary mode
  step   22 | (3.0229, 3.9242) | boundary mode
  step   23 | (3.0347, 3.8552) | boundary mode
  step   24 | (3.0465, 3.7862) | boundary mode
  step   25 | (3.0340, 3.7173) | boundary mode
  step   26 | (3.0340, 3.7173) | sensed [8]
  step   27 | (3.0215, 3.6484) | boundary mode
  step   28 | (3.0905, 3.6602) | boundary mode
  step   29 | (3.1513, 3.6949) | boundary mode
  step   30 | (3.2203, 3.7067) | boundary mode
  step   31 | (3.2893, 3.7185) | boundary mode
  step   32 | (3.3593, 3.7182) | boundary mode
  step   33 | (3.4282, 3.7056) | boundary mode
  step   34 | (3.4970, 3.6931) | boundary mode
  step   35 | (3.5575, 3.6578) | boundary mode
  step   36 | (3.6179, 3.6225) | boundary mode
  step   37 | (3.6713, 3.5772) | boundary mode
  step   38 | (3.7160, 3.5234) | boundary mode
  step   39 | (3.7507, 3.4626) | boundary mode
  step   40 | (3.7854, 3.4018) | boundary mode
  step   41 | (3.7972, 3.3328) | boundary mode
  step   42 | (3.8090, 3.2638) | boundary mode
  step   43 | (3.8086, 3.1938) | boundary mode
  step   44 | (3.8082, 3.1238) | boundary mode
  step   45 | (3.7840, 3.0581) | boundary mode
  step   46 | (3.7597, 2.9925) | boundary mode
  step   47 | (3.7244, 2.9320) | boundary mode
  step   48 | (3.6791, 2.8786) | boundary mode
  step   49 | (3.6791, 2.8786) | sensed [3]
  step   50 | (3.6252, 2.8339) | boundary mode
  step   51 | (3.5644, 2.7992) | boundary mode
  step   52 | (3.5036, 2.7645) | boundary mode
  step   53 | (3.4377, 2.7409) | boundary mode
  step   54 | (3.3687, 2.7291) | boundary mode
  step   55 | (3.2987, 2.7295) | boundary mode
  step   56 | (3.2299, 2.7420) | boundary mode
  step   57 | (3.1610, 2.7545) | boundary mode
  step   58 | (3.0953, 2.7788) | boundary mode
  step   59 | (3.0349, 2.8141) | boundary mode
  step   60 | (2.9690, 2.7905) | boundary mode
  step   61 | (2.9237, 2.7372) | boundary mode
  step   62 | (2.8699, 2.6924) | boundary mode
  step   63 | (2.8091, 2.6578) | boundary mode
  step   64 | (2.7401, 2.6460) | boundary mode
  step   65 | (2.6701, 2.6463) | boundary mode
  step   66 | (2.6012, 2.6588) | boundary mode
  step   67 | (2.5407, 2.6942) | boundary mode
  step   68 | (2.4874, 2.7394) | boundary mode
  step   69 | (2.4426, 2.7933) | boundary mode
  step   70 | (2.4080, 2.8541) | boundary mode
  step   71 | (2.4080, 2.8541) | m-line crossed (d=2.11 < hit=3.59) — goal mode
