Bug1 Simulation Log
Scene: 022   Date: 2026-04-15 00:45:49
======================================================================

Family: sparse
Result: SUCCESS  (94 steps)
--------------------------------------------------
  step    0 | (5.3369, 1.1659) | start
  step    1 | (5.2853, 1.2132) | goal mode
  step    2 | (5.2338, 1.2606) | goal mode
  step    3 | (5.1822, 1.3079) | goal mode
  step    4 | (5.1306, 1.3553) | goal mode
  step    5 | (5.0791, 1.4026) | goal mode
  step    6 | (5.0275, 1.4500) | goal mode
  step    7 | (4.9760, 1.4973) | goal mode
  step    8 | (4.9244, 1.5447) | goal mode
  step    9 | (4.8728, 1.5920) | goal mode
  step   10 | (4.8213, 1.6394) | goal mode
  step   11 | (4.7697, 1.6867) | goal mode
  step   12 | (4.7182, 1.7340) | goal mode
  step   13 | (4.6666, 1.7814) | goal mode
  step   14 | (4.6151, 1.8287) | goal mode
  step   15 | (4.5635, 1.8761) | goal mode
  step   16 | (4.5119, 1.9234) | goal mode
  step   17 | (4.4604, 1.9708) | goal mode
  step   18 | (4.4088, 2.0181) | goal mode
  step   19 | (4.3573, 2.0655) | goal mode
  step   20 | (4.3057, 2.1128) | goal mode
  step   21 | (4.2541, 2.1602) | goal mode
  step   22 | (4.2026, 2.2075) | goal mode
  step   23 | (4.1510, 2.2549) | goal mode
  step   24 | (4.0995, 2.3022) | goal mode
  step   25 | (4.0479, 2.3496) | goal mode
  step   26 | (3.9964, 2.3969) | goal mode
  step   27 | (3.9448, 2.4443) | goal mode
  step   28 | (3.8932, 2.4916) | goal mode
  step   29 | (3.8417, 2.5389) | goal mode
  step   30 | (3.7901, 2.5863) | goal mode
  step   31 | (3.7386, 2.6336) | goal mode
  step   32 | (3.6870, 2.6810) | goal mode
  step   33 | (3.6354, 2.7283) | goal mode
  step   34 | (3.5839, 2.7757) | goal mode
  step   35 | (3.5323, 2.8230) | goal mode
  step   36 | (3.4808, 2.8704) | goal mode
  step   37 | (3.4292, 2.9177) | goal mode
  step   38 | (3.3777, 2.9651) | goal mode
  step   39 | (3.3261, 3.0124) | goal mode
  step   40 | (3.2745, 3.0598) | goal mode
  step   41 | (3.2230, 3.1071) | goal mode
  step   42 | (3.1714, 3.1545) | goal mode
  step   43 | (3.1199, 3.2018) | goal mode
  step   44 | (3.0683, 3.2492) | goal mode
  step   45 | (3.0168, 3.2965) | goal mode
  step   46 | (2.9652, 3.3439) | goal mode
  step   47 | (2.9136, 3.3912) | goal mode
  step   48 | (2.8621, 3.4385) | goal mode
  step   49 | (2.8105, 3.4859) | goal mode
  step   50 | (2.7590, 3.5332) | goal mode
  step   51 | (2.7074, 3.5806) | goal mode
  step   52 | (2.6558, 3.6279) | goal mode
  step   53 | (2.6043, 3.6753) | goal mode
  step   54 | (2.5527, 3.7226) | goal mode
  step   55 | (2.5012, 3.7700) | goal mode
  step   56 | (2.4496, 3.8173) | goal mode
  step   57 | (2.3981, 3.8647) | goal mode
  step   58 | (2.3465, 3.9120) | goal mode
  step   59 | (2.2949, 3.9594) | goal mode
  step   60 | (2.2434, 4.0067) | goal mode
  step   61 | (2.1918, 4.0541) | goal mode
  step   62 | (2.1403, 4.1014) | goal mode
  step   63 | (2.0887, 4.1488) | goal mode
  step   64 | (2.0371, 4.1961) | goal mode
  step   65 | (1.9856, 4.2434) | goal mode
  step   66 | (1.9340, 4.2908) | goal mode
  step   67 | (1.8825, 4.3381) | goal mode
