Bug2 Simulation Log
Scene: 076   Date: 2026-04-15 14:26:33
======================================================================

Family: sparse
Result: SUCCESS  (88 steps)
--------------------------------------------------
  step    0 | (0.9590, 3.6869) | start
  step    1 | (0.9590, 3.6869) | sensed [10]
  step    2 | (1.0130, 3.6425) | goal mode
  step    3 | (1.0671, 3.5980) | goal mode
  step    4 | (1.1211, 3.5535) | goal mode
  step    5 | (1.1752, 3.5090) | goal mode
  step    6 | (1.1752, 3.5090) | sensed [8]
  step    7 | (1.2292, 3.4645) | goal mode
  step    8 | (1.2833, 3.4200) | goal mode
  step    9 | (1.3373, 3.3755) | goal mode
  step   10 | (1.3913, 3.3310) | goal mode
  step   11 | (1.4454, 3.2865) | goal mode
  step   12 | (1.4994, 3.2421) | goal mode
  step   13 | (1.5535, 3.1976) | goal mode
  step   14 | (1.6075, 3.1531) | goal mode
  step   15 | (1.6616, 3.1086) | goal mode
  step   16 | (1.7156, 3.0641) | goal mode
  step   17 | (1.7697, 3.0196) | goal mode
  step   18 | (1.8237, 2.9751) | goal mode
  step   19 | (1.8777, 2.9306) | goal mode
  step   20 | (1.9318, 2.8861) | goal mode
  step   21 | (1.9858, 2.8417) | goal mode
  step   22 | (2.0399, 2.7972) | goal mode
  step   23 | (2.0939, 2.7527) | goal mode
  step   24 | (2.1480, 2.7082) | goal mode
  step   25 | (2.2020, 2.6637) | goal mode
  step   26 | (2.2560, 2.6192) | goal mode
  step   27 | (2.3101, 2.5747) | goal mode
  step   28 | (2.3101, 2.5747) | sensed [5]
  step   29 | (2.3641, 2.5302) | goal mode
  step   30 | (2.4182, 2.4857) | goal mode
  step   31 | (2.4722, 2.4413) | goal mode
  step   32 | (2.5263, 2.3968) | goal mode
  step   33 | (2.5803, 2.3523) | goal mode
  step   34 | (2.6344, 2.3078) | goal mode
  step   35 | (2.6884, 2.2633) | goal mode
  step   36 | (2.7424, 2.2188) | goal mode
  step   37 | (2.7965, 2.1743) | goal mode
  step   38 | (2.8505, 2.1298) | goal mode
  step   39 | (2.8505, 2.1298) | obstacle hit (d=1.94) — boundary mode
  step   40 | (2.8150, 2.1901) | boundary mode
  step   41 | (2.8022, 2.2589) | boundary mode
  step   42 | (2.7894, 2.3278) | boundary mode
  step   43 | (2.8127, 2.3938) | boundary mode
  step   44 | (2.8360, 2.4598) | boundary mode
  step   45 | (2.8704, 2.5207) | boundary mode
  step   46 | (2.9236, 2.5662) | boundary mode
  step   47 | (2.9839, 2.6018) | boundary mode
  step   48 | (3.0527, 2.6146) | boundary mode
  step   49 | (3.0527, 2.6146) | sensed [4]
  step   50 | (3.1216, 2.6274) | boundary mode
  step   51 | (3.1906, 2.6159) | boundary mode
  step   52 | (3.2566, 2.5926) | boundary mode
  step   53 | (3.3175, 2.5581) | boundary mode
  step   54 | (3.3630, 2.5049) | boundary mode
  step   55 | (3.4085, 2.4517) | boundary mode
  step   56 | (3.4331, 2.3862) | boundary mode
  step   57 | (3.4459, 2.3174) | boundary mode
  step   58 | (3.4344, 2.2483) | boundary mode
  step   59 | (3.4229, 2.1793) | boundary mode
  step   60 | (3.3885, 2.1183) | boundary mode
  step   61 | (3.3440, 2.0643) | boundary mode
  step   62 | (3.2837, 2.0287) | boundary mode
  step   63 | (3.2234, 1.9931) | boundary mode
  step   64 | (3.2234, 1.9931) | m-line crossed (d=1.57 < hit=1.94) — goal mode
  step   65 | (3.2735, 1.9443) | goal mode
  step   66 | (3.3237, 1.8954) | goal mode
  step   67 | (3.3738, 1.8466) | goal mode
  step   68 | (3.4239, 1.7977) | goal mode
  step   69 | (3.4740, 1.7489) | goal mode
  step   70 | (3.5242, 1.7000) | goal mode
  step   71 | (3.5743, 1.6511) | goal mode
  step   72 | (3.6244, 1.6023) | goal mode
  step   73 | (3.6746, 1.5534) | goal mode
  step   74 | (3.7247, 1.5046) | goal mode
  step   75 | (3.7748, 1.4557) | goal mode
  step   76 | (3.8250, 1.4069) | goal mode
  step   77 | (3.8751, 1.3580) | goal mode
  step   78 | (3.9252, 1.3091) | goal mode
  step   79 | (3.9753, 1.2603) | goal mode
  step   80 | (4.0255, 1.2114) | goal mode
  step   81 | (4.0756, 1.1626) | goal mode
  step   82 | (4.1257, 1.1137) | goal mode
  step   83 | (4.1759, 1.0649) | goal mode
  step   84 | (4.2260, 1.0160) | goal mode
  step   85 | (4.2761, 0.9671) | goal mode
  step   86 | (4.3263, 0.9183) | goal mode
  step   87 | (4.3479, 0.8972) | goal reached

Family: cluttered
Result: SUCCESS  (93 steps)
--------------------------------------------------
  step    0 | (0.9590, 3.6869) | start
  step    1 | (0.9590, 3.6869) | sensed [10]
  step    2 | (1.0130, 3.6425) | goal mode
  step    3 | (1.0671, 3.5980) | goal mode
  step    4 | (1.1211, 3.5535) | goal mode
  step    5 | (1.1752, 3.5090) | goal mode
  step    6 | (1.1752, 3.5090) | sensed [8, 14]
  step    7 | (1.2292, 3.4645) | goal mode
  step    8 | (1.2833, 3.4200) | goal mode
  step    9 | (1.3373, 3.3755) | goal mode
  step   10 | (1.3913, 3.3310) | goal mode
  step   11 | (1.4454, 3.2865) | goal mode
  step   12 | (1.4994, 3.2421) | goal mode
  step   13 | (1.5535, 3.1976) | goal mode
  step   14 | (1.6075, 3.1531) | goal mode
  step   15 | (1.6616, 3.1086) | goal mode
  step   16 | (1.7156, 3.0641) | goal mode
  step   17 | (1.7697, 3.0196) | goal mode
  step   18 | (1.8237, 2.9751) | goal mode
  step   19 | (1.8777, 2.9306) | goal mode
  step   20 | (1.9318, 2.8861) | goal mode
  step   21 | (1.9858, 2.8417) | goal mode
  step   22 | (2.0399, 2.7972) | goal mode
  step   23 | (2.0939, 2.7527) | goal mode
  step   24 | (2.0939, 2.7527) | sensed [22]
  step   25 | (2.1480, 2.7082) | goal mode
  step   26 | (2.2020, 2.6637) | goal mode
  step   27 | (2.2560, 2.6192) | goal mode
  step   28 | (2.3101, 2.5747) | goal mode
  step   29 | (2.3101, 2.5747) | sensed [5]
  step   30 | (2.3641, 2.5302) | goal mode
  step   31 | (2.4182, 2.4857) | goal mode
  step   32 | (2.4722, 2.4413) | goal mode
  step   33 | (2.5263, 2.3968) | goal mode
  step   34 | (2.5263, 2.3968) | sensed [20]
  step   35 | (2.5803, 2.3523) | goal mode
  step   36 | (2.6344, 2.3078) | goal mode
  step   37 | (2.6884, 2.2633) | goal mode
  step   38 | (2.6884, 2.2633) | sensed [31]
  step   39 | (2.7424, 2.2188) | goal mode
  step   40 | (2.7965, 2.1743) | goal mode
  step   41 | (2.8505, 2.1298) | goal mode
  step   42 | (2.8505, 2.1298) | obstacle hit (d=1.94) — boundary mode
  step   43 | (2.8150, 2.1901) | boundary mode
  step   44 | (2.8022, 2.2589) | boundary mode
  step   45 | (2.7894, 2.3278) | boundary mode
  step   46 | (2.8127, 2.3938) | boundary mode
  step   47 | (2.8360, 2.4598) | boundary mode
  step   48 | (2.8704, 2.5207) | boundary mode
  step   49 | (2.9236, 2.5662) | boundary mode
  step   50 | (2.9839, 2.6018) | boundary mode
  step   51 | (3.0527, 2.6146) | boundary mode
  step   52 | (3.0527, 2.6146) | sensed [4]
  step   53 | (3.1216, 2.6274) | boundary mode
  step   54 | (3.1906, 2.6159) | boundary mode
  step   55 | (3.2566, 2.5926) | boundary mode
  step   56 | (3.3175, 2.5581) | boundary mode
  step   57 | (3.3630, 2.5049) | boundary mode
  step   58 | (3.4085, 2.4517) | boundary mode
  step   59 | (3.4331, 2.3862) | boundary mode
  step   60 | (3.4459, 2.3174) | boundary mode
  step   61 | (3.5069, 2.2829) | boundary mode
  step   62 | (3.5759, 2.2714) | boundary mode
  step   63 | (3.6449, 2.2599) | boundary mode
  step   64 | (3.7059, 2.2255) | boundary mode
  step   65 | (3.7599, 2.1810) | boundary mode
  step   66 | (3.7955, 2.1207) | boundary mode
  step   67 | (3.8311, 2.0604) | boundary mode
  step   68 | (3.8439, 1.9916) | boundary mode
  step   69 | (3.8439, 1.9916) | sensed [18]
  step   70 | (3.8567, 1.9228) | boundary mode
  step   71 | (3.8452, 1.8537) | boundary mode
  step   72 | (3.8219, 1.7877) | boundary mode
  step   73 | (3.7874, 1.7268) | boundary mode
  step   74 | (3.7342, 1.6813) | boundary mode
  step   75 | (3.6810, 1.6358) | boundary mode
  step   76 | (3.6810, 1.6358) | m-line crossed (d=1.00 < hit=1.94) — goal mode
  step   77 | (3.7279, 1.5838) | goal mode
  step   78 | (3.7749, 1.5319) | goal mode
  step   79 | (3.8218, 1.4799) | goal mode
  step   80 | (3.8687, 1.4280) | goal mode
  step   81 | (3.9156, 1.3760) | goal mode
  step   82 | (3.9156, 1.3760) | sensed [25]
  step   83 | (3.9625, 1.3241) | goal mode
  step   84 | (4.0094, 1.2721) | goal mode
  step   85 | (4.0563, 1.2201) | goal mode
  step   86 | (4.1032, 1.1682) | goal mode
  step   87 | (4.1501, 1.1162) | goal mode
  step   88 | (4.1970, 1.0643) | goal mode
  step   89 | (4.2440, 1.0123) | goal mode
  step   90 | (4.2909, 0.9604) | goal mode
  step   91 | (4.3378, 0.9084) | goal mode
  step   92 | (4.3479, 0.8972) | goal reached

Family: collision_required
Result: SUCCESS  (89 steps)
--------------------------------------------------
  step    0 | (0.9590, 3.6869) | start
  step    1 | (0.9590, 3.6869) | sensed [10]
  step    2 | (1.0130, 3.6425) | goal mode
  step    3 | (1.0671, 3.5980) | goal mode
  step    4 | (1.1211, 3.5535) | goal mode
  step    5 | (1.1752, 3.5090) | goal mode
  step    6 | (1.2292, 3.4645) | goal mode
  step    7 | (1.2833, 3.4200) | goal mode
  step    8 | (1.3373, 3.3755) | goal mode
  step    9 | (1.3913, 3.3310) | goal mode
  step   10 | (1.4454, 3.2865) | goal mode
  step   11 | (1.4994, 3.2421) | goal mode
  step   12 | (1.5535, 3.1976) | goal mode
  step   13 | (1.6075, 3.1531) | goal mode
  step   14 | (1.6616, 3.1086) | goal mode
  step   15 | (1.7156, 3.0641) | goal mode
  step   16 | (1.7697, 3.0196) | goal mode
  step   17 | (1.8237, 2.9751) | goal mode
  step   18 | (1.8777, 2.9306) | goal mode
  step   19 | (1.8777, 2.9306) | sensed [1]
  step   20 | (1.9318, 2.8861) | goal mode
  step   21 | (1.9858, 2.8417) | goal mode
  step   22 | (2.0399, 2.7972) | goal mode
  step   23 | (2.0939, 2.7527) | goal mode
  step   24 | (2.1480, 2.7082) | goal mode
  step   25 | (2.2020, 2.6637) | goal mode
  step   26 | (2.2560, 2.6192) | goal mode
  step   27 | (2.3101, 2.5747) | goal mode
  step   28 | (2.3101, 2.5747) | sensed [0]
  step   29 | (2.3101, 2.5747) | obstacle hit (d=2.64) — boundary mode
  step   30 | (2.3334, 2.6407) | boundary mode
  step   31 | (2.3567, 2.7067) | boundary mode
  step   32 | (2.3801, 2.7727) | boundary mode
  step   33 | (2.3801, 2.7727) | sensed [9]
  step   34 | (2.4145, 2.8337) | boundary mode
  step   35 | (2.4590, 2.8877) | boundary mode
  step   36 | (2.5122, 2.9332) | boundary mode
  step   37 | (2.5725, 2.9688) | boundary mode
  step   38 | (2.6327, 3.0044) | boundary mode
  step   39 | (2.6327, 3.0044) | sensed [2]
  step   40 | (2.6983, 3.0289) | boundary mode
  step   41 | (2.7671, 3.0417) | boundary mode
  step   42 | (2.8359, 3.0545) | boundary mode
  step   43 | (2.9050, 3.0430) | boundary mode
  step   44 | (2.9740, 3.0315) | boundary mode
  step   45 | (3.0400, 3.0082) | boundary mode
  step   46 | (3.1060, 2.9849) | boundary mode
  step   47 | (3.1601, 2.9404) | boundary mode
  step   48 | (3.2141, 2.8959) | boundary mode
  step   49 | (3.2596, 2.8427) | boundary mode
  step   50 | (3.2952, 2.7824) | boundary mode
  step   51 | (3.3308, 2.7221) | boundary mode
  step   52 | (3.3553, 2.6566) | boundary mode
  step   53 | (3.3681, 2.5877) | boundary mode
  step   54 | (3.3688, 2.5177) | boundary mode
  step   55 | (3.3694, 2.4477) | boundary mode
  step   56 | (3.3461, 2.3817) | boundary mode
  step   57 | (3.3228, 2.3157) | boundary mode
  step   58 | (3.2995, 2.2497) | boundary mode
  step   59 | (3.2550, 2.1957) | boundary mode
  step   60 | (3.2105, 2.1417) | boundary mode
  step   61 | (3.1573, 2.0962) | boundary mode
  step   62 | (3.0970, 2.0606) | boundary mode
  step   63 | (3.0970, 2.0606) | m-line crossed (d=1.71 < hit=2.64) — goal mode
  step   64 | (3.1483, 2.0129) | goal mode
  step   65 | (3.1995, 1.9652) | goal mode
  step   66 | (3.2508, 1.9176) | goal mode
  step   67 | (3.3020, 1.8699) | goal mode
  step   68 | (3.3533, 1.8222) | goal mode
  step   69 | (3.4046, 1.7746) | goal mode
  step   70 | (3.4558, 1.7269) | goal mode
  step   71 | (3.5071, 1.6792) | goal mode
  step   72 | (3.5583, 1.6315) | goal mode
  step   73 | (3.6096, 1.5839) | goal mode
  step   74 | (3.6608, 1.5362) | goal mode
  step   75 | (3.7121, 1.4885) | goal mode
  step   76 | (3.7634, 1.4408) | goal mode
  step   77 | (3.8146, 1.3932) | goal mode
  step   78 | (3.8659, 1.3455) | goal mode
  step   79 | (3.9171, 1.2978) | goal mode
  step   80 | (3.9684, 1.2502) | goal mode
  step   81 | (4.0196, 1.2025) | goal mode
  step   82 | (4.0709, 1.1548) | goal mode
  step   83 | (4.1222, 1.1071) | goal mode
  step   84 | (4.1734, 1.0595) | goal mode
  step   85 | (4.2247, 1.0118) | goal mode
  step   86 | (4.2759, 0.9641) | goal mode
  step   87 | (4.3272, 0.9165) | goal mode
  step   88 | (4.3479, 0.8972) | goal reached

Family: collision_shortcut
Result: SUCCESS  (148 steps)
--------------------------------------------------
  step    0 | (0.9590, 3.6869) | start
  step    1 | (0.9590, 3.6869) | sensed [12]
  step    2 | (1.0130, 3.6425) | goal mode
  step    3 | (1.0671, 3.5980) | goal mode
  step    4 | (1.1211, 3.5535) | goal mode
