Bug2 Simulation Log
Scene: 067   Date: 2026-04-15 14:25:46
======================================================================

Family: sparse
Result: SUCCESS  (87 steps)
--------------------------------------------------
  step    0 | (0.8314, 4.3566) | start
  step    1 | (0.8966, 4.3311) | goal mode
  step    2 | (0.9618, 4.3056) | goal mode
  step    3 | (1.0270, 4.2802) | goal mode
  step    4 | (1.0922, 4.2547) | goal mode
  step    5 | (1.1574, 4.2292) | goal mode
  step    6 | (1.2226, 4.2037) | goal mode
  step    7 | (1.2878, 4.1782) | goal mode
  step    8 | (1.3530, 4.1527) | goal mode
  step    9 | (1.4182, 4.1273) | goal mode
  step   10 | (1.4834, 4.1018) | goal mode
  step   11 | (1.5486, 4.0763) | goal mode
  step   12 | (1.6138, 4.0508) | goal mode
  step   13 | (1.6790, 4.0253) | goal mode
  step   14 | (1.6790, 4.0253) | sensed [5]
  step   15 | (1.7442, 3.9999) | goal mode
  step   16 | (1.8094, 3.9744) | goal mode
  step   17 | (1.8746, 3.9489) | goal mode
  step   18 | (1.8746, 3.9489) | sensed [3]
  step   19 | (1.9398, 3.9234) | goal mode
  step   20 | (2.0050, 3.8979) | goal mode
  step   21 | (2.0702, 3.8724) | goal mode
  step   22 | (2.1354, 3.8470) | goal mode
  step   23 | (2.2006, 3.8215) | goal mode
  step   24 | (2.2658, 3.7960) | goal mode
  step   25 | (2.3310, 3.7705) | goal mode
  step   26 | (2.3962, 3.7450) | goal mode
  step   27 | (2.4614, 3.7196) | goal mode
  step   28 | (2.5266, 3.6941) | goal mode
  step   29 | (2.5918, 3.6686) | goal mode
  step   30 | (2.6570, 3.6431) | goal mode
  step   31 | (2.7222, 3.6176) | goal mode
  step   32 | (2.7874, 3.5921) | goal mode
  step   33 | (2.8526, 3.5667) | goal mode
  step   34 | (2.9178, 3.5412) | goal mode
  step   35 | (2.9830, 3.5157) | goal mode
  step   36 | (3.0481, 3.4902) | goal mode
  step   37 | (3.1133, 3.4647) | goal mode
  step   38 | (3.1785, 3.4392) | goal mode
  step   39 | (3.2437, 3.4138) | goal mode
  step   40 | (3.3089, 3.3883) | goal mode
  step   41 | (3.3741, 3.3628) | goal mode
  step   42 | (3.3741, 3.3628) | sensed [10]
  step   43 | (3.4393, 3.3373) | goal mode
  step   44 | (3.5045, 3.3118) | goal mode
  step   45 | (3.5697, 3.2864) | goal mode
  step   46 | (3.6349, 3.2609) | goal mode
  step   47 | (3.7001, 3.2354) | goal mode
  step   48 | (3.7653, 3.2099) | goal mode
  step   49 | (3.8305, 3.1844) | goal mode
  step   50 | (3.8305, 3.1844) | obstacle hit (d=1.69) — boundary mode
  step   51 | (3.8443, 3.2531) | boundary mode
  step   52 | (3.8698, 3.3183) | boundary mode
  step   53 | (3.8953, 3.3835) | boundary mode
  step   54 | (3.9317, 3.4432) | boundary mode
  step   55 | (3.9779, 3.4958) | boundary mode
  step   56 | (4.0326, 3.5395) | boundary mode
  step   57 | (4.0940, 3.5731) | boundary mode
  step   58 | (4.1603, 3.5955) | boundary mode
  step   59 | (4.2295, 3.6060) | boundary mode
  step   60 | (4.2987, 3.6165) | boundary mode
  step   61 | (4.3674, 3.6027) | boundary mode
  step   62 | (4.4360, 3.5890) | boundary mode
  step   63 | (4.4958, 3.5526) | boundary mode
  step   64 | (4.5556, 3.5161) | boundary mode
  step   65 | (4.6081, 3.4699) | boundary mode
  step   66 | (4.6518, 3.4152) | boundary mode
  step   67 | (4.6854, 3.3538) | boundary mode
  step   68 | (4.7190, 3.2924) | boundary mode
  step   69 | (4.7295, 3.2232) | boundary mode
  step   70 | (4.7278, 3.1532) | boundary mode
  step   71 | (4.7262, 3.0832) | boundary mode
  step   72 | (4.7007, 3.0180) | boundary mode
  step   73 | (4.6752, 2.9528) | boundary mode
  step   74 | (4.6752, 2.9528) | m-line crossed (d=0.83 < hit=1.69) — goal mode
  step   75 | (4.7372, 2.9203) | goal mode
  step   76 | (4.7992, 2.8877) | goal mode
  step   77 | (4.8611, 2.8551) | goal mode
  step   78 | (4.9231, 2.8226) | goal mode
  step   79 | (4.9851, 2.7900) | goal mode
  step   80 | (5.0470, 2.7575) | goal mode
  step   81 | (5.1090, 2.7249) | goal mode
  step   82 | (5.1710, 2.6924) | goal mode
  step   83 | (5.2329, 2.6598) | goal mode
  step   84 | (5.2949, 2.6272) | goal mode
  step   85 | (5.3569, 2.5947) | goal mode
  step   86 | (5.4077, 2.5680) | goal reached

Family: cluttered
Result: SUCCESS  (142 steps)
--------------------------------------------------
  step    0 | (0.8314, 4.3566) | start
  step    1 | (0.8314, 4.3566) | sensed [16, 28]
  step    2 | (0.8966, 4.3311) | goal mode
  step    3 | (0.8966, 4.3311) | sensed [35]
  step    4 | (0.9618, 4.3056) | goal mode
  step    5 | (1.0270, 4.2802) | goal mode
  step    6 | (1.0922, 4.2547) | goal mode
  step    7 | (1.1574, 4.2292) | goal mode
  step    8 | (1.2226, 4.2037) | goal mode
  step    9 | (1.2878, 4.1782) | goal mode
  step   10 | (1.3530, 4.1527) | goal mode
  step   11 | (1.3530, 4.1527) | obstacle hit (d=4.35) — boundary mode
  step   12 | (1.4230, 4.1511) | boundary mode
  step   13 | (1.4777, 4.1948) | boundary mode
  step   14 | (1.4777, 4.1948) | sensed [0]
  step   15 | (1.5391, 4.2284) | boundary mode
  step   16 | (1.5391, 4.2284) | m-line crossed (d=4.21 < hit=4.35) — goal mode
  step   17 | (1.5391, 4.2284) | obstacle hit (d=4.21) — boundary mode
  step   18 | (1.6016, 4.2599) | boundary mode
  step   19 | (1.6686, 4.2801) | boundary mode
  step   20 | (1.6686, 4.2801) | sensed [5]
  step   21 | (1.7381, 4.2884) | boundary mode
  step   22 | (1.8080, 4.2844) | boundary mode
  step   23 | (1.8762, 4.2684) | boundary mode
  step   24 | (1.9443, 4.2524) | boundary mode
  step   25 | (2.0086, 4.2248) | boundary mode
  step   26 | (2.0672, 4.1864) | boundary mode
  step   27 | (2.1182, 4.1385) | boundary mode
  step   28 | (2.1692, 4.0905) | boundary mode
  step   29 | (2.1692, 4.0905) | sensed [3]
  step   30 | (2.2111, 4.0345) | boundary mode
  step   31 | (2.2426, 3.9720) | boundary mode
  step   32 | (2.2628, 3.9049) | boundary mode
  step   33 | (2.2628, 3.9049) | m-line crossed (d=3.42 < hit=4.21) — goal mode
  step   34 | (2.3272, 3.8776) | goal mode
  step   35 | (2.3272, 3.8776) | obstacle hit (d=3.35) — boundary mode
  step   36 | (2.2955, 3.9399) | boundary mode
  step   37 | (2.2638, 4.0023) | boundary mode
  step   38 | (2.2320, 4.0647) | boundary mode
  step   39 | (2.2116, 4.1317) | boundary mode
  step   40 | (2.2031, 4.2012) | boundary mode
  step   41 | (2.2068, 4.2711) | boundary mode
  step   42 | (2.2105, 4.3410) | boundary mode
  step   43 | (2.2263, 4.4092) | boundary mode
  step   44 | (2.2537, 4.4736) | boundary mode
  step   45 | (2.2918, 4.5323) | boundary mode
  step   46 | (2.3396, 4.5834) | boundary mode
  step   47 | (2.3874, 4.6346) | boundary mode
  step   48 | (2.4497, 4.6663) | boundary mode
  step   49 | (2.5121, 4.6981) | boundary mode
  step   50 | (2.5121, 4.6981) | sensed [33]
  step   51 | (2.5745, 4.7298) | boundary mode
  step   52 | (2.6440, 4.7383) | boundary mode
  step   53 | (2.6440, 4.7383) | sensed [7]
  step   54 | (2.7135, 4.7468) | boundary mode
  step   55 | (2.7834, 4.7431) | boundary mode
  step   56 | (2.8516, 4.7273) | boundary mode
  step   57 | (2.9160, 4.6999) | boundary mode
  step   58 | (2.9160, 4.6999) | sensed [6]
  step   59 | (2.9747, 4.6618) | boundary mode
  step   60 | (3.0334, 4.6236) | boundary mode
  step   61 | (3.0845, 4.5759) | boundary mode
  step   62 | (3.1266, 4.5199) | boundary mode
  step   63 | (3.1584, 4.4575) | boundary mode
  step   64 | (3.1901, 4.3952) | boundary mode
  step   65 | (3.1986, 4.3257) | boundary mode
  step   66 | (3.1986, 4.3257) | sensed [34]
  step   67 | (3.2071, 4.2562) | boundary mode
  step   68 | (3.2156, 4.1867) | boundary mode
  step   69 | (3.1998, 4.1185) | boundary mode
  step   70 | (3.1724, 4.0541) | boundary mode
  step   71 | (3.1451, 3.9897) | boundary mode
  step   72 | (3.1069, 3.9310) | boundary mode
  step   73 | (3.0591, 3.8798) | boundary mode
  step   74 | (3.0114, 3.8287) | boundary mode
  step   75 | (2.9490, 3.7969) | boundary mode
  step   76 | (2.8866, 3.7652) | boundary mode
  step   77 | (2.8196, 3.7447) | boundary mode
  step   78 | (2.7501, 3.7362) | boundary mode
  step   79 | (2.7501, 3.7362) | m-line crossed (d=2.90 < hit=3.35) — goal mode
  step   80 | (2.8142, 3.7081) | goal mode
  step   81 | (2.8783, 3.6799) | goal mode
  step   82 | (2.8783, 3.6799) | obstacle hit (d=2.76) — boundary mode
  step   83 | (2.9482, 3.6753) | boundary mode
  step   84 | (2.9966, 3.7259) | boundary mode
  step   85 | (3.0593, 3.7569) | boundary mode
  step   86 | (3.1265, 3.7765) | boundary mode
  step   87 | (3.1961, 3.7842) | boundary mode
  step   88 | (3.2657, 3.7918) | boundary mode
  step   89 | (3.3337, 3.7752) | boundary mode
  step   90 | (3.3978, 3.7470) | boundary mode
  step   91 | (3.4560, 3.7082) | boundary mode
  step   92 | (3.5066, 3.6598) | boundary mode
  step   93 | (3.5066, 3.6598) | sensed [10]
  step   94 | (3.5375, 3.5970) | boundary mode
  step   95 | (3.5685, 3.5342) | boundary mode
  step   96 | (3.5685, 3.5342) | sensed [25]
  step   97 | (3.5881, 3.4670) | boundary mode
  step   98 | (3.5958, 3.3974) | boundary mode
  step   99 | (3.5958, 3.3974) | m-line crossed (d=1.99 < hit=2.76) — goal mode
  step  100 | (3.6594, 3.3683) | goal mode
  step  101 | (3.7231, 3.3392) | goal mode
  step  102 | (3.7867, 3.3100) | goal mode
  step  103 | (3.8504, 3.2809) | goal mode
  step  104 | (3.8504, 3.2809) | obstacle hit (d=1.71) — boundary mode
  step  105 | (3.8795, 3.3445) | boundary mode
  step  106 | (3.9086, 3.4082) | boundary mode
  step  107 | (3.9484, 3.4658) | boundary mode
  step  108 | (4.0054, 3.5064) | boundary mode
  step  109 | (4.0625, 3.5469) | boundary mode
  step  110 | (4.1257, 3.5770) | boundary mode
  step  111 | (4.1890, 3.6070) | boundary mode
  step  112 | (4.2587, 3.6136) | boundary mode
  step  113 | (4.3284, 3.6080) | boundary mode
  step  114 | (4.3982, 3.6023) | boundary mode
  step  115 | (4.3982, 3.6023) | sensed [19]
  step  116 | (4.4619, 3.5732) | boundary mode
  step  117 | (4.5255, 3.5441) | boundary mode
  step  118 | (4.5831, 3.5043) | boundary mode
  step  119 | (4.6237, 3.4473) | boundary mode
  step  120 | (4.6642, 3.3902) | boundary mode
  step  121 | (4.7048, 3.3332) | boundary mode
  step  122 | (4.7234, 3.2657) | boundary mode
  step  123 | (4.7300, 3.1960) | boundary mode
  step  124 | (4.7244, 3.1262) | boundary mode
  step  125 | (4.7187, 3.0564) | boundary mode
  step  126 | (4.6896, 2.9928) | boundary mode
  step  127 | (4.6896, 2.9928) | m-line crossed (d=0.83 < hit=1.71) — goal mode
  step  128 | (4.7499, 2.9571) | goal mode
  step  129 | (4.8101, 2.9215) | goal mode
  step  130 | (4.8703, 2.8859) | goal mode
  step  131 | (4.9306, 2.8502) | goal mode
  step  132 | (4.9306, 2.8502) | sensed [23]
  step  133 | (4.9908, 2.8146) | goal mode
  step  134 | (4.9908, 2.8146) | sensed [24]
  step  135 | (5.0511, 2.7789) | goal mode
  step  136 | (5.1113, 2.7433) | goal mode
  step  137 | (5.1716, 2.7077) | goal mode
  step  138 | (5.2318, 2.6720) | goal mode
  step  139 | (5.2921, 2.6364) | goal mode
