Bug1 Simulation Log
Scene: 078   Date: 2026-04-15 00:50:09
======================================================================

Family: sparse
Result: SUCCESS  (64 steps)
--------------------------------------------------
  step    0 | (1.3407, 2.6145) | start
  step    1 | (1.4107, 2.6130) | goal mode
  step    2 | (1.4807, 2.6114) | goal mode
  step    3 | (1.5507, 2.6099) | goal mode
  step    4 | (1.6206, 2.6083) | goal mode
  step    5 | (1.6906, 2.6068) | goal mode
  step    6 | (1.7606, 2.6052) | goal mode
  step    7 | (1.8306, 2.6037) | goal mode
  step    8 | (1.9006, 2.6021) | goal mode
  step    9 | (1.9706, 2.6006) | goal mode
  step   10 | (2.0405, 2.5990) | goal mode
  step   11 | (2.0405, 2.5990) | sensed obstacle(s) [5]
  step   12 | (2.1105, 2.5975) | goal mode
  step   13 | (2.1805, 2.5959) | goal mode
  step   14 | (2.2505, 2.5944) | goal mode
  step   15 | (2.3205, 2.5928) | goal mode
  step   16 | (2.3905, 2.5913) | goal mode
  step   17 | (2.4604, 2.5897) | goal mode
  step   18 | (2.5304, 2.5882) | goal mode
  step   19 | (2.6004, 2.5866) | goal mode
  step   20 | (2.6704, 2.5851) | goal mode
  step   21 | (2.7404, 2.5835) | goal mode
  step   22 | (2.8104, 2.5820) | goal mode
  step   23 | (2.8803, 2.5804) | goal mode
  step   24 | (2.8803, 2.5804) | sensed obstacle(s) [9]
  step   25 | (2.9503, 2.5789) | goal mode
  step   26 | (3.0203, 2.5773) | goal mode
  step   27 | (3.0903, 2.5758) | goal mode
  step   28 | (3.1603, 2.5742) | goal mode
  step   29 | (3.2302, 2.5727) | goal mode
  step   30 | (3.3002, 2.5711) | goal mode
  step   31 | (3.3702, 2.5696) | goal mode
  step   32 | (3.3702, 2.5696) | sensed obstacle(s) [8]
  step   33 | (3.4402, 2.5680) | goal mode
  step   34 | (3.5102, 2.5665) | goal mode
  step   35 | (3.5802, 2.5650) | goal mode
  step   36 | (3.6501, 2.5634) | goal mode
  step   37 | (3.7201, 2.5619) | goal mode
  step   38 | (3.7901, 2.5603) | goal mode
  step   39 | (3.8601, 2.5588) | goal mode
  step   40 | (3.9301, 2.5572) | goal mode
  step   41 | (4.0001, 2.5557) | goal mode
  step   42 | (4.0700, 2.5541) | goal mode
  step   43 | (4.1400, 2.5526) | goal mode
  step   44 | (4.2100, 2.5510) | goal mode
  step   45 | (4.2800, 2.5495) | goal mode
  step   46 | (4.3500, 2.5479) | goal mode
  step   47 | (4.4200, 2.5464) | goal mode
  step   48 | (4.4899, 2.5448) | goal mode
  step   49 | (4.4899, 2.5448) | sensed obstacle(s) [2]
  step   50 | (4.5599, 2.5433) | goal mode
  step   51 | (4.6299, 2.5417) | goal mode
  step   52 | (4.6999, 2.5402) | goal mode
  step   53 | (4.7699, 2.5386) | goal mode
  step   54 | (4.8399, 2.5371) | goal mode
  step   55 | (4.9098, 2.5355) | goal mode
  step   56 | (4.9798, 2.5340) | goal mode
  step   57 | (5.0498, 2.5324) | goal mode
  step   58 | (5.1198, 2.5309) | goal mode
  step   59 | (5.1898, 2.5293) | goal mode
  step   60 | (5.2598, 2.5278) | goal mode
  step   61 | (5.3297, 2.5262) | goal mode
  step   62 | (5.3997, 2.5247) | goal mode
  step   63 | (5.4363, 2.5239) | goal reached

Family: cluttered
Result: SUCCESS  (67 steps)
--------------------------------------------------
  step    0 | (1.3407, 2.6145) | start
  step    1 | (1.4107, 2.6130) | goal mode
  step    2 | (1.4107, 2.6130) | sensed obstacle(s) [26]
  step    3 | (1.4807, 2.6114) | goal mode
  step    4 | (1.5507, 2.6099) | goal mode
  step    5 | (1.5507, 2.6099) | sensed obstacle(s) [10]
  step    6 | (1.6206, 2.6083) | goal mode
  step    7 | (1.6906, 2.6068) | goal mode
  step    8 | (1.7606, 2.6052) | goal mode
  step    9 | (1.8306, 2.6037) | goal mode
  step   10 | (1.9006, 2.6021) | goal mode
  step   11 | (1.9706, 2.6006) | goal mode
  step   12 | (2.0405, 2.5990) | goal mode
  step   13 | (2.0405, 2.5990) | sensed obstacle(s) [5]
