Bug2 Simulation Log
Scene: 042   Date: 2026-04-15 14:24:08
======================================================================

Family: sparse
Result: SUCCESS  (56 steps)
--------------------------------------------------
  step    0 | (0.5853, 1.4641) | start
  step    1 | (0.5853, 1.4641) | sensed [2]
  step    2 | (0.6465, 1.4981) | goal mode
  step    3 | (0.7077, 1.5320) | goal mode
  step    4 | (0.7689, 1.5660) | goal mode
  step    5 | (0.8301, 1.6000) | goal mode
  step    6 | (0.8913, 1.6340) | goal mode
  step    7 | (0.9525, 1.6680) | goal mode
  step    8 | (1.0137, 1.7019) | goal mode
  step    9 | (1.0749, 1.7359) | goal mode
  step   10 | (1.1361, 1.7699) | goal mode
  step   11 | (1.1973, 1.8039) | goal mode
  step   12 | (1.2585, 1.8379) | goal mode
  step   13 | (1.3197, 1.8718) | goal mode
  step   14 | (1.3809, 1.9058) | goal mode
  step   15 | (1.4421, 1.9398) | goal mode
  step   16 | (1.5033, 1.9738) | goal mode
  step   17 | (1.5645, 2.0078) | goal mode
  step   18 | (1.6257, 2.0417) | goal mode
  step   19 | (1.6869, 2.0757) | goal mode
  step   20 | (1.7481, 2.1097) | goal mode
  step   21 | (1.8093, 2.1437) | goal mode
  step   22 | (1.8093, 2.1437) | sensed [1]
  step   23 | (1.8705, 2.1777) | goal mode
  step   24 | (1.9317, 2.2116) | goal mode
  step   25 | (1.9929, 2.2456) | goal mode
  step   26 | (2.0541, 2.2796) | goal mode
  step   27 | (2.1153, 2.3136) | goal mode
  step   28 | (2.1765, 2.3476) | goal mode
  step   29 | (2.2377, 2.3815) | goal mode
  step   30 | (2.2989, 2.4155) | goal mode
  step   31 | (2.3601, 2.4495) | goal mode
  step   32 | (2.4213, 2.4835) | goal mode
  step   33 | (2.4825, 2.5174) | goal mode
  step   34 | (2.5437, 2.5514) | goal mode
  step   35 | (2.6049, 2.5854) | goal mode
  step   36 | (2.6661, 2.6194) | goal mode
  step   37 | (2.7273, 2.6534) | goal mode
  step   38 | (2.7885, 2.6873) | goal mode
  step   39 | (2.8497, 2.7213) | goal mode
  step   40 | (2.9109, 2.7553) | goal mode
  step   41 | (2.9721, 2.7893) | goal mode
  step   42 | (3.0333, 2.8233) | goal mode
  step   43 | (3.0945, 2.8572) | goal mode
  step   44 | (3.1557, 2.8912) | goal mode
  step   45 | (3.2169, 2.9252) | goal mode
  step   46 | (3.2781, 2.9592) | goal mode
  step   47 | (3.3393, 2.9932) | goal mode
  step   48 | (3.4005, 3.0271) | goal mode
  step   49 | (3.4617, 3.0611) | goal mode
  step   50 | (3.5229, 3.0951) | goal mode
  step   51 | (3.5229, 3.0951) | sensed [8]
  step   52 | (3.5841, 3.1291) | goal mode
  step   53 | (3.6453, 3.1631) | goal mode
  step   54 | (3.7065, 3.1970) | goal mode
  step   55 | (3.7644, 3.2292) | goal reached

Family: cluttered
Result: SUCCESS  (182 steps)
--------------------------------------------------
  step    0 | (0.5853, 1.4641) | start
  step    1 | (0.5853, 1.4641) | sensed [2, 23]
  step    2 | (0.6465, 1.4981) | goal mode
  step    3 | (0.7077, 1.5320) | goal mode
  step    4 | (0.7689, 1.5660) | goal mode
  step    5 | (0.8301, 1.6000) | goal mode
  step    6 | (0.8913, 1.6340) | goal mode
  step    7 | (0.9525, 1.6680) | goal mode
  step    8 | (1.0137, 1.7019) | goal mode
  step    9 | (1.0749, 1.7359) | goal mode
  step   10 | (1.1361, 1.7699) | goal mode
  step   11 | (1.1973, 1.8039) | goal mode
  step   12 | (1.2585, 1.8379) | goal mode
  step   13 | (1.3197, 1.8718) | goal mode
  step   14 | (1.3809, 1.9058) | goal mode
  step   15 | (1.4421, 1.9398) | goal mode
  step   16 | (1.4421, 1.9398) | sensed [25]
  step   17 | (1.5033, 1.9738) | goal mode
  step   18 | (1.5645, 2.0078) | goal mode
  step   19 | (1.6257, 2.0417) | goal mode
  step   20 | (1.6869, 2.0757) | goal mode
  step   21 | (1.7481, 2.1097) | goal mode
  step   22 | (1.8093, 2.1437) | goal mode
  step   23 | (1.8093, 2.1437) | sensed [1]
  step   24 | (1.8705, 2.1777) | goal mode
  step   25 | (1.8705, 2.1777) | obstacle hit (d=2.17) — boundary mode
  step   26 | (1.8264, 2.2320) | boundary mode
  step   27 | (1.7924, 2.2932) | boundary mode
  step   28 | (1.7696, 2.3594) | boundary mode
  step   29 | (1.7468, 2.4256) | boundary mode
  step   30 | (1.7358, 2.4947) | boundary mode
  step   31 | (1.7369, 2.5647) | boundary mode
  step   32 | (1.7503, 2.6334) | boundary mode
  step   33 | (1.7636, 2.7021) | boundary mode
  step   34 | (1.7886, 2.7675) | boundary mode
  step   35 | (1.8345, 2.8204) | boundary mode
  step   36 | (1.8804, 2.8732) | boundary mode
  step   37 | (1.9263, 2.9261) | boundary mode
  step   38 | (1.9875, 2.9601) | boundary mode
  step   39 | (2.0487, 2.9940) | boundary mode
  step   40 | (2.0487, 2.9940) | sensed [21, 24]
  step   41 | (2.1178, 3.0050) | boundary mode
  step   42 | (2.1869, 3.0160) | boundary mode
  step   43 | (2.2561, 3.0270) | boundary mode
  step   44 | (2.3248, 3.0137) | boundary mode
  step   45 | (2.3901, 2.9887) | boundary mode
  step   46 | (2.4555, 2.9637) | boundary mode
  step   47 | (2.4555, 2.9637) | sensed [31]
  step   48 | (2.5155, 2.9276) | boundary mode
  step   49 | (2.5684, 2.8818) | boundary mode
  step   50 | (2.6125, 2.8274) | boundary mode
  step   51 | (2.6566, 2.7730) | boundary mode
  step   52 | (2.6566, 2.7730) | m-line crossed (d=1.20 < hit=2.17) — goal mode
  step   53 | (2.7213, 2.7997) | goal mode
  step   54 | (2.7860, 2.8263) | goal mode
  step   55 | (2.7860, 2.8263) | obstacle hit (d=1.06) — boundary mode
  step   56 | (2.7389, 2.8780) | boundary mode
  step   57 | (2.6834, 2.9208) | boundary mode
  step   58 | (2.6362, 2.9725) | boundary mode
  step   59 | (2.5890, 3.0242) | boundary mode
  step   60 | (2.5624, 3.0889) | boundary mode
  step   61 | (2.5474, 3.1573) | boundary mode
  step   62 | (2.5445, 3.2272) | boundary mode
  step   63 | (2.5538, 3.2966) | boundary mode
  step   64 | (2.5749, 3.3633) | boundary mode
  step   65 | (2.5129, 3.3958) | boundary mode
  step   66 | (2.4430, 3.3929) | boundary mode
  step   67 | (2.4430, 3.3929) | sensed [28]
  step   68 | (2.3736, 3.4021) | boundary mode
  step   69 | (2.3069, 3.4233) | boundary mode
  step   70 | (2.2402, 3.4445) | boundary mode
  step   71 | (2.1847, 3.4872) | boundary mode
  step   72 | (2.1293, 3.5300) | boundary mode
  step   73 | (2.0738, 3.5727) | boundary mode
  step   74 | (2.0363, 3.6318) | boundary mode
  step   75 | (1.9988, 3.6909) | boundary mode
  step   76 | (1.9471, 3.6437) | boundary mode
  step   77 | (1.8880, 3.6063) | boundary mode
  step   78 | (1.8289, 3.5688) | boundary mode
  step   79 | (1.8289, 3.5688) | sensed [29]
  step   80 | (1.7605, 3.5538) | boundary mode
  step   81 | (1.6922, 3.5387) | boundary mode
  step   82 | (1.6228, 3.5480) | boundary mode
  step   83 | (1.5561, 3.5692) | boundary mode
  step   84 | (1.4893, 3.5904) | boundary mode
  step   85 | (1.4339, 3.6331) | boundary mode
  step   86 | (1.3867, 3.6848) | boundary mode
  step   87 | (1.3395, 3.7365) | boundary mode
