Bug2 Simulation Log
Scene: 011   Date: 2026-04-15 14:21:49
======================================================================

Family: sparse
Result: SUCCESS  (55 steps)
--------------------------------------------------
  step    0 | (3.6624, 4.4942) | start
  step    1 | (3.6624, 4.4942) | sensed [1, 5]
  step    2 | (3.6107, 4.4470) | goal mode
  step    3 | (3.5591, 4.3997) | goal mode
  step    4 | (3.5074, 4.3525) | goal mode
  step    5 | (3.4557, 4.3053) | goal mode
  step    6 | (3.4040, 4.2581) | goal mode
  step    7 | (3.3524, 4.2109) | goal mode
  step    8 | (3.3007, 4.1636) | goal mode
  step    9 | (3.2490, 4.1164) | goal mode
  step   10 | (3.1973, 4.0692) | goal mode
  step   11 | (3.1457, 4.0220) | goal mode
  step   12 | (3.0940, 3.9748) | goal mode
  step   13 | (3.0423, 3.9275) | goal mode
  step   14 | (2.9906, 3.8803) | goal mode
  step   15 | (2.9390, 3.8331) | goal mode
  step   16 | (2.8873, 3.7859) | goal mode
  step   17 | (2.8356, 3.7387) | goal mode
  step   18 | (2.7839, 3.6914) | goal mode
  step   19 | (2.7323, 3.6442) | goal mode
  step   20 | (2.6806, 3.5970) | goal mode
  step   21 | (2.6289, 3.5498) | goal mode
  step   22 | (2.5772, 3.5026) | goal mode
  step   23 | (2.5256, 3.4553) | goal mode
  step   24 | (2.4739, 3.4081) | goal mode
  step   25 | (2.4222, 3.3609) | goal mode
  step   26 | (2.3705, 3.3137) | goal mode
  step   27 | (2.3189, 3.2665) | goal mode
  step   28 | (2.2672, 3.2192) | goal mode
  step   29 | (2.2155, 3.1720) | goal mode
  step   30 | (2.1638, 3.1248) | goal mode
  step   31 | (2.1122, 3.0776) | goal mode
  step   32 | (2.0605, 3.0304) | goal mode
  step   33 | (2.0088, 2.9831) | goal mode
  step   34 | (1.9571, 2.9359) | goal mode
  step   35 | (1.9055, 2.8887) | goal mode
  step   36 | (1.8538, 2.8415) | goal mode
  step   37 | (1.8021, 2.7943) | goal mode
  step   38 | (1.7504, 2.7470) | goal mode
  step   39 | (1.6988, 2.6998) | goal mode
  step   40 | (1.6471, 2.6526) | goal mode
  step   41 | (1.5954, 2.6054) | goal mode
  step   42 | (1.5437, 2.5582) | goal mode
  step   43 | (1.4921, 2.5109) | goal mode
  step   44 | (1.4404, 2.4637) | goal mode
  step   45 | (1.3887, 2.4165) | goal mode
  step   46 | (1.3370, 2.3693) | goal mode
  step   47 | (1.2854, 2.3221) | goal mode
  step   48 | (1.2337, 2.2748) | goal mode
  step   49 | (1.1820, 2.2276) | goal mode
  step   50 | (1.1303, 2.1804) | goal mode
  step   51 | (1.0787, 2.1332) | goal mode
  step   52 | (1.0270, 2.0860) | goal mode
  step   53 | (0.9753, 2.0387) | goal mode
  step   54 | (0.9300, 1.9973) | goal reached

Family: cluttered
Result: SUCCESS  (72 steps)
--------------------------------------------------
  step    0 | (3.6624, 4.4942) | start
  step    1 | (3.6624, 4.4942) | sensed [1, 5, 20]
  step    2 | (3.6107, 4.4470) | goal mode
  step    3 | (3.5591, 4.3997) | goal mode
  step    4 | (3.5074, 4.3525) | goal mode
  step    5 | (3.4557, 4.3053) | goal mode
