Bug1 Simulation Log
Scene: 090   Date: 2026-04-15 00:51:06
======================================================================

Family: sparse
Result: SUCCESS  (107 steps)
--------------------------------------------------
  step    0 | (4.1809, 0.6593) | start
  step    1 | (4.1769, 0.7292) | goal mode
  step    2 | (4.1728, 0.7991) | goal mode
  step    3 | (4.1688, 0.8690) | goal mode
  step    4 | (4.1648, 0.9389) | goal mode
  step    5 | (4.1608, 1.0087) | goal mode
  step    6 | (4.1567, 1.0786) | goal mode
  step    7 | (4.1527, 1.1485) | goal mode
  step    8 | (4.1487, 1.2184) | goal mode
  step    9 | (4.1447, 1.2883) | goal mode
  step   10 | (4.1406, 1.3582) | goal mode
  step   11 | (4.1366, 1.4280) | goal mode
  step   12 | (4.1326, 1.4979) | goal mode
  step   13 | (4.1326, 1.4979) | sensed obstacle(s) [10]
  step   14 | (4.1285, 1.5678) | goal mode
  step   15 | (4.1245, 1.6377) | goal mode
  step   16 | (4.1205, 1.7076) | goal mode
  step   17 | (4.1165, 1.7775) | goal mode
  step   18 | (4.1124, 1.8474) | goal mode
  step   19 | (4.1084, 1.9172) | goal mode
  step   20 | (4.1044, 1.9871) | goal mode
  step   21 | (4.1044, 1.9871) | obstacle hit - switching to boundary mode
  step   22 | (4.0767, 2.0514) | boundary mode
  step   23 | (4.0767, 2.0514) | sensed obstacle(s) [6]
  step   24 | (4.0206, 2.0932) | boundary mode
  step   25 | (3.9645, 2.1351) | boundary mode
  step   26 | (3.9260, 2.1936) | boundary mode
  step   27 | (3.8876, 2.2521) | boundary mode
  step   28 | (3.8715, 2.3202) | boundary mode
  step   29 | (3.8554, 2.3883) | boundary mode
  step   30 | (3.8514, 2.4582) | boundary mode
  step   31 | (3.8514, 2.4582) | clear path to goal - resuming goal mode
  step   32 | (3.8529, 2.5282) | goal mode
  step   33 | (3.8544, 2.5982) | goal mode
  step   34 | (3.8559, 2.6682) | goal mode
  step   35 | (3.8574, 2.7382) | goal mode
  step   36 | (3.8590, 2.8081) | goal mode
  step   37 | (3.8605, 2.8781) | goal mode
  step   38 | (3.8620, 2.9481) | goal mode
  step   39 | (3.8635, 3.0181) | goal mode
  step   40 | (3.8650, 3.0881) | goal mode
  step   41 | (3.8666, 3.1581) | goal mode
  step   42 | (3.8681, 3.2280) | goal mode
  step   43 | (3.8681, 3.2280) | sensed obstacle(s) [9]
  step   44 | (3.8696, 3.2980) | goal mode
  step   45 | (3.8711, 3.3680) | goal mode
  step   46 | (3.8726, 3.4380) | goal mode
  step   47 | (3.8726, 3.4380) | sensed obstacle(s) [4]
  step   48 | (3.8742, 3.5080) | goal mode
  step   49 | (3.8757, 3.5780) | goal mode
  step   50 | (3.8772, 3.6479) | goal mode
  step   51 | (3.8787, 3.7179) | goal mode
  step   52 | (3.8802, 3.7879) | goal mode
  step   53 | (3.8818, 3.8579) | goal mode
  step   54 | (3.8833, 3.9279) | goal mode
  step   55 | (3.8848, 3.9979) | goal mode
  step   56 | (3.8848, 3.9979) | obstacle hit - switching to boundary mode
  step   57 | (3.8410, 4.0525) | boundary mode
  step   58 | (3.8273, 3.9838) | boundary mode
  step   59 | (3.8137, 3.9151) | boundary mode
  step   60 | (3.7774, 3.8553) | boundary mode
  step   61 | (3.7520, 3.7901) | boundary mode
  step   62 | (3.7059, 3.7374) | boundary mode
  step   63 | (3.6597, 3.6848) | boundary mode
  step   64 | (3.5983, 3.6511) | boundary mode
  step   65 | (3.5438, 3.6073) | boundary mode
  step   66 | (3.4775, 3.5848) | boundary mode
  step   67 | (3.4112, 3.5623) | boundary mode
  step   68 | (3.3412, 3.5638) | boundary mode
  step   69 | (3.2712, 3.5653) | boundary mode
  step   70 | (3.2012, 3.5668) | boundary mode
  step   71 | (3.1360, 3.5922) | boundary mode
  step   72 | (3.0708, 3.6176) | boundary mode
  step   73 | (3.0109, 3.6539) | boundary mode
  step   74 | (2.9583, 3.7000) | boundary mode
  step   75 | (2.9056, 3.7462) | boundary mode
  step   76 | (2.8618, 3.8008) | boundary mode
  step   77 | (2.8281, 3.8621) | boundary mode
  step   78 | (2.8056, 3.9284) | boundary mode
  step   79 | (2.7950, 3.9976) | boundary mode
  step   80 | (2.7843, 4.0668) | boundary mode
  step   81 | (2.7859, 4.1368) | boundary mode
  step   82 | (2.7995, 4.2054) | boundary mode
  step   83 | (2.8131, 4.2741) | boundary mode
  step   84 | (2.8495, 4.3339) | boundary mode
  step   85 | (2.8858, 4.3938) | boundary mode
  step   86 | (2.9319, 4.4464) | boundary mode
  step   87 | (2.9319, 4.4464) | clear path to goal - resuming goal mode
  step   88 | (2.9846, 4.4925) | goal mode
  step   89 | (3.0373, 4.5386) | goal mode
  step   90 | (3.0900, 4.5847) | goal mode
  step   91 | (3.1427, 4.6308) | goal mode
