Bug1 Simulation Log
Scene: 028   Date: 2026-04-15 00:46:23
======================================================================

Family: sparse
Result: SUCCESS  (54 steps)
--------------------------------------------------
  step    0 | (2.4476, 4.7455) | start
  step    1 | (2.4217, 4.6805) | goal mode
  step    2 | (2.3958, 4.6155) | goal mode
  step    3 | (2.3699, 4.5504) | goal mode
  step    4 | (2.3440, 4.4854) | goal mode
  step    5 | (2.3181, 4.4204) | goal mode
  step    6 | (2.2922, 4.3553) | goal mode
  step    7 | (2.2663, 4.2903) | goal mode
  step    8 | (2.2405, 4.2252) | goal mode
  step    9 | (2.2146, 4.1602) | goal mode
  step   10 | (2.1887, 4.0952) | goal mode
  step   11 | (2.1628, 4.0301) | goal mode
  step   12 | (2.1369, 3.9651) | goal mode
  step   13 | (2.1110, 3.9001) | goal mode
  step   14 | (2.0851, 3.8350) | goal mode
  step   15 | (2.0593, 3.7700) | goal mode
  step   16 | (2.0334, 3.7049) | goal mode
  step   17 | (2.0075, 3.6399) | goal mode
  step   18 | (1.9816, 3.5749) | goal mode
  step   19 | (1.9557, 3.5098) | goal mode
  step   20 | (1.9298, 3.4448) | goal mode
  step   21 | (1.9039, 3.3798) | goal mode
  step   22 | (1.8781, 3.3147) | goal mode
  step   23 | (1.8522, 3.2497) | goal mode
  step   24 | (1.8263, 3.1846) | goal mode
  step   25 | (1.8004, 3.1196) | goal mode
  step   26 | (1.7745, 3.0546) | goal mode
  step   27 | (1.7486, 2.9895) | goal mode
  step   28 | (1.7227, 2.9245) | goal mode
  step   29 | (1.6969, 2.8595) | goal mode
  step   30 | (1.6710, 2.7944) | goal mode
  step   31 | (1.6451, 2.7294) | goal mode
  step   32 | (1.6192, 2.6643) | goal mode
  step   33 | (1.5933, 2.5993) | goal mode
  step   34 | (1.5933, 2.5993) | sensed obstacle(s) [0]
  step   35 | (1.5674, 2.5343) | goal mode
  step   36 | (1.5415, 2.4692) | goal mode
  step   37 | (1.5156, 2.4042) | goal mode
  step   38 | (1.4898, 2.3392) | goal mode
  step   39 | (1.4639, 2.2741) | goal mode
  step   40 | (1.4380, 2.2091) | goal mode
  step   41 | (1.4121, 2.1440) | goal mode
  step   42 | (1.3862, 2.0790) | goal mode
  step   43 | (1.3603, 2.0140) | goal mode
  step   44 | (1.3344, 1.9489) | goal mode
  step   45 | (1.3086, 1.8839) | goal mode
  step   46 | (1.2827, 1.8189) | goal mode
  step   47 | (1.2568, 1.7538) | goal mode
  step   48 | (1.2309, 1.6888) | goal mode
  step   49 | (1.2050, 1.6237) | goal mode
  step   50 | (1.1791, 1.5587) | goal mode
  step   51 | (1.1532, 1.4937) | goal mode
  step   52 | (1.1274, 1.4286) | goal mode
  step   53 | (1.1186, 1.4067) | goal reached

Family: cluttered
Result: FAILED  (501 steps)
--------------------------------------------------
  step    0 | (2.4476, 4.7455) | start
  step    1 | (2.4476, 4.7455) | sensed obstacle(s) [8]
  step    2 | (2.4217, 4.6805) | goal mode
  step    3 | (2.3958, 4.6155) | goal mode
  step    4 | (2.3699, 4.5504) | goal mode
  step    5 | (2.3440, 4.4854) | goal mode
  step    6 | (2.3181, 4.4204) | goal mode
  step    7 | (2.2922, 4.3553) | goal mode
  step    8 | (2.2663, 4.2903) | goal mode
  step    9 | (2.2405, 4.2252) | goal mode
  step   10 | (2.2146, 4.1602) | goal mode
  step   11 | (2.1887, 4.0952) | goal mode
  step   12 | (2.1628, 4.0301) | goal mode
  step   13 | (2.1369, 3.9651) | goal mode
  step   14 | (2.1110, 3.9001) | goal mode
  step   15 | (2.0851, 3.8350) | goal mode
  step   16 | (2.0851, 3.8350) | sensed obstacle(s) [13]
  step   17 | (2.0593, 3.7700) | goal mode
  step   18 | (2.0334, 3.7049) | goal mode
  step   19 | (2.0334, 3.7049) | sensed obstacle(s) [19]
  step   20 | (2.0075, 3.6399) | goal mode
  step   21 | (1.9816, 3.5749) | goal mode
  step   22 | (1.9557, 3.5098) | goal mode
  step   23 | (1.9298, 3.4448) | goal mode
  step   24 | (1.9039, 3.3798) | goal mode
  step   25 | (1.8781, 3.3147) | goal mode
  step   26 | (1.8522, 3.2497) | goal mode
  step   27 | (1.8522, 3.2497) | sensed obstacle(s) [15]
  step   28 | (1.8263, 3.1846) | goal mode
  step   29 | (1.8004, 3.1196) | goal mode
  step   30 | (1.7745, 3.0546) | goal mode
  step   31 | (1.7486, 2.9895) | goal mode
  step   32 | (1.7227, 2.9245) | goal mode
  step   33 | (1.6969, 2.8595) | goal mode
  step   34 | (1.6710, 2.7944) | goal mode
  step   35 | (1.6710, 2.7944) | obstacle hit - switching to boundary mode
  step   36 | (1.7409, 2.7923) | boundary mode
  step   37 | (1.7409, 2.7923) | sensed obstacle(s) [24]
  step   38 | (1.8060, 2.7664) | boundary mode
  step   39 | (1.8655, 2.7297) | boundary mode
  step   40 | (1.9251, 2.6929) | boundary mode
  step   41 | (1.9685, 2.6379) | boundary mode
  step   42 | (2.0118, 2.5830) | boundary mode
  step   43 | (2.0338, 2.5165) | boundary mode
  step   44 | (2.0558, 2.4501) | boundary mode
  step   45 | (2.0537, 2.3801) | boundary mode
  step   46 | (2.1153, 2.4133) | boundary mode
  step   47 | (2.1153, 2.4133) | sensed obstacle(s) [20]
  step   48 | (2.1703, 2.4567) | boundary mode
  step   49 | (2.2319, 2.4899) | boundary mode
  step   50 | (2.1885, 2.5448) | boundary mode
  step   51 | (2.1363, 2.5914) | boundary mode
  step   52 | (2.0840, 2.6379) | boundary mode
  step   53 | (2.0406, 2.6929) | boundary mode
  step   54 | (2.0187, 2.7593) | boundary mode
  step   55 | (2.0086, 2.8286) | boundary mode
  step   56 | (1.9985, 2.8979) | boundary mode
  step   57 | (2.0127, 2.9664) | boundary mode
  step   58 | (2.0385, 3.0314) | boundary mode
  step   59 | (2.0753, 3.0910) | boundary mode
  step   60 | (2.1219, 3.1433) | boundary mode
  step   61 | (2.1768, 3.1866) | boundary mode
  step   62 | (2.2385, 3.2198) | boundary mode
  step   63 | (2.3049, 3.2418) | boundary mode
  step   64 | (2.3742, 3.2519) | boundary mode
  step   65 | (2.4442, 3.2498) | boundary mode
  step   66 | (2.5092, 3.2239) | boundary mode
  step   67 | (2.5742, 3.1980) | boundary mode
  step   68 | (2.5742, 3.1980) | sensed obstacle(s) [16]
  step   69 | (2.6265, 3.1515) | boundary mode
  step   70 | (2.6788, 3.1049) | boundary mode
  step   71 | (2.7120, 3.0433) | boundary mode
  step   72 | (2.7451, 2.9816) | boundary mode
  step   73 | (2.7552, 2.9124) | boundary mode
  step   74 | (2.8217, 2.9343) | boundary mode
  step   75 | (2.8833, 2.9675) | boundary mode
  step   76 | (2.9526, 2.9776) | boundary mode
  step   77 | (3.0219, 2.9877) | boundary mode
  step   78 | (3.0587, 3.0473) | boundary mode
  step   79 | (3.0486, 3.1166) | boundary mode
  step   80 | (3.0628, 3.1851) | boundary mode
  step   81 | (3.0886, 3.2501) | boundary mode
  step   82 | (3.0886, 3.2501) | sensed obstacle(s) [5]
