Bug1 Simulation Log
Scene: 089   Date: 2026-04-15 00:51:30
======================================================================

Family: sparse
Result: SUCCESS  (102 steps)
--------------------------------------------------
  step    0 | (0.8636, 3.5447) | start
  step    1 | (0.8636, 3.5447) | sensed obstacle(s) [2]
  step    2 | (0.9260, 3.5130) | goal mode
  step    3 | (0.9883, 3.4812) | goal mode
  step    4 | (1.0507, 3.4495) | goal mode
  step    5 | (1.0507, 3.4495) | sensed obstacle(s) [6]
  step    6 | (1.1131, 3.4178) | goal mode
  step    7 | (1.1755, 3.3860) | goal mode
  step    8 | (1.2379, 3.3543) | goal mode
  step    9 | (1.3003, 3.3226) | goal mode
  step   10 | (1.3627, 3.2908) | goal mode
  step   11 | (1.4251, 3.2591) | goal mode
  step   12 | (1.4875, 3.2274) | goal mode
  step   13 | (1.4875, 3.2274) | obstacle hit - switching to boundary mode
  step   14 | (1.5079, 3.2943) | boundary mode
  step   15 | (1.5396, 3.3567) | boundary mode
  step   16 | (1.5817, 3.4126) | boundary mode
  step   17 | (1.6238, 3.4686) | boundary mode
  step   18 | (1.6750, 3.5163) | boundary mode
  step   19 | (1.7337, 3.5545) | boundary mode
  step   20 | (1.7981, 3.5819) | boundary mode
  step   21 | (1.8625, 3.6093) | boundary mode
  step   22 | (1.9307, 3.6251) | boundary mode
  step   23 | (2.0006, 3.6288) | boundary mode
  step   24 | (2.0705, 3.6325) | boundary mode
  step   25 | (2.1400, 3.6241) | boundary mode
  step   26 | (2.2069, 3.6036) | boundary mode
  step   27 | (2.2739, 3.5832) | boundary mode
  step   28 | (2.3363, 3.5515) | boundary mode
  step   29 | (2.3363, 3.5515) | clear path to goal - resuming goal mode
  step   30 | (2.3924, 3.5097) | goal mode
  step   31 | (2.4486, 3.4679) | goal mode
  step   32 | (2.5047, 3.4261) | goal mode
  step   33 | (2.5609, 3.3843) | goal mode
  step   34 | (2.6170, 3.3424) | goal mode
  step   35 | (2.6731, 3.3006) | goal mode
  step   36 | (2.7293, 3.2588) | goal mode
  step   37 | (2.7854, 3.2170) | goal mode
  step   38 | (2.8416, 3.1752) | goal mode
  step   39 | (2.8977, 3.1334) | goal mode
  step   40 | (2.9539, 3.0916) | goal mode
  step   41 | (3.0100, 3.0498) | goal mode
  step   42 | (3.0661, 3.0080) | goal mode
  step   43 | (3.1223, 2.9662) | goal mode
  step   44 | (3.1784, 2.9244) | goal mode
  step   45 | (3.2346, 2.8826) | goal mode
  step   46 | (3.2907, 2.8408) | goal mode
  step   47 | (3.3469, 2.7989) | goal mode
  step   48 | (3.4030, 2.7571) | goal mode
  step   49 | (3.4592, 2.7153) | goal mode
  step   50 | (3.5153, 2.6735) | goal mode
  step   51 | (3.5714, 2.6317) | goal mode
  step   52 | (3.6276, 2.5899) | goal mode
  step   53 | (3.6837, 2.5481) | goal mode
  step   54 | (3.7399, 2.5063) | goal mode
  step   55 | (3.7399, 2.5063) | sensed obstacle(s) [4]
  step   56 | (3.7960, 2.4645) | goal mode
  step   57 | (3.8522, 2.4227) | goal mode
  step   58 | (3.9083, 2.3809) | goal mode
  step   59 | (3.9644, 2.3391) | goal mode
  step   60 | (4.0206, 2.2973) | goal mode
  step   61 | (4.0767, 2.2554) | goal mode
  step   62 | (4.1329, 2.2136) | goal mode
  step   63 | (4.1890, 2.1718) | goal mode
  step   64 | (4.1890, 2.1718) | obstacle hit - switching to boundary mode
  step   65 | (4.1972, 2.2414) | boundary mode
  step   66 | (4.2053, 2.3109) | boundary mode
  step   67 | (4.2367, 2.3734) | boundary mode
  step   68 | (4.2785, 2.4296) | boundary mode
  step   69 | (4.2785, 2.4296) | sensed obstacle(s) [5]
  step   70 | (4.3294, 2.4776) | boundary mode
  step   71 | (4.3879, 2.5161) | boundary mode
  step   72 | (4.4522, 2.5438) | boundary mode
  step   73 | (4.5203, 2.5599) | boundary mode
  step   74 | (4.5902, 2.5640) | boundary mode
  step   75 | (4.6597, 2.5558) | boundary mode
  step   76 | (4.7268, 2.5358) | boundary mode
  step   77 | (4.7938, 2.5157) | boundary mode
  step   78 | (4.8500, 2.4739) | boundary mode
  step   79 | (4.8980, 2.4229) | boundary mode
  step   80 | (4.8980, 2.4229) | clear path to goal - resuming goal mode
  step   81 | (4.9298, 2.3606) | goal mode
  step   82 | (4.9616, 2.2982) | goal mode
  step   83 | (4.9934, 2.2359) | goal mode
  step   84 | (5.0252, 2.1735) | goal mode
  step   85 | (5.0570, 2.1111) | goal mode
  step   86 | (5.0888, 2.0488) | goal mode
  step   87 | (5.1206, 1.9864) | goal mode
  step   88 | (5.1524, 1.9241) | goal mode
  step   89 | (5.1842, 1.8617) | goal mode
  step   90 | (5.2160, 1.7993) | goal mode
  step   91 | (5.2478, 1.7370) | goal mode
  step   92 | (5.2796, 1.6746) | goal mode
  step   93 | (5.3114, 1.6122) | goal mode
  step   94 | (5.3432, 1.5499) | goal mode
  step   95 | (5.3750, 1.4875) | goal mode
  step   96 | (5.4068, 1.4252) | goal mode
  step   97 | (5.4386, 1.3628) | goal mode
  step   98 | (5.4704, 1.3004) | goal mode
  step   99 | (5.5022, 1.2381) | goal mode
  step  100 | (5.5340, 1.1757) | goal mode
  step  101 | (5.5384, 1.1670) | goal reached

Family: cluttered
Result: SUCCESS  (123 steps)
--------------------------------------------------
  step    0 | (0.8636, 3.5447) | start
  step    1 | (0.8636, 3.5447) | sensed obstacle(s) [2, 23]
  step    2 | (0.9260, 3.5130) | goal mode
  step    3 | (0.9883, 3.4812) | goal mode
  step    4 | (1.0507, 3.4495) | goal mode
  step    5 | (1.0507, 3.4495) | sensed obstacle(s) [6]
  step    6 | (1.1131, 3.4178) | goal mode
  step    7 | (1.1755, 3.3860) | goal mode
  step    8 | (1.2379, 3.3543) | goal mode
  step    9 | (1.3003, 3.3226) | goal mode
  step   10 | (1.3627, 3.2908) | goal mode
  step   11 | (1.4251, 3.2591) | goal mode
  step   12 | (1.4875, 3.2274) | goal mode
  step   13 | (1.4875, 3.2274) | obstacle hit - switching to boundary mode
  step   14 | (1.5079, 3.2943) | boundary mode
  step   15 | (1.5396, 3.3567) | boundary mode
  step   16 | (1.5817, 3.4126) | boundary mode
  step   17 | (1.6238, 3.4686) | boundary mode
  step   18 | (1.6750, 3.5163) | boundary mode
  step   19 | (1.7337, 3.5545) | boundary mode
  step   20 | (1.7981, 3.5819) | boundary mode
  step   21 | (1.8625, 3.6093) | boundary mode
  step   22 | (1.9307, 3.6251) | boundary mode
  step   23 | (2.0006, 3.6288) | boundary mode
  step   24 | (2.0705, 3.6325) | boundary mode
  step   25 | (2.1400, 3.6241) | boundary mode
  step   26 | (2.2069, 3.6036) | boundary mode
  step   27 | (2.2739, 3.5832) | boundary mode
  step   28 | (2.2739, 3.5832) | sensed obstacle(s) [19]
  step   29 | (2.3363, 3.5515) | boundary mode
  step   30 | (2.3363, 3.5515) | clear path to goal - resuming goal mode
  step   31 | (2.3924, 3.5097) | goal mode
  step   32 | (2.4486, 3.4679) | goal mode
  step   33 | (2.4486, 3.4679) | sensed obstacle(s) [21]
  step   34 | (2.5047, 3.4261) | goal mode
  step   35 | (2.5609, 3.3843) | goal mode
  step   36 | (2.6170, 3.3424) | goal mode
  step   37 | (2.6731, 3.3006) | goal mode
  step   38 | (2.7293, 3.2588) | goal mode
  step   39 | (2.7854, 3.2170) | goal mode
  step   40 | (2.8416, 3.1752) | goal mode
  step   41 | (2.8416, 3.1752) | obstacle hit - switching to boundary mode
  step   42 | (2.9059, 3.2029) | boundary mode
  step   43 | (2.9701, 3.2306) | boundary mode
  step   44 | (3.0344, 3.2584) | boundary mode
  step   45 | (3.1025, 3.2745) | boundary mode
  step   46 | (3.1724, 3.2786) | boundary mode
  step   47 | (3.2419, 3.2704) | boundary mode
  step   48 | (3.3115, 3.2623) | boundary mode
  step   49 | (3.3115, 3.2623) | sensed obstacle(s) [17]
  step   50 | (3.3785, 3.2422) | boundary mode
  step   51 | (3.4411, 3.2108) | boundary mode
  step   52 | (3.4972, 3.1690) | boundary mode
  step   53 | (3.5534, 3.1272) | boundary mode
  step   54 | (3.6014, 3.0763) | boundary mode
  step   55 | (3.6494, 3.0253) | boundary mode
  step   56 | (3.6771, 2.9610) | boundary mode
  step   57 | (3.7048, 2.8968) | boundary mode
  step   58 | (3.7326, 2.8325) | boundary mode
  step   59 | (3.7366, 2.7626) | boundary mode
  step   60 | (3.7366, 2.7626) | clear path to goal - resuming goal mode
  step   61 | (3.7890, 2.7162) | goal mode
  step   62 | (3.8414, 2.6698) | goal mode
  step   63 | (3.8414, 2.6698) | sensed obstacle(s) [4]
