Bug1 Simulation Log
Scene: 052   Date: 2026-04-15 00:48:39
======================================================================

Family: sparse
Result: SUCCESS  (62 steps)
--------------------------------------------------
  step    0 | (5.5234, 2.5562) | start
  step    1 | (5.5234, 2.5562) | sensed obstacle(s) [2]
  step    2 | (5.4536, 2.5504) | goal mode
  step    3 | (5.3839, 2.5447) | goal mode
  step    4 | (5.3141, 2.5389) | goal mode
  step    5 | (5.2443, 2.5332) | goal mode
  step    6 | (5.1746, 2.5275) | goal mode
  step    7 | (5.1048, 2.5217) | goal mode
  step    8 | (5.0350, 2.5160) | goal mode
  step    9 | (4.9653, 2.5102) | goal mode
  step   10 | (4.8955, 2.5045) | goal mode
  step   11 | (4.8257, 2.4987) | goal mode
  step   12 | (4.7560, 2.4930) | goal mode
  step   13 | (4.6862, 2.4872) | goal mode
  step   14 | (4.6165, 2.4815) | goal mode
  step   15 | (4.5467, 2.4757) | goal mode
  step   16 | (4.4769, 2.4700) | goal mode
  step   17 | (4.4072, 2.4642) | goal mode
  step   18 | (4.3374, 2.4585) | goal mode
  step   19 | (4.2676, 2.4527) | goal mode
  step   20 | (4.1979, 2.4470) | goal mode
  step   21 | (4.1281, 2.4412) | goal mode
  step   22 | (4.0583, 2.4355) | goal mode
  step   23 | (3.9886, 2.4297) | goal mode
  step   24 | (3.9188, 2.4240) | goal mode
  step   25 | (3.8491, 2.4182) | goal mode
  step   26 | (3.7793, 2.4125) | goal mode
  step   27 | (3.7095, 2.4067) | goal mode
  step   28 | (3.6398, 2.4010) | goal mode
  step   29 | (3.5700, 2.3952) | goal mode
  step   30 | (3.5002, 2.3895) | goal mode
  step   31 | (3.4305, 2.3837) | goal mode
  step   32 | (3.3607, 2.3780) | goal mode
  step   33 | (3.2909, 2.3722) | goal mode
  step   34 | (3.2212, 2.3665) | goal mode
  step   35 | (3.1514, 2.3607) | goal mode
  step   36 | (3.0817, 2.3550) | goal mode
  step   37 | (3.0119, 2.3492) | goal mode
  step   38 | (2.9421, 2.3435) | goal mode
  step   39 | (2.8724, 2.3377) | goal mode
  step   40 | (2.8026, 2.3320) | goal mode
  step   41 | (2.7328, 2.3262) | goal mode
  step   42 | (2.6631, 2.3205) | goal mode
  step   43 | (2.5933, 2.3148) | goal mode
  step   44 | (2.5235, 2.3090) | goal mode
  step   45 | (2.4538, 2.3033) | goal mode
  step   46 | (2.3840, 2.2975) | goal mode
  step   47 | (2.3143, 2.2918) | goal mode
  step   48 | (2.2445, 2.2860) | goal mode
  step   49 | (2.1747, 2.2803) | goal mode
  step   50 | (2.1050, 2.2745) | goal mode
  step   51 | (2.0352, 2.2688) | goal mode
  step   52 | (1.9654, 2.2630) | goal mode
  step   53 | (1.8957, 2.2573) | goal mode
  step   54 | (1.8259, 2.2515) | goal mode
  step   55 | (1.7561, 2.2458) | goal mode
  step   56 | (1.6864, 2.2400) | goal mode
  step   57 | (1.6166, 2.2343) | goal mode
  step   58 | (1.5469, 2.2285) | goal mode
  step   59 | (1.4771, 2.2228) | goal mode
  step   60 | (1.4073, 2.2170) | goal mode
  step   61 | (1.3841, 2.2151) | goal reached

Family: cluttered
Result: FAILED  (501 steps)
--------------------------------------------------
  step    0 | (5.5234, 2.5562) | start
  step    1 | (5.5234, 2.5562) | sensed obstacle(s) [2]
  step    2 | (5.4536, 2.5504) | goal mode
  step    3 | (5.3839, 2.5447) | goal mode
