Bug2 Simulation Log
Scene: 085   Date: 2026-04-15 14:27:03
======================================================================

Family: sparse
Result: SUCCESS  (122 steps)
--------------------------------------------------
  step    0 | (1.4296, 2.8022) | start
  step    1 | (1.4296, 2.8022) | sensed [6]
  step    2 | (1.4850, 2.8450) | goal mode
  step    3 | (1.5405, 2.8877) | goal mode
  step    4 | (1.5959, 2.9305) | goal mode
  step    5 | (1.6513, 2.9732) | goal mode
  step    6 | (1.7067, 3.0160) | goal mode
  step    7 | (1.7622, 3.0587) | goal mode
  step    8 | (1.7622, 3.0587) | obstacle hit (d=3.31) — boundary mode
  step    9 | (1.7529, 3.1281) | boundary mode
  step   10 | (1.7436, 3.1975) | boundary mode
  step   11 | (1.7342, 3.2669) | boundary mode
  step   12 | (1.7371, 3.3368) | boundary mode
  step   13 | (1.7400, 3.4067) | boundary mode
  step   14 | (1.7666, 3.4715) | boundary mode
  step   15 | (1.7666, 3.4715) | sensed [7]
  step   16 | (1.7933, 3.5362) | boundary mode
  step   17 | (1.8199, 3.6010) | boundary mode
  step   18 | (1.8671, 3.6527) | boundary mode
  step   19 | (1.9142, 3.7044) | boundary mode
  step   20 | (1.9696, 3.7472) | boundary mode
  step   21 | (2.0317, 3.7796) | boundary mode
  step   22 | (2.0937, 3.8121) | boundary mode
  step   23 | (2.1604, 3.8333) | boundary mode
  step   24 | (2.0920, 3.8483) | boundary mode
  step   25 | (2.0329, 3.8858) | boundary mode
  step   26 | (1.9811, 3.9329) | boundary mode
  step   27 | (1.9294, 3.9801) | boundary mode
  step   28 | (1.8969, 4.0421) | boundary mode
  step   29 | (1.8757, 4.1088) | boundary mode
  step   30 | (1.8664, 4.1782) | boundary mode
  step   31 | (1.8693, 4.2481) | boundary mode
  step   32 | (1.8843, 4.3165) | boundary mode
  step   33 | (1.9109, 4.3813) | boundary mode
  step   34 | (1.9484, 4.4404) | boundary mode
  step   35 | (2.0038, 4.4831) | boundary mode
  step   36 | (2.0592, 4.5259) | boundary mode
  step   37 | (2.1259, 4.5471) | boundary mode
  step   38 | (2.1927, 4.5683) | boundary mode
  step   39 | (2.1927, 4.5683) | sensed [0]
  step   40 | (2.2626, 4.5654) | boundary mode
  step   41 | (2.3310, 4.5504) | boundary mode
  step   42 | (2.3957, 4.5238) | boundary mode
  step   43 | (2.4548, 4.4864) | boundary mode
  step   44 | (2.5066, 4.4392) | boundary mode
  step   45 | (2.5493, 4.3838) | boundary mode
  step   46 | (2.5818, 4.3218) | boundary mode
  step   47 | (2.6030, 4.2550) | boundary mode
  step   48 | (2.6001, 4.1851) | boundary mode
  step   49 | (2.5972, 4.1152) | boundary mode
  step   50 | (2.5706, 4.0504) | boundary mode
  step   51 | (2.5331, 3.9913) | boundary mode
  step   52 | (2.4957, 3.9322) | boundary mode
  step   53 | (2.4403, 3.8894) | boundary mode
  step   54 | (2.3782, 3.8569) | boundary mode
  step   55 | (2.4430, 3.8303) | boundary mode
  step   56 | (2.5077, 3.8037) | boundary mode
  step   57 | (2.5077, 3.8037) | m-line crossed (d=2.27 < hit=3.31) — goal mode
  step   58 | (2.5656, 3.8431) | goal mode
  step   59 | (2.6235, 3.8825) | goal mode
  step   60 | (2.6813, 3.9218) | goal mode
  step   61 | (2.7392, 3.9612) | goal mode
  step   62 | (2.7971, 4.0006) | goal mode
  step   63 | (2.8549, 4.0400) | goal mode
  step   64 | (2.9128, 4.0794) | goal mode
  step   65 | (2.9707, 4.1188) | goal mode
  step   66 | (3.0285, 4.1582) | goal mode
  step   67 | (3.0864, 4.1976) | goal mode
  step   68 | (3.1443, 4.2369) | goal mode
  step   69 | (3.2021, 4.2763) | goal mode
  step   70 | (3.2600, 4.3157) | goal mode
  step   71 | (3.2600, 4.3157) | obstacle hit (d=1.36) — boundary mode
  step   72 | (3.1926, 4.3347) | boundary mode
  step   73 | (3.1230, 4.3418) | boundary mode
  step   74 | (3.0533, 4.3488) | boundary mode
  step   75 | (2.9903, 4.3792) | boundary mode
  step   76 | (2.9272, 4.4096) | boundary mode
  step   77 | (2.8704, 4.4505) | boundary mode
  step   78 | (2.8216, 4.5007) | boundary mode
  step   79 | (2.7728, 4.5508) | boundary mode
  step   80 | (2.7440, 4.6146) | boundary mode
  step   81 | (2.7153, 4.6785) | boundary mode
  step   82 | (2.6981, 4.7463) | boundary mode
  step   83 | (2.6929, 4.8161) | boundary mode
  step   84 | (2.6999, 4.8858) | boundary mode
  step   85 | (2.7069, 4.9554) | boundary mode
  step   86 | (2.7259, 5.0228) | boundary mode
  step   87 | (2.7564, 5.0858) | boundary mode
  step   88 | (2.7973, 5.1426) | boundary mode
  step   89 | (2.8474, 5.1915) | boundary mode
  step   90 | (2.8976, 5.2403) | boundary mode
  step   91 | (2.9554, 5.2797) | boundary mode
  step   92 | (3.0233, 5.2969) | boundary mode
  step   93 | (3.0871, 5.3257) | boundary mode
  step   94 | (3.1569, 5.3308) | boundary mode
  step   95 | (3.2267, 5.3360) | boundary mode
  step   96 | (3.2941, 5.3170) | boundary mode
  step   97 | (3.3615, 5.2980) | boundary mode
  step   98 | (3.4288, 5.2790) | boundary mode
  step   99 | (3.4856, 5.2381) | boundary mode
  step  100 | (3.5424, 5.1972) | boundary mode
  step  101 | (3.5818, 5.1393) | boundary mode
  step  102 | (3.6212, 5.0814) | boundary mode
  step  103 | (3.6606, 5.0236) | boundary mode
  step  104 | (3.6778, 4.9557) | boundary mode
  step  105 | (3.6951, 4.8879) | boundary mode
  step  106 | (3.6880, 4.8182) | boundary mode
  step  107 | (3.6810, 4.7486) | boundary mode
  step  108 | (3.6740, 4.6789) | boundary mode
  step  109 | (3.6740, 4.6789) | m-line crossed (d=0.82 < hit=1.36) — goal mode
  step  110 | (3.7349, 4.7134) | goal mode
  step  111 | (3.7958, 4.7479) | goal mode
  step  112 | (3.8567, 4.7823) | goal mode
  step  113 | (3.9177, 4.8168) | goal mode
  step  114 | (3.9786, 4.8513) | goal mode
  step  115 | (4.0395, 4.8858) | goal mode
  step  116 | (4.1004, 4.9202) | goal mode
  step  117 | (4.1614, 4.9547) | goal mode
  step  118 | (4.2223, 4.9892) | goal mode
  step  119 | (4.2832, 5.0237) | goal mode
  step  120 | (4.3441, 5.0581) | goal mode
  step  121 | (4.3833, 5.0803) | goal reached

Family: cluttered
Result: SUCCESS  (176 steps)
--------------------------------------------------
  step    0 | (1.4296, 2.8022) | start
  step    1 | (1.4296, 2.8022) | sensed [6, 15, 24, 29, 31]
  step    2 | (1.4850, 2.8450) | goal mode
  step    3 | (1.5405, 2.8877) | goal mode
  step    4 | (1.5959, 2.9305) | goal mode
  step    5 | (1.6513, 2.9732) | goal mode
  step    6 | (1.7067, 3.0160) | goal mode
  step    7 | (1.7622, 3.0587) | goal mode
  step    8 | (1.7622, 3.0587) | obstacle hit (d=3.31) — boundary mode
  step    9 | (1.7529, 3.1281) | boundary mode
  step   10 | (1.6845, 3.1431) | boundary mode
  step   11 | (1.6151, 3.1338) | boundary mode
  step   12 | (1.5452, 3.1367) | boundary mode
  step   13 | (1.4768, 3.1516) | boundary mode
  step   14 | (1.4177, 3.1891) | boundary mode
  step   15 | (1.4177, 3.1891) | sensed [13]
  step   16 | (1.3585, 3.2266) | boundary mode
  step   17 | (1.3585, 3.2266) | sensed [21]
  step   18 | (1.3031, 3.1838) | boundary mode
  step   19 | (1.2559, 3.1321) | boundary mode
  step   20 | (1.2005, 3.0893) | boundary mode
  step   21 | (1.1385, 3.0569) | boundary mode
  step   22 | (1.0718, 3.0357) | boundary mode
  step   23 | (1.0024, 3.0264) | boundary mode
  step   24 | (0.9325, 3.0292) | boundary mode
  step   25 | (0.8677, 3.0559) | boundary mode
  step   26 | (0.8030, 3.0825) | boundary mode
  step   27 | (0.7513, 3.1297) | boundary mode
  step   28 | (0.6995, 3.1768) | boundary mode
  step   29 | (0.6296, 3.1797) | boundary mode
  step   30 | (0.5597, 3.1826) | boundary mode
  step   31 | (0.4897, 3.1855) | boundary mode
  step   32 | (0.4250, 3.2121) | boundary mode
  step   33 | (0.3658, 3.2496) | boundary mode
  step   34 | (0.3231, 3.3050) | boundary mode
  step   35 | (0.2906, 3.3670) | boundary mode
  step   36 | (0.2906, 3.3670) | sensed [11]
  step   37 | (0.2694, 3.4337) | boundary mode
  step   38 | (0.2723, 3.5036) | boundary mode
  step   39 | (0.2873, 3.5720) | boundary mode
  step   40 | (0.3139, 3.6368) | boundary mode
  step   41 | (0.3514, 3.6959) | boundary mode
  step   42 | (0.4068, 3.7386) | boundary mode
  step   43 | (0.4735, 3.7599) | boundary mode
  step   44 | (0.5402, 3.7811) | boundary mode
  step   45 | (0.6102, 3.7782) | boundary mode
  step   46 | (0.6785, 3.7632) | boundary mode
  step   47 | (0.7377, 3.7257) | boundary mode
  step   48 | (0.8024, 3.6991) | boundary mode
  step   49 | (0.8644, 3.7316) | boundary mode
  step   50 | (0.9311, 3.7528) | boundary mode
  step   51 | (1.0005, 3.7621) | boundary mode
  step   52 | (1.0704, 3.7592) | boundary mode
  step   53 | (1.1352, 3.7326) | boundary mode
  step   54 | (1.1999, 3.7060) | boundary mode
  step   55 | (1.2666, 3.7272) | boundary mode
  step   56 | (1.2816, 3.7956) | boundary mode
  step   57 | (1.2225, 3.8330) | boundary mode
  step   58 | (1.1707, 3.8802) | boundary mode
  step   59 | (1.1383, 3.9422) | boundary mode
  step   60 | (1.1058, 4.0042) | boundary mode
  step   61 | (1.0733, 4.0662) | boundary mode
  step   62 | (1.0640, 4.1356) | boundary mode
  step   63 | (1.0547, 4.2050) | boundary mode
  step   64 | (1.0697, 4.2734) | boundary mode
  step   65 | (1.0847, 4.3417) | boundary mode
  step   66 | (1.1113, 4.4065) | boundary mode
  step   67 | (1.1113, 4.4065) | sensed [10]
  step   68 | (1.1488, 4.4656) | boundary mode
  step   69 | (1.1862, 4.5247) | boundary mode
  step   70 | (1.2417, 4.5675) | boundary mode
  step   71 | (1.2971, 4.6102) | boundary mode
  step   72 | (1.3591, 4.6427) | boundary mode
  step   73 | (1.4258, 4.6639) | boundary mode
  step   74 | (1.4952, 4.6732) | boundary mode
  step   75 | (1.4952, 4.6732) | sensed [7]
  step   76 | (1.5651, 4.6703) | boundary mode
  step   77 | (1.6351, 4.6675) | boundary mode
  step   78 | (1.6998, 4.6408) | boundary mode
  step   79 | (1.7645, 4.6142) | boundary mode
  step   80 | (1.8237, 4.5767) | boundary mode
  step   81 | (1.8754, 4.5296) | boundary mode
  step   82 | (1.9181, 4.4742) | boundary mode
  step   83 | (1.9881, 4.4713) | boundary mode
  step   84 | (2.0435, 4.5140) | boundary mode
  step   85 | (2.1055, 4.5465) | boundary mode
  step   86 | (2.1722, 4.5677) | boundary mode
  step   87 | (2.2422, 4.5648) | boundary mode
  step   88 | (2.2422, 4.5648) | sensed [0]
  step   89 | (2.3121, 4.5619) | boundary mode
  step   90 | (2.3769, 4.5353) | boundary mode
  step   91 | (2.4416, 4.5087) | boundary mode
  step   92 | (2.4933, 4.4615) | boundary mode
  step   93 | (2.5361, 4.4061) | boundary mode
  step   94 | (2.5685, 4.3441) | boundary mode
  step   95 | (2.5898, 4.2774) | boundary mode
  step   96 | (2.5991, 4.2080) | boundary mode
  step   97 | (2.5962, 4.1381) | boundary mode
  step   98 | (2.5812, 4.0697) | boundary mode
  step   99 | (2.5437, 4.0106) | boundary mode
  step  100 | (2.5063, 3.9514) | boundary mode
  step  101 | (2.4591, 3.8997) | boundary mode
  step  102 | (2.3971, 3.8672) | boundary mode
  step  103 | (2.3304, 3.8460) | boundary mode
  step  104 | (2.3988, 3.8310) | boundary mode
  step  105 | (2.4671, 3.8160) | boundary mode
  step  106 | (2.5319, 3.7894) | boundary mode
  step  107 | (2.5319, 3.7894) | m-line crossed (d=2.26 < hit=3.31) — goal mode
  step  108 | (2.5893, 3.8295) | goal mode
  step  109 | (2.6467, 3.8695) | goal mode
  step  110 | (2.7041, 3.9095) | goal mode
  step  111 | (2.7616, 3.9496) | goal mode
  step  112 | (2.8190, 3.9896) | goal mode
  step  113 | (2.8764, 4.0296) | goal mode
  step  114 | (2.9338, 4.0697) | goal mode
  step  115 | (2.9912, 4.1097) | goal mode
  step  116 | (3.0487, 4.1497) | goal mode
  step  117 | (3.1061, 4.1898) | goal mode
  step  118 | (3.1635, 4.2298) | goal mode
  step  119 | (3.2209, 4.2698) | goal mode
  step  120 | (3.2783, 4.3099) | goal mode
  step  121 | (3.3358, 4.3499) | goal mode
  step  122 | (3.3358, 4.3499) | obstacle hit (d=1.28) — boundary mode
  step  123 | (3.2681, 4.3319) | boundary mode
  step  124 | (3.1984, 4.3260) | boundary mode
  step  125 | (3.1287, 4.3322) | boundary mode
  step  126 | (3.0611, 4.3505) | boundary mode
  step  127 | (2.9935, 4.3687) | boundary mode
  step  128 | (2.9362, 4.4090) | boundary mode
  step  129 | (2.8790, 4.4492) | boundary mode
  step  130 | (2.8217, 4.4895) | boundary mode
  step  131 | (2.7817, 4.5469) | boundary mode
  step  132 | (2.7416, 4.6044) | boundary mode
  step  133 | (2.7237, 4.6720) | boundary mode
  step  134 | (2.7057, 4.7397) | boundary mode
  step  135 | (2.7057, 4.7397) | sensed [16]
  step  136 | (2.6877, 4.8073) | boundary mode
  step  137 | (2.6939, 4.8770) | boundary mode
  step  138 | (2.7002, 4.9467) | boundary mode
  step  139 | (2.7299, 5.0101) | boundary mode
  step  140 | (2.7596, 5.0735) | boundary mode
  step  141 | (2.7893, 5.1369) | boundary mode
  step  142 | (2.8389, 5.1863) | boundary mode
  step  143 | (2.8885, 5.2357) | boundary mode
  step  144 | (2.9520, 5.2651) | boundary mode
  step  145 | (3.0155, 5.2946) | boundary mode
  step  146 | (3.0790, 5.3241) | boundary mode
  step  147 | (3.1487, 5.3300) | boundary mode
  step  148 | (3.2185, 5.3360) | boundary mode
  step  149 | (3.2861, 5.3177) | boundary mode
  step  150 | (3.3558, 5.3115) | boundary mode
  step  151 | (3.4192, 5.2818) | boundary mode
  step  152 | (3.4764, 5.2415) | boundary mode
  step  153 | (3.5337, 5.2013) | boundary mode
  step  154 | (3.5831, 5.1517) | boundary mode
  step  155 | (3.6231, 5.0942) | boundary mode
  step  156 | (3.6526, 5.0307) | boundary mode
  step  157 | (3.6706, 4.9631) | boundary mode
  step  158 | (3.6886, 4.8954) | boundary mode
  step  159 | (3.6945, 4.8257) | boundary mode
  step  160 | (3.6883, 4.7560) | boundary mode
  step  161 | (3.6700, 4.6884) | boundary mode
  step  162 | (3.6700, 4.6884) | m-line crossed (d=0.81 < hit=1.28) — goal mode
  step  163 | (3.7314, 4.7221) | goal mode
  step  164 | (3.7927, 4.7558) | goal mode
  step  165 | (3.7927, 4.7558) | sensed [20]
  step  166 | (3.8541, 4.7895) | goal mode
  step  167 | (3.9154, 4.8232) | goal mode
  step  168 | (3.9768, 4.8569) | goal mode
  step  169 | (4.0381, 4.8906) | goal mode
  step  170 | (4.0995, 4.9243) | goal mode
  step  171 | (4.1608, 4.9580) | goal mode
  step  172 | (4.2222, 4.9918) | goal mode
  step  173 | (4.2835, 5.0255) | goal mode
  step  174 | (4.3449, 5.0592) | goal mode
  step  175 | (4.3833, 5.0803) | goal reached

Family: collision_required
Result: SUCCESS  (81 steps)
--------------------------------------------------
  step    0 | (5.3191, 4.3980) | start
  step    1 | (5.3191, 4.3980) | sensed [3]
  step    2 | (5.2510, 4.4140) | goal mode
  step    3 | (5.1829, 4.4300) | goal mode
  step    4 | (5.1147, 4.4460) | goal mode
  step    5 | (5.0466, 4.4621) | goal mode
  step    6 | (4.9784, 4.4781) | goal mode
  step    7 | (4.9103, 4.4941) | goal mode
  step    8 | (4.8422, 4.5102) | goal mode
  step    9 | (4.7740, 4.5262) | goal mode
  step   10 | (4.7059, 4.5422) | goal mode
  step   11 | (4.6377, 4.5582) | goal mode
  step   12 | (4.5696, 4.5743) | goal mode
  step   13 | (4.5015, 4.5903) | goal mode
  step   14 | (4.4333, 4.6063) | goal mode
  step   15 | (4.3652, 4.6224) | goal mode
  step   16 | (4.2970, 4.6384) | goal mode
  step   17 | (4.2289, 4.6544) | goal mode
  step   18 | (4.2289, 4.6544) | sensed [0]
