Bug1 Simulation Log
Scene: 038   Date: 2026-04-15 00:46:28
======================================================================

Family: sparse
Result: SUCCESS  (66 steps)
--------------------------------------------------
  step    0 | (2.8626, 5.3602) | start
  step    1 | (2.8728, 5.2910) | goal mode
  step    2 | (2.8831, 5.2218) | goal mode
  step    3 | (2.8934, 5.1525) | goal mode
  step    4 | (2.9037, 5.0833) | goal mode
  step    5 | (2.9140, 5.0140) | goal mode
  step    6 | (2.9242, 4.9448) | goal mode
  step    7 | (2.9345, 4.8756) | goal mode
  step    8 | (2.9345, 4.8756) | sensed obstacle(s) [1]
  step    9 | (2.9448, 4.8063) | goal mode
  step   10 | (2.9551, 4.7371) | goal mode
  step   11 | (2.9654, 4.6678) | goal mode
  step   12 | (2.9756, 4.5986) | goal mode
  step   13 | (2.9859, 4.5293) | goal mode
  step   14 | (2.9962, 4.4601) | goal mode
  step   15 | (3.0065, 4.3909) | goal mode
  step   16 | (3.0065, 4.3909) | obstacle hit - switching to boundary mode
  step   17 | (3.0729, 4.4130) | boundary mode
  step   18 | (3.1421, 4.4233) | boundary mode
  step   19 | (3.2114, 4.4336) | boundary mode
  step   20 | (3.2799, 4.4195) | boundary mode
  step   21 | (3.3485, 4.4055) | boundary mode
  step   22 | (3.4082, 4.3689) | boundary mode
  step   23 | (3.4678, 4.3323) | boundary mode
  step   24 | (3.5113, 4.2774) | boundary mode
  step   25 | (3.5549, 4.2226) | boundary mode
  step   26 | (3.5882, 4.1611) | boundary mode
  step   27 | (3.5985, 4.0918) | boundary mode
  step   28 | (3.6088, 4.0226) | boundary mode
  step   29 | (3.6088, 4.0226) | clear path to goal - resuming goal mode
  step   30 | (3.6034, 3.9528) | goal mode
  step   31 | (3.5981, 3.8830) | goal mode
  step   32 | (3.5927, 3.8132) | goal mode
  step   33 | (3.5874, 3.7434) | goal mode
  step   34 | (3.5821, 3.6736) | goal mode
  step   35 | (3.5767, 3.6038) | goal mode
  step   36 | (3.5714, 3.5340) | goal mode
  step   37 | (3.5660, 3.4642) | goal mode
  step   38 | (3.5607, 3.3944) | goal mode
  step   39 | (3.5554, 3.3246) | goal mode
  step   40 | (3.5500, 3.2548) | goal mode
  step   41 | (3.5447, 3.1850) | goal mode
  step   42 | (3.5393, 3.1152) | goal mode
  step   43 | (3.5340, 3.0454) | goal mode
  step   44 | (3.5286, 2.9756) | goal mode
  step   45 | (3.5233, 2.9058) | goal mode
  step   46 | (3.5180, 2.8361) | goal mode
  step   47 | (3.5126, 2.7663) | goal mode
  step   48 | (3.5073, 2.6965) | goal mode
  step   49 | (3.5019, 2.6267) | goal mode
  step   50 | (3.4966, 2.5569) | goal mode
  step   51 | (3.4912, 2.4871) | goal mode
  step   52 | (3.4859, 2.4173) | goal mode
  step   53 | (3.4806, 2.3475) | goal mode
  step   54 | (3.4752, 2.2777) | goal mode
  step   55 | (3.4699, 2.2079) | goal mode
  step   56 | (3.4645, 2.1381) | goal mode
  step   57 | (3.4592, 2.0683) | goal mode
  step   58 | (3.4539, 1.9985) | goal mode
  step   59 | (3.4485, 1.9287) | goal mode
  step   60 | (3.4485, 1.9287) | sensed obstacle(s) [4]
  step   61 | (3.4432, 1.8589) | goal mode
  step   62 | (3.4378, 1.7891) | goal mode
  step   63 | (3.4325, 1.7193) | goal mode
  step   64 | (3.4271, 1.6495) | goal mode
  step   65 | (3.4225, 1.5888) | goal reached

Family: cluttered
Result: SUCCESS  (108 steps)
--------------------------------------------------
  step    0 | (2.8626, 5.3602) | start
  step    1 | (2.8626, 5.3602) | sensed obstacle(s) [16]
  step    2 | (2.8728, 5.2910) | goal mode
  step    3 | (2.8831, 5.2218) | goal mode
  step    4 | (2.8934, 5.1525) | goal mode
  step    5 | (2.9037, 5.0833) | goal mode
  step    6 | (2.9140, 5.0140) | goal mode
  step    7 | (2.9242, 4.9448) | goal mode
  step    8 | (2.9345, 4.8756) | goal mode
  step    9 | (2.9345, 4.8756) | sensed obstacle(s) [1]
  step   10 | (2.9448, 4.8063) | goal mode
  step   11 | (2.9551, 4.7371) | goal mode
  step   12 | (2.9654, 4.6678) | goal mode
  step   13 | (2.9756, 4.5986) | goal mode
  step   14 | (2.9859, 4.5293) | goal mode
  step   15 | (2.9962, 4.4601) | goal mode
  step   16 | (3.0065, 4.3909) | goal mode
  step   17 | (3.0065, 4.3909) | sensed obstacle(s) [17]
  step   18 | (3.0065, 4.3909) | obstacle hit - switching to boundary mode
  step   19 | (3.0729, 4.4130) | boundary mode
  step   20 | (3.1421, 4.4233) | boundary mode
