Bug1 Simulation Log
Scene: 048   Date: 2026-04-15 00:48:42
======================================================================

Family: sparse
Result: SUCCESS  (113 steps)
--------------------------------------------------
  step    0 | (5.3770, 4.9054) | start
  step    1 | (5.3770, 4.9054) | sensed obstacle(s) [8]
  step    2 | (5.3093, 4.8877) | goal mode
  step    3 | (5.2416, 4.8700) | goal mode
  step    4 | (5.1739, 4.8523) | goal mode
  step    5 | (5.1061, 4.8346) | goal mode
  step    6 | (5.0384, 4.8169) | goal mode
  step    7 | (4.9707, 4.7992) | goal mode
  step    8 | (4.9030, 4.7816) | goal mode
  step    9 | (4.8352, 4.7639) | goal mode
  step   10 | (4.7675, 4.7462) | goal mode
  step   11 | (4.6998, 4.7285) | goal mode
  step   12 | (4.6320, 4.7108) | goal mode
  step   13 | (4.5643, 4.6931) | goal mode
  step   14 | (4.4966, 4.6754) | goal mode
  step   15 | (4.4289, 4.6577) | goal mode
  step   16 | (4.3611, 4.6400) | goal mode
  step   17 | (4.2934, 4.6223) | goal mode
  step   18 | (4.2257, 4.6046) | goal mode
  step   19 | (4.1580, 4.5869) | goal mode
  step   20 | (4.0902, 4.5692) | goal mode
  step   21 | (4.0225, 4.5515) | goal mode
  step   22 | (3.9548, 4.5338) | goal mode
  step   23 | (3.8870, 4.5162) | goal mode
  step   24 | (3.8193, 4.4985) | goal mode
  step   25 | (3.7516, 4.4808) | goal mode
  step   26 | (3.7516, 4.4808) | sensed obstacle(s) [6]
  step   27 | (3.6839, 4.4631) | goal mode
  step   28 | (3.6161, 4.4454) | goal mode
  step   29 | (3.5484, 4.4277) | goal mode
  step   30 | (3.4807, 4.4100) | goal mode
  step   31 | (3.4130, 4.3923) | goal mode
  step   32 | (3.3452, 4.3746) | goal mode
  step   33 | (3.2775, 4.3569) | goal mode
  step   34 | (3.2098, 4.3392) | goal mode
  step   35 | (3.2098, 4.3392) | obstacle hit - switching to boundary mode
  step   36 | (3.2496, 4.2816) | boundary mode
  step   37 | (3.2988, 4.2318) | boundary mode
  step   38 | (3.3385, 4.1742) | boundary mode
  step   39 | (3.3783, 4.1166) | boundary mode
  step   40 | (3.4075, 4.0530) | boundary mode
  step   41 | (3.4075, 4.0530) | sensed obstacle(s) [0]
  step   42 | (3.4252, 3.9853) | boundary mode
  step   43 | (3.4429, 3.9176) | boundary mode
  step   44 | (3.4486, 3.8478) | boundary mode
  step   45 | (3.4420, 3.7781) | boundary mode
  step   46 | (3.4355, 3.7084) | boundary mode
  step   47 | (3.4170, 3.6409) | boundary mode
  step   48 | (3.3870, 3.5777) | boundary mode
  step   49 | (3.4502, 3.5477) | boundary mode
  step   50 | (3.5135, 3.5177) | boundary mode
  step   51 | (3.5767, 3.4877) | boundary mode
  step   52 | (3.6338, 3.4472) | boundary mode
  step   53 | (3.6830, 3.3974) | boundary mode
  step   54 | (3.7322, 3.3476) | boundary mode
  step   55 | (3.7614, 3.2840) | boundary mode
  step   56 | (3.7906, 3.2203) | boundary mode
  step   57 | (3.8083, 3.1526) | boundary mode
  step   58 | (3.8139, 3.0828) | boundary mode
  step   59 | (3.8196, 3.0131) | boundary mode
  step   60 | (3.8130, 2.9434) | boundary mode
  step   61 | (3.7945, 2.8759) | boundary mode
  step   62 | (3.7645, 2.8126) | boundary mode
  step   63 | (3.7345, 2.7494) | boundary mode
  step   64 | (3.6847, 2.7002) | boundary mode
  step   65 | (3.6349, 2.6510) | boundary mode
  step   66 | (3.5851, 2.6018) | boundary mode
  step   67 | (3.5215, 2.5726) | boundary mode
  step   68 | (3.4579, 2.5434) | boundary mode
  step   69 | (3.4579, 2.5434) | sensed obstacle(s) [10]
  step   70 | (3.3901, 2.5257) | boundary mode
  step   71 | (3.3204, 2.5201) | boundary mode
  step   72 | (3.2507, 2.5266) | boundary mode
  step   73 | (3.1810, 2.5332) | boundary mode
  step   74 | (3.1810, 2.5332) | sensed obstacle(s) [4]
  step   75 | (3.1135, 2.5517) | boundary mode
  step   76 | (3.0502, 2.5817) | boundary mode
  step   77 | (2.9931, 2.6222) | boundary mode
  step   78 | (2.9361, 2.6627) | boundary mode
  step   79 | (2.8869, 2.7125) | boundary mode
  step   80 | (2.8471, 2.7701) | boundary mode
  step   81 | (2.8179, 2.8337) | boundary mode
  step   82 | (2.7887, 2.8973) | boundary mode
  step   83 | (2.7830, 2.9671) | boundary mode
  step   84 | (2.7830, 2.9671) | clear path to goal - resuming goal mode
  step   85 | (2.7191, 2.9956) | goal mode
  step   86 | (2.6551, 3.0240) | goal mode
  step   87 | (2.5912, 3.0525) | goal mode
  step   88 | (2.5272, 3.0810) | goal mode
  step   89 | (2.4633, 3.1094) | goal mode
  step   90 | (2.3993, 3.1379) | goal mode
  step   91 | (2.3354, 3.1664) | goal mode
  step   92 | (2.2714, 3.1948) | goal mode
  step   93 | (2.2075, 3.2233) | goal mode
  step   94 | (2.1435, 3.2518) | goal mode
  step   95 | (2.0796, 3.2802) | goal mode
  step   96 | (2.0156, 3.3087) | goal mode
  step   97 | (1.9517, 3.3372) | goal mode
  step   98 | (1.8877, 3.3656) | goal mode
  step   99 | (1.8238, 3.3941) | goal mode
  step  100 | (1.7598, 3.4226) | goal mode
  step  101 | (1.6959, 3.4510) | goal mode
  step  102 | (1.6319, 3.4795) | goal mode
  step  103 | (1.5680, 3.5080) | goal mode
  step  104 | (1.5040, 3.5364) | goal mode
  step  105 | (1.4401, 3.5649) | goal mode
  step  106 | (1.3761, 3.5934) | goal mode
  step  107 | (1.3122, 3.6218) | goal mode
  step  108 | (1.2482, 3.6503) | goal mode
  step  109 | (1.1843, 3.6788) | goal mode
  step  110 | (1.1203, 3.7072) | goal mode
  step  111 | (1.0564, 3.7357) | goal mode
