Bug2 Simulation Log
Scene: 012   Date: 2026-04-15 14:22:00
======================================================================

Family: sparse
Result: SUCCESS  (120 steps)
--------------------------------------------------
  step    0 | (0.7600, 5.1167) | start
  step    1 | (0.7600, 5.1167) | sensed [3]
  step    2 | (0.7934, 5.0552) | goal mode
  step    3 | (0.8269, 4.9937) | goal mode
  step    4 | (0.8603, 4.9322) | goal mode
  step    5 | (0.8603, 4.9322) | sensed [7]
  step    6 | (0.8938, 4.8707) | goal mode
  step    7 | (0.9272, 4.8092) | goal mode
  step    8 | (0.9607, 4.7477) | goal mode
  step    9 | (0.9941, 4.6862) | goal mode
  step   10 | (1.0275, 4.6247) | goal mode
  step   11 | (1.0610, 4.5632) | goal mode
  step   12 | (1.0944, 4.5017) | goal mode
  step   13 | (1.0944, 4.5017) | obstacle hit (d=4.08) — boundary mode
  step   14 | (1.1644, 4.4999) | boundary mode
  step   15 | (1.2336, 4.5103) | boundary mode
  step   16 | (1.2336, 4.5103) | sensed [12]
  step   17 | (1.3036, 4.5085) | boundary mode
  step   18 | (1.3736, 4.5068) | boundary mode
  step   19 | (1.4387, 4.4811) | boundary mode
  step   20 | (1.4387, 4.4811) | sensed [6]
  step   21 | (1.5039, 4.4555) | boundary mode
  step   22 | (1.5563, 4.4092) | boundary mode
  step   23 | (1.6088, 4.3628) | boundary mode
  step   24 | (1.6524, 4.3081) | boundary mode
  step   25 | (1.6858, 4.2466) | boundary mode
  step   26 | (1.7081, 4.1802) | boundary mode
  step   27 | (1.7304, 4.1139) | boundary mode
  step   28 | (1.7286, 4.0439) | boundary mode
  step   29 | (1.7268, 3.9739) | boundary mode
  step   30 | (1.7268, 3.9739) | sensed [2]
  step   31 | (1.7129, 3.9053) | boundary mode
  step   32 | (1.6873, 3.8402) | boundary mode
  step   33 | (1.6507, 3.7804) | boundary mode
  step   34 | (1.6507, 3.7804) | m-line crossed (d=3.19 < hit=4.08) — goal mode
  step   35 | (1.6814, 3.7175) | goal mode
  step   36 | (1.6814, 3.7175) | sensed [5]
  step   37 | (1.7120, 3.6546) | goal mode
  step   38 | (1.7426, 3.5916) | goal mode
  step   39 | (1.7732, 3.5287) | goal mode
  step   40 | (1.8039, 3.4657) | goal mode
  step   41 | (1.8345, 3.4028) | goal mode
  step   42 | (1.8651, 3.3398) | goal mode
  step   43 | (1.8958, 3.2769) | goal mode
  step   44 | (1.8958, 3.2769) | sensed [0]
  step   45 | (1.8958, 3.2769) | obstacle hit (d=2.63) — boundary mode
  step   46 | (1.9631, 3.2961) | boundary mode
  step   47 | (2.0117, 3.3464) | boundary mode
  step   48 | (2.0684, 3.3875) | boundary mode
  step   49 | (2.1313, 3.4182) | boundary mode
  step   50 | (2.1483, 3.4861) | boundary mode
  step   51 | (2.1411, 3.5557) | boundary mode
  step   52 | (2.1581, 3.6236) | boundary mode
  step   53 | (2.1751, 3.6915) | boundary mode
  step   54 | (2.2143, 3.7495) | boundary mode
  step   55 | (2.2535, 3.8075) | boundary mode
  step   56 | (2.3022, 3.8578) | boundary mode
  step   57 | (2.3651, 3.8884) | boundary mode
  step   58 | (2.4280, 3.9191) | boundary mode
  step   59 | (2.4953, 3.9383) | boundary mode
  step   60 | (2.5650, 3.9455) | boundary mode
  step   61 | (2.6329, 3.9285) | boundary mode
  step   62 | (2.7008, 3.9115) | boundary mode
  step   63 | (2.7647, 3.8830) | boundary mode
  step   64 | (2.8227, 3.8438) | boundary mode
  step   65 | (2.8730, 3.7951) | boundary mode
  step   66 | (2.9141, 3.7385) | boundary mode
  step   67 | (2.9447, 3.6755) | boundary mode
  step   68 | (2.9640, 3.6082) | boundary mode
  step   69 | (2.9712, 3.5386) | boundary mode
  step   70 | (2.9663, 3.4688) | boundary mode
  step   71 | (2.9493, 3.4009) | boundary mode
  step   72 | (2.9323, 3.3330) | boundary mode
  step   73 | (2.8931, 3.2750) | boundary mode
  step   74 | (2.8444, 3.2247) | boundary mode
  step   75 | (2.7877, 3.1836) | boundary mode
  step   76 | (2.7311, 3.1425) | boundary mode
  step   77 | (2.6638, 3.1232) | boundary mode
  step   78 | (2.6008, 3.0926) | boundary mode
  step   79 | (2.6081, 3.0230) | boundary mode
  step   80 | (2.5911, 2.9551) | boundary mode
  step   81 | (2.5625, 2.8912) | boundary mode
  step   82 | (2.5233, 2.8332) | boundary mode
  step   83 | (2.4747, 2.7829) | boundary mode
  step   84 | (2.4180, 2.7418) | boundary mode
  step   85 | (2.3551, 2.7111) | boundary mode
  step   86 | (2.2854, 2.7039) | boundary mode
  step   87 | (2.2158, 2.6966) | boundary mode
  step   88 | (2.2158, 2.6966) | m-line crossed (d=1.97 < hit=2.63) — goal mode
  step   89 | (2.2453, 2.6332) | goal mode
  step   90 | (2.2749, 2.5697) | goal mode
  step   91 | (2.3044, 2.5062) | goal mode
  step   92 | (2.3044, 2.5062) | sensed [13]
  step   93 | (2.3340, 2.4428) | goal mode
  step   94 | (2.3635, 2.3793) | goal mode
  step   95 | (2.3930, 2.3159) | goal mode
  step   96 | (2.4226, 2.2524) | goal mode
  step   97 | (2.4521, 2.1889) | goal mode
  step   98 | (2.4816, 2.1255) | goal mode
  step   99 | (2.5112, 2.0620) | goal mode
  step  100 | (2.5407, 1.9985) | goal mode
  step  101 | (2.5703, 1.9351) | goal mode
  step  102 | (2.5998, 1.8716) | goal mode
  step  103 | (2.6293, 1.8082) | goal mode
  step  104 | (2.6589, 1.7447) | goal mode
  step  105 | (2.6884, 1.6812) | goal mode
  step  106 | (2.7180, 1.6178) | goal mode
  step  107 | (2.7475, 1.5543) | goal mode
  step  108 | (2.7770, 1.4908) | goal mode
  step  109 | (2.8066, 1.4274) | goal mode
  step  110 | (2.8066, 1.4274) | sensed [1]
  step  111 | (2.8361, 1.3639) | goal mode
  step  112 | (2.8656, 1.3005) | goal mode
