Bug1 Simulation Log
Scene: 032   Date: 2026-04-15 00:46:04
======================================================================

Family: sparse
Result: SUCCESS  (63 steps)
--------------------------------------------------
  step    0 | (0.8449, 1.5394) | start
  step    1 | (0.8449, 1.5394) | sensed obstacle(s) [0]
  step    2 | (0.8667, 1.6059) | goal mode
  step    3 | (0.8886, 1.6724) | goal mode
  step    4 | (0.8886, 1.6724) | sensed obstacle(s) [13]
  step    5 | (0.9104, 1.7389) | goal mode
  step    6 | (0.9323, 1.8054) | goal mode
  step    7 | (0.9542, 1.8719) | goal mode
  step    8 | (0.9760, 1.9384) | goal mode
  step    9 | (0.9979, 2.0049) | goal mode
  step   10 | (1.0197, 2.0714) | goal mode
  step   11 | (1.0416, 2.1379) | goal mode
  step   12 | (1.0635, 2.2044) | goal mode
  step   13 | (1.0853, 2.2709) | goal mode
  step   14 | (1.1072, 2.3374) | goal mode
  step   15 | (1.1072, 2.3374) | obstacle hit - switching to boundary mode
  step   16 | (1.1050, 2.4074) | boundary mode
  step   17 | (1.1150, 2.4767) | boundary mode
  step   18 | (1.1150, 2.4767) | clear path to goal - resuming goal mode
  step   19 | (1.1377, 2.5429) | goal mode
  step   20 | (1.1604, 2.6091) | goal mode
  step   21 | (1.1604, 2.6091) | sensed obstacle(s) [10]
  step   22 | (1.1832, 2.6753) | goal mode
  step   23 | (1.2059, 2.7415) | goal mode
  step   24 | (1.2287, 2.8077) | goal mode
  step   25 | (1.2514, 2.8739) | goal mode
  step   26 | (1.2742, 2.9401) | goal mode
  step   27 | (1.2969, 3.0063) | goal mode
  step   28 | (1.3196, 3.0725) | goal mode
  step   29 | (1.3424, 3.1387) | goal mode
  step   30 | (1.3424, 3.1387) | obstacle hit - switching to boundary mode
  step   31 | (1.3290, 3.2074) | boundary mode
  step   32 | (1.3156, 3.2761) | boundary mode
  step   33 | (1.3156, 3.2761) | sensed obstacle(s) [7]
  step   34 | (1.3143, 3.3461) | boundary mode
  step   35 | (1.3143, 3.3461) | clear path to goal - resuming goal mode
  step   36 | (1.3404, 3.4110) | goal mode
  step   37 | (1.3665, 3.4760) | goal mode
  step   38 | (1.3927, 3.5409) | goal mode
  step   39 | (1.4188, 3.6059) | goal mode
  step   40 | (1.4449, 3.6708) | goal mode
  step   41 | (1.4710, 3.7358) | goal mode
  step   42 | (1.4971, 3.8007) | goal mode
  step   43 | (1.5233, 3.8657) | goal mode
  step   44 | (1.5494, 3.9306) | goal mode
  step   45 | (1.5755, 3.9956) | goal mode
  step   46 | (1.6016, 4.0605) | goal mode
  step   47 | (1.6277, 4.1254) | goal mode
  step   48 | (1.6538, 4.1904) | goal mode
  step   49 | (1.6800, 4.2553) | goal mode
  step   50 | (1.7061, 4.3203) | goal mode
  step   51 | (1.7322, 4.3852) | goal mode
  step   52 | (1.7583, 4.4502) | goal mode
  step   53 | (1.7844, 4.5151) | goal mode
  step   54 | (1.8106, 4.5801) | goal mode
  step   55 | (1.8367, 4.6450) | goal mode
  step   56 | (1.8628, 4.7099) | goal mode
  step   57 | (1.8889, 4.7749) | goal mode
  step   58 | (1.9150, 4.8398) | goal mode
  step   59 | (1.9411, 4.9048) | goal mode
  step   60 | (1.9673, 4.9697) | goal mode
  step   61 | (1.9934, 5.0347) | goal mode
  step   62 | (1.9960, 5.0411) | goal reached

Family: cluttered
Result: SUCCESS  (88 steps)
--------------------------------------------------
  step    0 | (0.8449, 1.5394) | start
  step    1 | (0.8449, 1.5394) | sensed obstacle(s) [0, 29, 37]
  step    2 | (0.8667, 1.6059) | goal mode
  step    3 | (0.8886, 1.6724) | goal mode
  step    4 | (0.8886, 1.6724) | sensed obstacle(s) [13]
  step    5 | (0.9104, 1.7389) | goal mode
  step    6 | (0.9323, 1.8054) | goal mode
  step    7 | (0.9542, 1.8719) | goal mode
  step    8 | (0.9542, 1.8719) | obstacle hit - switching to boundary mode
  step    9 | (0.9282, 1.9369) | boundary mode
  step   10 | (0.8589, 1.9469) | boundary mode
  step   11 | (0.7924, 1.9688) | boundary mode
  step   12 | (0.7374, 2.0121) | boundary mode
  step   13 | (0.6823, 2.0553) | boundary mode
  step   14 | (0.6845, 1.9854) | boundary mode
  step   15 | (0.6627, 1.9189) | boundary mode
  step   16 | (0.6408, 1.8524) | boundary mode
  step   17 | (0.5975, 1.7974) | boundary mode
  step   18 | (0.5454, 1.7507) | boundary mode
  step   19 | (0.4804, 1.7247) | boundary mode
  step   20 | (0.4154, 1.6987) | boundary mode
  step   21 | (0.3454, 1.6965) | boundary mode
  step   22 | (0.2789, 1.7184) | boundary mode
  step   23 | (0.2172, 1.7514) | boundary mode
  step   24 | (0.1622, 1.7947) | boundary mode
  step   25 | (0.1155, 1.8469) | boundary mode
  step   26 | (0.0895, 1.9119) | boundary mode
  step   27 | (0.0752, 1.9804) | boundary mode
  step   28 | (0.0730, 2.0504) | boundary mode
  step   29 | (0.0949, 2.1169) | boundary mode
  step   30 | (0.0949, 2.1169) | clear path to goal - resuming goal mode
  step   31 | (0.1330, 2.1756) | goal mode
  step   32 | (0.1712, 2.2343) | goal mode
  step   33 | (0.2093, 2.2930) | goal mode
  step   34 | (0.2475, 2.3516) | goal mode
  step   35 | (0.2857, 2.4103) | goal mode
  step   36 | (0.3238, 2.4690) | goal mode
  step   37 | (0.3620, 2.5277) | goal mode
  step   38 | (0.4001, 2.5864) | goal mode
  step   39 | (0.4383, 2.6451) | goal mode
  step   40 | (0.4764, 2.7038) | goal mode
  step   41 | (0.5146, 2.7625) | goal mode
  step   42 | (0.5527, 2.8211) | goal mode
  step   43 | (0.5909, 2.8798) | goal mode
  step   44 | (0.6290, 2.9385) | goal mode
  step   45 | (0.6672, 2.9972) | goal mode
  step   46 | (0.6672, 2.9972) | sensed obstacle(s) [7]
  step   47 | (0.7054, 3.0559) | goal mode
  step   48 | (0.7435, 3.1146) | goal mode
  step   49 | (0.7817, 3.1733) | goal mode
  step   50 | (0.7817, 3.1733) | sensed obstacle(s) [10]
  step   51 | (0.8198, 3.2320) | goal mode
  step   52 | (0.8580, 3.2907) | goal mode
  step   53 | (0.8961, 3.3493) | goal mode
  step   54 | (0.8961, 3.3493) | sensed obstacle(s) [17]
  step   55 | (0.9343, 3.4080) | goal mode
  step   56 | (0.9724, 3.4667) | goal mode
  step   57 | (1.0106, 3.5254) | goal mode
  step   58 | (1.0487, 3.5841) | goal mode
  step   59 | (1.0869, 3.6428) | goal mode
  step   60 | (1.1250, 3.7015) | goal mode
  step   61 | (1.1632, 3.7602) | goal mode
  step   62 | (1.2014, 3.8188) | goal mode
  step   63 | (1.2395, 3.8775) | goal mode
  step   64 | (1.2395, 3.8775) | obstacle hit - switching to boundary mode
  step   65 | (1.2432, 3.9474) | boundary mode
  step   66 | (1.2469, 4.0173) | boundary mode
  step   67 | (1.2627, 4.0855) | boundary mode
  step   68 | (1.2785, 4.1537) | boundary mode
  step   69 | (1.3166, 4.2124) | boundary mode
  step   70 | (1.3548, 4.2711) | boundary mode
  step   71 | (1.3548, 4.2711) | sensed obstacle(s) [36]
  step   72 | (1.3548, 4.2711) | clear path to goal - resuming goal mode
  step   73 | (1.3996, 4.3249) | goal mode
  step   74 | (1.4444, 4.3787) | goal mode
  step   75 | (1.4892, 4.4325) | goal mode
  step   76 | (1.5339, 4.4863) | goal mode
  step   77 | (1.5787, 4.5401) | goal mode
  step   78 | (1.6235, 4.5939) | goal mode
  step   79 | (1.6683, 4.6476) | goal mode
  step   80 | (1.7131, 4.7014) | goal mode
  step   81 | (1.7579, 4.7552) | goal mode
  step   82 | (1.8027, 4.8090) | goal mode
  step   83 | (1.8475, 4.8628) | goal mode
  step   84 | (1.8923, 4.9166) | goal mode
  step   85 | (1.9371, 4.9704) | goal mode
  step   86 | (1.9819, 5.0242) | goal mode
  step   87 | (1.9960, 5.0411) | goal reached

Family: collision_required
Result: SUCCESS  (79 steps)
--------------------------------------------------
  step    0 | (0.4980, 4.1765) | start
  step    1 | (0.5674, 4.1853) | goal mode
  step    2 | (0.6369, 4.1941) | goal mode
  step    3 | (0.7063, 4.2030) | goal mode
  step    4 | (0.7758, 4.2118) | goal mode
  step    5 | (0.8452, 4.2206) | goal mode
  step    6 | (0.9146, 4.2294) | goal mode
  step    7 | (0.9841, 4.2383) | goal mode
  step    8 | (1.0535, 4.2471) | goal mode
  step    9 | (1.1230, 4.2559) | goal mode
  step   10 | (1.1924, 4.2647) | goal mode
  step   11 | (1.2619, 4.2735) | goal mode
  step   12 | (1.3313, 4.2824) | goal mode
  step   13 | (1.4007, 4.2912) | goal mode
  step   14 | (1.4702, 4.3000) | goal mode
  step   15 | (1.5396, 4.3088) | goal mode
  step   16 | (1.6091, 4.3177) | goal mode
  step   17 | (1.6091, 4.3177) | sensed obstacle(s) [1]
  step   18 | (1.6785, 4.3265) | goal mode
  step   19 | (1.7479, 4.3353) | goal mode
  step   20 | (1.8174, 4.3441) | goal mode
  step   21 | (1.8868, 4.3530) | goal mode
  step   22 | (1.9563, 4.3618) | goal mode
  step   23 | (2.0257, 4.3706) | goal mode
  step   24 | (2.0952, 4.3794) | goal mode
  step   25 | (2.1646, 4.3882) | goal mode
  step   26 | (2.1646, 4.3882) | sensed obstacle(s) [0]
  step   27 | (2.1646, 4.3882) | obstacle hit - switching to boundary mode
  step   28 | (2.1438, 4.4551) | boundary mode
  step   29 | (2.1118, 4.5173) | boundary mode
  step   30 | (2.0798, 4.5796) | boundary mode
  step   31 | (2.0709, 4.6490) | boundary mode
  step   32 | (2.0621, 4.7185) | boundary mode
  step   33 | (2.0655, 4.7884) | boundary mode
  step   34 | (2.0689, 4.8583) | boundary mode
  step   35 | (2.0959, 4.9228) | boundary mode
  step   36 | (2.1230, 4.9874) | boundary mode
  step   37 | (2.1609, 5.0463) | boundary mode
  step   38 | (2.1988, 5.1051) | boundary mode
  step   39 | (2.2545, 5.1475) | boundary mode
  step   40 | (2.3102, 5.1898) | boundary mode
  step   41 | (2.3725, 5.2219) | boundary mode
  step   42 | (2.4347, 5.2539) | boundary mode
  step   43 | (2.5041, 5.2628) | boundary mode
  step   44 | (2.5736, 5.2716) | boundary mode
  step   45 | (2.6435, 5.2682) | boundary mode
  step   46 | (2.6435, 5.2682) | clear path to goal - resuming goal mode
  step   47 | (2.7112, 5.2505) | goal mode
  step   48 | (2.7789, 5.2327) | goal mode
  step   49 | (2.8466, 5.2150) | goal mode
  step   50 | (2.9144, 5.1972) | goal mode
  step   51 | (2.9821, 5.1795) | goal mode
  step   52 | (3.0498, 5.1617) | goal mode
  step   53 | (3.1175, 5.1440) | goal mode
  step   54 | (3.1852, 5.1262) | goal mode
  step   55 | (3.2529, 5.1085) | goal mode
  step   56 | (3.3206, 5.0907) | goal mode
  step   57 | (3.3883, 5.0730) | goal mode
  step   58 | (3.4561, 5.0553) | goal mode
  step   59 | (3.5238, 5.0375) | goal mode
  step   60 | (3.5915, 5.0198) | goal mode
