Bug1 Simulation Log
Scene: 003   Date: 2026-04-15 00:44:22
======================================================================

Family: sparse
Result: SUCCESS  (96 steps)
--------------------------------------------------
  step    0 | (3.6412, 0.7842) | start
  step    1 | (3.5977, 0.8390) | goal mode
  step    2 | (3.5542, 0.8939) | goal mode
  step    3 | (3.5106, 0.9487) | goal mode
  step    4 | (3.4671, 1.0035) | goal mode
  step    5 | (3.4236, 1.0584) | goal mode
  step    6 | (3.3801, 1.1132) | goal mode
  step    7 | (3.3801, 1.1132) | sensed obstacle(s) [8]
  step    8 | (3.3366, 1.1680) | goal mode
  step    9 | (3.2931, 1.2229) | goal mode
  step   10 | (3.2496, 1.2777) | goal mode
  step   11 | (3.2061, 1.3325) | goal mode
  step   12 | (3.1625, 1.3874) | goal mode
  step   13 | (3.1190, 1.4422) | goal mode
  step   14 | (3.0755, 1.4970) | goal mode
  step   15 | (3.0320, 1.5519) | goal mode
  step   16 | (2.9885, 1.6067) | goal mode
  step   17 | (2.9450, 1.6615) | goal mode
  step   18 | (2.9450, 1.6615) | obstacle hit - switching to boundary mode
  step   19 | (2.9553, 1.5923) | boundary mode
  step   20 | (2.9533, 1.5223) | boundary mode
  step   21 | (2.9514, 1.4523) | boundary mode
  step   22 | (2.9257, 1.3872) | boundary mode
  step   23 | (2.8890, 1.3276) | boundary mode
  step   24 | (2.8524, 1.2680) | boundary mode
  step   25 | (2.8060, 1.2156) | boundary mode
  step   26 | (2.7511, 1.1721) | boundary mode
  step   27 | (2.6896, 1.1387) | boundary mode
  step   28 | (2.6896, 1.1387) | sensed obstacle(s) [6]
  step   29 | (2.6232, 1.1166) | boundary mode
  step   30 | (2.5539, 1.1063) | boundary mode
  step   31 | (2.4839, 1.1083) | boundary mode
  step   32 | (2.4140, 1.1102) | boundary mode
  step   33 | (2.3489, 1.1359) | boundary mode
  step   34 | (2.2838, 1.1616) | boundary mode
  step   35 | (2.2241, 1.1983) | boundary mode
  step   36 | (2.1718, 1.2447) | boundary mode
  step   37 | (2.1282, 1.2996) | boundary mode
  step   38 | (2.0949, 1.3611) | boundary mode
  step   39 | (2.0949, 1.3611) | clear path to goal - resuming goal mode
  step   40 | (2.0652, 1.4245) | goal mode
  step   41 | (2.0354, 1.4878) | goal mode
  step   42 | (2.0057, 1.5512) | goal mode
  step   43 | (1.9759, 1.6146) | goal mode
  step   44 | (1.9461, 1.6779) | goal mode
  step   45 | (1.9164, 1.7413) | goal mode
  step   46 | (1.8866, 1.8047) | goal mode
  step   47 | (1.8569, 1.8680) | goal mode
