Bug1 Simulation Log
Scene: 065   Date: 2026-04-15 00:50:02
======================================================================

Family: sparse
Result: SUCCESS  (64 steps)
--------------------------------------------------
  step    0 | (3.7939, 3.6292) | start
  step    1 | (3.7402, 3.5843) | goal mode
  step    2 | (3.6866, 3.5394) | goal mode
  step    3 | (3.6329, 3.4945) | goal mode
  step    4 | (3.5792, 3.4495) | goal mode
  step    5 | (3.5255, 3.4046) | goal mode
  step    6 | (3.4718, 3.3597) | goal mode
  step    7 | (3.4182, 3.3147) | goal mode
  step    8 | (3.3645, 3.2698) | goal mode
  step    9 | (3.3645, 3.2698) | sensed obstacle(s) [2]
  step   10 | (3.3108, 3.2249) | goal mode
  step   11 | (3.2571, 3.1800) | goal mode
  step   12 | (3.2034, 3.1350) | goal mode
  step   13 | (3.1498, 3.0901) | goal mode
  step   14 | (3.0961, 3.0452) | goal mode
  step   15 | (3.0424, 3.0003) | goal mode
  step   16 | (2.9887, 2.9553) | goal mode
  step   17 | (2.9887, 2.9553) | obstacle hit - switching to boundary mode
  step   18 | (2.9437, 2.9018) | boundary mode
  step   19 | (2.9436, 2.8318) | boundary mode
  step   20 | (2.9313, 2.7628) | boundary mode
  step   21 | (2.9073, 2.6971) | boundary mode
  step   22 | (2.8833, 2.6314) | boundary mode
  step   23 | (2.8382, 2.5778) | boundary mode
  step   24 | (2.7932, 2.5242) | boundary mode
  step   25 | (2.7395, 2.4793) | boundary mode
  step   26 | (2.7395, 2.4793) | clear path to goal - resuming goal mode
  step   27 | (2.6823, 2.4389) | goal mode
  step   28 | (2.6823, 2.4389) | sensed obstacle(s) [1]
  step   29 | (2.6252, 2.3985) | goal mode
  step   30 | (2.5680, 2.3581) | goal mode
  step   31 | (2.5108, 2.3177) | goal mode
  step   32 | (2.4537, 2.2773) | goal mode
  step   33 | (2.3965, 2.2369) | goal mode
  step   34 | (2.3393, 2.1965) | goal mode
  step   35 | (2.2822, 2.1560) | goal mode
  step   36 | (2.2250, 2.1156) | goal mode
  step   37 | (2.1679, 2.0752) | goal mode
  step   38 | (2.1107, 2.0348) | goal mode
  step   39 | (2.0535, 1.9944) | goal mode
  step   40 | (1.9964, 1.9540) | goal mode
  step   41 | (1.9392, 1.9136) | goal mode
  step   42 | (1.8821, 1.8732) | goal mode
  step   43 | (1.8249, 1.8328) | goal mode
  step   44 | (1.7677, 1.7924) | goal mode
  step   45 | (1.7106, 1.7520) | goal mode
  step   46 | (1.6534, 1.7116) | goal mode
  step   47 | (1.5963, 1.6712) | goal mode
  step   48 | (1.5391, 1.6308) | goal mode
  step   49 | (1.4819, 1.5904) | goal mode
  step   50 | (1.4248, 1.5500) | goal mode
  step   51 | (1.3676, 1.5096) | goal mode
  step   52 | (1.3105, 1.4691) | goal mode
  step   53 | (1.2533, 1.4287) | goal mode
  step   54 | (1.1961, 1.3883) | goal mode
  step   55 | (1.1390, 1.3479) | goal mode
  step   56 | (1.0818, 1.3075) | goal mode
  step   57 | (1.0246, 1.2671) | goal mode
  step   58 | (0.9675, 1.2267) | goal mode
  step   59 | (0.9103, 1.1863) | goal mode
  step   60 | (0.8532, 1.1459) | goal mode
  step   61 | (0.7960, 1.1055) | goal mode
  step   62 | (0.7388, 1.0651) | goal mode
  step   63 | (0.6833, 1.0258) | goal reached

Family: cluttered
Result: FAILED  (501 steps)
--------------------------------------------------
  step    0 | (3.7939, 3.6292) | start
  step    1 | (3.7939, 3.6292) | sensed obstacle(s) [13, 17, 23, 28]
  step    2 | (3.7402, 3.5843) | goal mode
  step    3 | (3.6866, 3.5394) | goal mode
  step    4 | (3.6329, 3.4945) | goal mode
  step    5 | (3.5792, 3.4495) | goal mode
  step    6 | (3.5255, 3.4046) | goal mode
  step    7 | (3.4718, 3.3597) | goal mode
  step    8 | (3.4182, 3.3147) | goal mode
  step    9 | (3.3645, 3.2698) | goal mode
  step   10 | (3.3645, 3.2698) | sensed obstacle(s) [2]
  step   11 | (3.3108, 3.2249) | goal mode
  step   12 | (3.3108, 3.2249) | sensed obstacle(s) [19]
  step   13 | (3.2571, 3.1800) | goal mode
  step   14 | (3.2034, 3.1350) | goal mode
  step   15 | (3.1498, 3.0901) | goal mode
  step   16 | (3.0961, 3.0452) | goal mode
  step   17 | (3.0424, 3.0003) | goal mode
  step   18 | (2.9887, 2.9553) | goal mode
  step   19 | (2.9887, 2.9553) | obstacle hit - switching to boundary mode
  step   20 | (2.9437, 2.9018) | boundary mode
  step   21 | (2.9436, 2.8318) | boundary mode
  step   22 | (2.9313, 2.7628) | boundary mode
  step   23 | (3.0003, 2.7749) | boundary mode
  step   24 | (3.0692, 2.7627) | boundary mode
  step   25 | (3.1381, 2.7504) | boundary mode
  step   26 | (3.2039, 2.7264) | boundary mode
  step   27 | (3.2489, 2.7800) | boundary mode
  step   28 | (3.2612, 2.8489) | boundary mode
  step   29 | (3.2734, 2.9178) | boundary mode
  step   30 | (3.3085, 2.9784) | boundary mode
  step   31 | (3.3436, 3.0390) | boundary mode
  step   32 | (3.3973, 3.0839) | boundary mode
  step   33 | (3.4509, 3.1288) | boundary mode
  step   34 | (3.5046, 3.1737) | boundary mode
  step   35 | (3.5704, 3.1976) | boundary mode
  step   36 | (3.6362, 3.2215) | boundary mode
  step   37 | (3.7052, 3.2335) | boundary mode
  step   38 | (3.7752, 3.2334) | boundary mode
  step   39 | (3.8441, 3.2212) | boundary mode
  step   40 | (3.9130, 3.2090) | boundary mode
  step   41 | (3.9788, 3.1849) | boundary mode
  step   42 | (3.9788, 3.1849) | sensed obstacle(s) [10]
  step   43 | (4.0394, 3.1499) | boundary mode
  step   44 | (4.0929, 3.1048) | boundary mode
  step   45 | (4.0929, 3.1048) | sensed obstacle(s) [3]
  step   46 | (4.1465, 3.0597) | boundary mode
  step   47 | (4.1814, 2.9991) | boundary mode
  step   48 | (4.2163, 2.9384) | boundary mode
  step   49 | (4.2402, 2.8726) | boundary mode
  step   50 | (4.2640, 2.8068) | boundary mode
  step   51 | (4.2640, 2.7368) | boundary mode
  step   52 | (4.2639, 2.6668) | boundary mode
  step   53 | (4.3244, 2.6317) | boundary mode
  step   54 | (4.3903, 2.6556) | boundary mode
  step   55 | (4.4603, 2.6555) | boundary mode
  step   56 | (4.5303, 2.6554) | boundary mode
  step   57 | (4.5992, 2.6431) | boundary mode
  step   58 | (4.6649, 2.6191) | boundary mode
  step   59 | (4.7255, 2.5840) | boundary mode
  step   60 | (4.7861, 2.5490) | boundary mode
  step   61 | (4.7861, 2.5490) | sensed obstacle(s) [21]
  step   62 | (4.8396, 2.5039) | boundary mode
  step   63 | (4.8846, 2.4502) | boundary mode
  step   64 | (4.9195, 2.3896) | boundary mode
  step   65 | (4.9544, 2.3289) | boundary mode
  step   66 | (4.9783, 2.2631) | boundary mode
  step   67 | (4.9903, 2.1941) | boundary mode
  step   68 | (4.9903, 2.1241) | boundary mode
  step   69 | (4.9903, 2.1241) | sensed obstacle(s) [0]
  step   70 | (4.9780, 2.0552) | boundary mode
  step   71 | (4.9780, 2.0552) | sensed obstacle(s) [11]
  step   72 | (4.9658, 1.9863) | boundary mode
  step   73 | (4.9417, 1.9205) | boundary mode
  step   74 | (4.9067, 1.8600) | boundary mode
  step   75 | (4.8716, 1.7994) | boundary mode
  step   76 | (4.8265, 1.7458) | boundary mode
  step   77 | (4.7728, 1.7009) | boundary mode
  step   78 | (4.7122, 1.6660) | boundary mode
  step   79 | (4.6464, 1.6421) | boundary mode
  step   80 | (4.7164, 1.6420) | boundary mode
  step   81 | (4.7853, 1.6298) | boundary mode
  step   82 | (4.8542, 1.6175) | boundary mode
  step   83 | (4.9200, 1.5935) | boundary mode
  step   84 | (4.9805, 1.5584) | boundary mode
  step   85 | (5.0341, 1.5134) | boundary mode
  step   86 | (5.0877, 1.4683) | boundary mode
  step   87 | (5.1535, 1.4922) | boundary mode
  step   88 | (5.1886, 1.5527) | boundary mode
  step   89 | (5.2336, 1.6063) | boundary mode
  step   90 | (5.2873, 1.6512) | boundary mode
  step   91 | (5.3410, 1.6962) | boundary mode
  step   92 | (5.4068, 1.7200) | boundary mode
  step   93 | (5.4726, 1.7439) | boundary mode
  step   94 | (5.5416, 1.7559) | boundary mode
  step   95 | (5.6105, 1.7437) | boundary mode
  step   96 | (5.6805, 1.7436) | boundary mode
  step   97 | (5.7462, 1.7196) | boundary mode
  step   98 | (5.8068, 1.6845) | boundary mode
  step   99 | (5.8604, 1.6394) | boundary mode
  step  100 | (5.9139, 1.5944) | boundary mode
  step  101 | (5.9589, 1.5407) | boundary mode
  step  102 | (5.9938, 1.4800) | boundary mode
  step  103 | (6.0000, 1.4450) | boundary mode
  step  104 | (6.0000, 1.4449) | boundary mode
  step  105 | (6.0000, 1.4448) | boundary mode
  step  106 | (6.0000, 1.4447) | boundary mode
  step  107 | (6.0000, 1.4446) | boundary mode
  step  108 | (6.0000, 1.4445) | boundary mode
  step  109 | (6.0000, 1.4444) | boundary mode
  step  110 | (6.0000, 1.4443) | boundary mode
  step  111 | (6.0000, 1.4443) | boundary mode
  step  112 | (6.0000, 1.4442) | boundary mode
  step  113 | (6.0000, 1.4441) | boundary mode
  step  114 | (6.0000, 1.4440) | boundary mode
  step  115 | (6.0000, 1.4439) | boundary mode
  step  116 | (6.0000, 1.4438) | boundary mode
  step  117 | (6.0000, 1.4437) | boundary mode
  step  118 | (6.0000, 1.4436) | boundary mode
  step  119 | (6.0000, 1.4435) | boundary mode
  step  120 | (6.0000, 1.4435) | boundary mode
  step  121 | (6.0000, 1.4434) | boundary mode
  step  122 | (6.0000, 1.4433) | boundary mode
  step  123 | (6.0000, 1.4432) | boundary mode
  step  124 | (6.0000, 1.4431) | boundary mode
  step  125 | (6.0000, 1.4430) | boundary mode
  step  126 | (6.0000, 1.4429) | boundary mode
  step  127 | (6.0000, 1.4428) | boundary mode
  step  128 | (6.0000, 1.4427) | boundary mode
  step  129 | (6.0000, 1.4427) | boundary mode
  step  130 | (6.0000, 1.4426) | boundary mode
  step  131 | (6.0000, 1.4425) | boundary mode
  step  132 | (6.0000, 1.4424) | boundary mode
  step  133 | (6.0000, 1.4423) | boundary mode
  step  134 | (6.0000, 1.4422) | boundary mode
  step  135 | (6.0000, 1.4421) | boundary mode
  step  136 | (6.0000, 1.4420) | boundary mode
  step  137 | (6.0000, 1.4419) | boundary mode
  step  138 | (6.0000, 1.4419) | boundary mode
  step  139 | (6.0000, 1.4418) | boundary mode
  step  140 | (6.0000, 1.4417) | boundary mode
  step  141 | (6.0000, 1.4416) | boundary mode
  step  142 | (6.0000, 1.4415) | boundary mode
  step  143 | (6.0000, 1.4414) | boundary mode
  step  144 | (6.0000, 1.4413) | boundary mode
  step  145 | (6.0000, 1.4412) | boundary mode
  step  146 | (6.0000, 1.4411) | boundary mode
  step  147 | (6.0000, 1.4411) | boundary mode
  step  148 | (6.0000, 1.4410) | boundary mode
  step  149 | (6.0000, 1.4409) | boundary mode
  step  150 | (6.0000, 1.4408) | boundary mode
  step  151 | (6.0000, 1.4407) | boundary mode
  step  152 | (6.0000, 1.4406) | boundary mode
  step  153 | (6.0000, 1.4405) | boundary mode
  step  154 | (6.0000, 1.4404) | boundary mode
  step  155 | (6.0000, 1.4403) | boundary mode
  step  156 | (6.0000, 1.4403) | boundary mode
  step  157 | (6.0000, 1.4402) | boundary mode
  step  158 | (6.0000, 1.4401) | boundary mode
  step  159 | (6.0000, 1.4400) | boundary mode
  step  160 | (6.0000, 1.4399) | boundary mode
  step  161 | (6.0000, 1.4398) | boundary mode
  step  162 | (6.0000, 1.4397) | boundary mode
  step  163 | (6.0000, 1.4396) | boundary mode
  step  164 | (6.0000, 1.4395) | boundary mode
  step  165 | (6.0000, 1.4395) | boundary mode
  step  166 | (6.0000, 1.4394) | boundary mode
  step  167 | (6.0000, 1.4393) | boundary mode
  step  168 | (6.0000, 1.4392) | boundary mode
  step  169 | (6.0000, 1.4391) | boundary mode
  step  170 | (6.0000, 1.4390) | boundary mode
  step  171 | (6.0000, 1.4389) | boundary mode
  step  172 | (6.0000, 1.4388) | boundary mode
  step  173 | (6.0000, 1.4387) | boundary mode
  step  174 | (6.0000, 1.4387) | boundary mode
  step  175 | (6.0000, 1.4386) | boundary mode
  step  176 | (6.0000, 1.4385) | boundary mode
  step  177 | (6.0000, 1.4384) | boundary mode
  step  178 | (6.0000, 1.4383) | boundary mode
